	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	207.908	120	29	12.0	
1	208.733	60	34	6.0	
2	209.69299999999998	80	33	8.0	
3	210.442	150	24	15.0	
4	213.856	800	2	80.0	
5	251.581	150	25	15.0	
6	256.987	100	30	10.0	
7	258.244	100	31	10.0	
8	258.249	300	11	30.0	
9	260.856	200	18	20.0	
10	260.86400000000003	300	12	30.0	
11	267.053	200	19	20.0	
12	268.416	300	13	30.0	
13	271.249	300	14	30.0	
14	275.645	200	20	20.0	
15	277.086	300	15	30.0	
16	277.098	300	16	30.0	
17	280.087	400	8	40.0	
18	280.106	100	32	10.0	
19	280.117	5	53	0.5	
20	301.836	125	28	12.5	
21	303.578	200	21	20.0	
22	307.20599999999996	200	22	20.0	
23	307.59	150	26	15.0	
24	328.233	500	6	50.0	
25	330.25800000000004	800	3	80.0	
26	330.29400000000004	700	5	70.0	
27	334.50199999999995	800	4	80.0	
28	334.55699999999996	500	7	50.0	
29	334.594	150	27	15.0	
30	379.9	5	54	0.5	
31	388.334	50	35	5.0	
32	396.543	15	39	1.5	
33	411.32099999999997	10	42	1.0	
34	429.288	25	37	2.5	
35	429.833	25	38	2.5	
36	462.981	35	36	3.5	
37	468.014	300	17	30.0	
38	472.215	400	9	40.0	
39	481.05300000000005	400	10	40.0	
40	506.866	7	50	0.7	
41	506.958	15	40	1.5	
42	518.198	200	23	20.0	
43	530.865	8	46	0.8	
44	531.024	7	51	0.7	
45	531.102	7	52	0.7	
46	577.21	4	55	0.4	
47	577.55	4	56	0.4	
48	577.711	10	43	1.0	
49	623.79	8	47	0.8	
50	623.9169999999999	8	48	0.8	
51	636.234	1000	1	100.0	
52	647.918	10	44	1.0	
53	692.832	15	41	1.5	
54	693.847	8	49	0.8	
55	694.32	3	57	0.3	
56	779.936	10	45	1.0	
