	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	237.442	60	271	1.7142857142857142	
1	238.417	60	272	1.7142857142857142	
2	238.801	50	283	1.4285714285714286	
3	238.921	50	284	1.4285714285714286	
4	240.55200000000002	45	303	1.2857142857142858	
5	253.965	90	239	2.5714285714285716	
6	255.051	45	304	1.2857142857142858	
7	255.643	45	305	1.2857142857142858	
8	256.745	60	273	1.7142857142857142	
9	258.965	22	367	0.6285714285714286	
10	260.943	45	306	1.2857142857142858	
11	263.54200000000003	80	255	2.2857142857142856	
12	264.778	55	282	1.5714285714285714	
13	265.869	70	268	2.0	
14	268.775	90	240	2.5714285714285716	
15	269.29200000000003	22	368	0.6285714285714286	
16	272.547	140	176	4.0	
17	277.404	170	158	4.857142857142857	
18	279.014	200	132	5.714285714285714	
19	279.204	120	191	3.4285714285714284	
20	281.49	620	48	17.714285714285715	
21	283.723	710	40	20.285714285714285	
22	284.85200000000003	350	91	10.0	
23	287.598	490	70	14.0	
24	289.226	120	192	3.4285714285714284	
25	296.087	320	100	9.142857142857142	
26	296.91900000000004	120	193	3.4285714285714284	
27	298.539	820	31	23.428571428571427	
28	300.53700000000003	100	224	2.857142857142857	
29	300.55	160	162	4.571428571428571	
30	301.175	820	32	23.428571428571427	
31	302.952	880	28	25.142857142857142	
32	304.58299999999997	100	225	2.857142857142857	
33	308.534	110	204	3.142857142857143	
34	309.48	110	205	3.142857142857143	
35	309.582	110	206	3.142857142857143	
36	310.837	110	207	3.142857142857143	
37	312.074	350	92	10.0	
38	313.111	140	177	4.0	
39	313.207	350	93	10.0	
40	313.323	110	208	3.142857142857143	
41	313.69599999999997	180	156	5.142857142857143	
42	313.98	140	178	4.0	
43	314.882	180	157	5.142857142857143	
44	315.782	320	101	9.142857142857142	
45	319.121	540	66	15.428571428571429	
46	321.20099999999996	540	67	15.428571428571429	
47	323.41200000000003	630	46	18.0	
48	325.039	320	102	9.142857142857142	
49	325.428	200	133	5.714285714285714	
50	326.01099999999997	200	134	5.714285714285714	
51	326.966	190	150	5.428571428571429	
52	328.273	320	99	9.142857142857142	
53	335.366	130	190	3.7142857142857144	
54	336.046	150	171	4.285714285714286	
55	337.059	150	172	4.285714285714286	
56	341.466	380	89	10.857142857142858	
57	344.736	600	54	17.142857142857142	
58	345.591	200	135	5.714285714285714	
59	347.119	600	55	17.142857142857142	
60	347.879	200	136	5.714285714285714	
61	350.93199999999996	1000	23	28.571428571428573	
62	351.96	2000	6	57.142857142857146	
63	353.32199999999995	440	79	12.571428571428571	
64	353.51599999999996	210	123	6.0	
65	354.76800000000003	1800	13	51.42857142857143	
66	354.974	210	124	6.0	
67	355.046	630	47	18.0	
68	356.61	1100	19	31.428571428571427	
69	356.88800000000003	210	125	6.0	
70	357.579	1100	20	31.428571428571427	
71	358.629	880	29	25.142857142857142	
72	360.119	3500	1	100.0	
73	362.38599999999997	1100	21	31.428571428571427	
74	363.415	320	103	9.142857142857142	
75	366.12	260	115	7.428571428571429	
76	366.365	1100	22	31.428571428571427	
77	376.439	480	76	13.714285714285714	
78	376.67199999999997	480	77	13.714285714285714	
79	378.05400000000003	720	39	20.571428571428573	
80	379.14	560	58	16.0	
81	382.241	560	59	16.0	
82	383.596	2200	5	62.857142857142854	
83	384.70099999999996	550	60	15.714285714285714	
84	384.925	550	61	15.714285714285714	
85	386.38699999999994	2900	2	82.85714285714286	
86	386.434	770	34	22.0	
87	387.76	990	25	28.285714285714285	
88	387.905	200	137	5.714285714285714	
89	388.542	1500	14	42.857142857142854	
90	389.032	2900	3	82.85714285714286	
91	389.13800000000003	2000	7	57.142857142857146	
