	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.081	25	38	2.5
1	204.454	50	21	5.0
2	208.209	150	7	15.0
3	209.513	35	26	3.5
4	209.81400000000002	20	46	2.0
5	211.06799999999998	60	19	6.0
6	212.52900000000002	30	29	3.0
7	218.88099999999997	35	27	3.5
8	220.132	25	39	2.5
9	221.563	35	28	3.5
10	222.888	45	23	4.5
11	223.118	30	30	3.0
12	224.016	25	40	2.5
13	224.856	70	18	7.0
14	226.362	80	17	8.0
15	226.388	18	52	1.8
16	227.752	25	41	2.5
17	228.33	25	42	2.5
18	229.14	25	43	2.5
19	230.46900000000002	45	24	4.5
20	231.455	25	44	2.5
21	231.575	20	47	2.0
22	234.00599999999997	25	45	2.5
23	253.352	60	20	6.0
24	255.267	45	25	4.5
25	261.64	50	22	5.0
26	262.702	20	48	2.0
27	268.763	20	49	2.0
28	268.816	20	50	2.0
29	274.871	20	51	2.0
30	280.204	1000	1	100.0
31	281.97900000000004	300	2	30.0
32	282.255	100	8	10.0
33	282.313	30	31	3.0
34	282.54400000000004	100	9	10.0
35	283.303	30	32	3.0
36	283.785	300	3	30.0
37	284.692	100	10	10.0
38	285.67400000000004	100	11	10.0
39	289.325	100	12	10.0
40	290.704	100	13	10.0
41	291.35200000000003	300	4	30.0
42	291.824	300	5	30.0
43	295.422	100	14	10.0
44	299.027	100	15	10.0
45	299.48	300	6	30.0
46	312.25	100	16	10.0
47	312.686	30	33	3.0
48	317.235	10	53	1.0
49	352.334	3	58	0.3
50	363.32199999999995	10	54	1.0
51	370.655	30	34	3.0
52	380.401	30	35	3.0
53	401.60699999999997	10	55	1.0
54	405.279	30	36	3.0
55	407.635	10	56	1.0
56	408.32800000000003	3	59	0.3
57	436.10400000000004	30	37	3.0
58	442.061	10	57	1.0
59	476.017	3	60	0.3
