	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	283.671	1000	1	100.0
1	250.912	250	28	25.0
2	251.206	350	16	35.0
3	257.483	250	29	25.0
4	274.128	350	17	35.0
5	274.649	250	30	25.0
6	283.76	800	5	80.0
7	299.262	800	6	80.0
8	387.619	350	18	35.0
9	387.64099999999996	350	19	35.0
10	387.666	350	20	35.0
11	391.898	570	11	57.0
12	392.069	800	7	80.0
13	407.452	250	31	25.0
14	407.585	350	21	35.0
15	426.7	800	8	80.0
16	426.726	1000	2	100.0
17	426.726	1000	3	100.0
18	513.294	350	22	35.0
19	513.328	350	23	35.0
20	514.349	350	24	35.0
21	514.516	570	12	57.0
22	515.109	400	15	40.0
23	564.807	250	32	25.0
24	566.247	350	25	35.0
25	588.977	570	13	57.0
26	589.159	350	26	35.0
27	657.805	800	9	80.0
28	658.288	570	14	57.0
29	678.39	250	33	25.0
30	711.563	250	34	25.0
31	711.99	350	27	35.0
32	723.132	800	10	80.0
33	723.6419999999999	1000	4	100.0
