	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	312.518	10	58	4.3478260869565215
1	315.887	170	5	73.91304347826087
2	317.933	180	3	78.26086956521739
3	318.128	150	9	65.21739130434783
4	330.80199999999996	10	59	4.3478260869565215
5	331.651	20	50	8.695652173913043
6	334.704	10	60	4.3478260869565215
7	345.26599999999996	10	61	4.3478260869565215
8	346.18699999999995	20	51	8.695652173913043
9	348.561	10	62	4.3478260869565215
10	349.51599999999996	10	63	4.3478260869565215
11	368.37	30	45	13.043478260869565
12	369.411	40	39	17.391304347826086
13	369.436	10	64	4.3478260869565215
14	370.603	170	6	73.91304347826087
15	373.69	180	4	78.26086956521739
16	373.93800000000005	10	65	4.3478260869565215
17	375.56699999999995	20	52	8.695652173913043
18	375.839	30	46	13.043478260869565
19	393.366	230	1	100.0
20	396.847	220	2	95.65217391304348
21	409.71	50	36	21.73913043478261
22	410.98199999999997	60	32	26.08695652173913
23	411.028	30	47	13.043478260869565
24	420.61800000000005	40	40	17.391304347826086
25	422.00699999999995	50	37	21.73913043478261
26	447.204	20	53	8.695652173913043
27	447.923	10	66	4.3478260869565215
28	448.918	20	54	8.695652173913043
29	471.67400000000004	30	48	13.043478260869565
30	472.103	40	41	17.391304347826086
31	479.99699999999996	40	42	17.391304347826086
32	500.148	70	28	30.434782608695652
33	501.99699999999996	80	23	34.78260869565217
34	502.11400000000003	40	43	17.391304347826086
35	528.5269999999999	60	33	26.08695652173913
36	530.722	70	29	30.434782608695652
37	533.919	50	38	21.73913043478261
38	592.2719999999999	10	67	4.3478260869565215
39	592.369	10	68	4.3478260869565215
40	645.687	80	24	34.78260869565217
41	757.581	30	49	13.043478260869565
42	758.1110000000001	60	34	26.08695652173913
43	760.13	80	25	34.78260869565217
44	760.232	20	55	8.695652173913043
45	782.078	40	44	17.391304347826086
46	784.3380000000001	60	35	26.08695652173913
47	801.75	20	56	8.695652173913043
48	802.05	20	57	8.695652173913043
49	813.305	70	30	30.434782608695652
50	820.172	100	17	43.47826086956522
51	824.88	110	11	47.82608695652174
52	825.4730000000001	70	31	30.434782608695652
53	849.802	130	10	56.52173913043478
54	854.209	170	7	73.91304347826087
55	866.2139999999999	160	8	69.56521739130434
56	891.207	100	18	43.47826086956522
57	892.7360000000001	110	12	47.82608695652174
58	921.39	110	13	47.82608695652174
59	931.2	90	21	39.130434782608695
60	931.956	100	19	43.47826086956522
61	932.065	110	14	47.82608695652174
62	956.797	100	20	43.47826086956522
63	959.924	110	15	47.82608695652174
64	960.182	80	26	34.78260869565217
65	985.4739999999999	80	27	34.78260869565217
66	989.063	110	16	47.82608695652174
67	993.1389999999999	90	22	39.130434782608695
