	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	203.2116	450	61	0.45454545454545453
1	208.8583	350	64	0.35353535353535354
2	209.1458	350	65	0.35353535353535354
3	242.77900000000002	170	70	0.1717171717171717
4	243.407	360	63	0.36363636363636365
5	249.85299999999998	340	66	0.3434343434343434
6	250.274	470	59	0.47474747474747475
7	254.696	260	68	0.26262626262626265
8	254.988	500	57	0.5050505050505051
9	256.48400000000004	460	60	0.46464646464646464
10	260.33099999999996	320	67	0.32323232323232326
11	265.872	950	52	0.9595959595959596
12	267.695	750	55	0.7575757575757576
13	268.80400000000003	1200	43	1.2121212121212122
14	291.205	410	62	0.41414141414141414
15	299.665	950	53	0.9595959595959596
16	300.606	500	58	0.5050505050505051
17	305.796	950	54	0.9595959595959596
18	307.132	1300	40	1.3131313131313131
19	309.219	1400	38	1.4141414141414141
20	312.372	1200	44	1.2121212121212122
21	331.543	1900	30	1.9191919191919191
22	332.91	1200	45	1.2121212121212122
23	335.335	2500	29	2.525252525252525
24	374.996	1200	46	1.2121212121212122
25	379.876	1500	34	1.5151515151515151
26	380.51800000000003	1900	31	1.9191919191919191
27	380.94599999999997	1300	41	1.3131313131313131
28	382.02	1700	33	1.7171717171717171
29	382.759	2800	28	2.8282828282828283
30	383.335	4500	23	4.545454545454546
31	384.537	3100	27	3.1313131313131315
32	384.565	3900	26	3.9393939393939394
33	384.58	1500	35	1.5151515151515151
34	385.099	10000	15	10.1010101010101
35	385.13699999999994	7900	20	7.97979797979798
36	385.165	1200	47	1.2121212121212122
37	386.083	25000	9	25.252525252525253
38	386.099	4400	24	4.444444444444445
39	386.13699999999994	1000	50	1.0101010101010102
40	391.38699999999994	1500	36	1.5151515151515151
41	391.663	1100	49	1.1111111111111112
42	413.25	10000	16	10.1010101010101
43	437.293	5000	22	5.05050505050505
44	448.991	1500	37	1.5151515151515151
45	476.865	4300	25	4.343434343434343
46	478.13199999999995	13000	14	13.131313131313131
47	479.455	99000	1	100.0
48	481.006	29000	6	29.292929292929294
49	481.94699999999995	16000	12	16.161616161616163
50	489.67699999999996	81000	3	81.81818181818181
51	490.478	47000	5	47.474747474747474
52	491.773	26000	7	26.262626262626263
53	499.548	10000	17	10.1010101010101
54	507.82599999999996	26000	8	26.262626262626263
55	521.794	56000	4	56.56565656565657
56	522.136	23000	10	23.232323232323232
57	539.212	15000	13	15.151515151515152
58	542.323	99000	2	100.0
59	542.351	10000	18	10.1010101010101
60	544.337	19000	11	19.19191919191919
61	544.4209999999999	10000	19	10.1010101010101
62	545.702	5600	21	5.656565656565657
63	609.469	1900	32	1.9191919191919191
64	666.1669999999999	1400	39	1.4141414141414141
65	668.602	1300	42	1.3131313131313131
66	671.341	1200	48	1.2121212121212122
67	836.071	1000	51	1.0101010101010102
68	836.184	560	56	0.5656565656565656
69	838.2669999999999	180	69	0.18181818181818182
70	839.202	100	71	0.10101010101010101
