	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.07929	1500	709	0.2459016393442623
1	200.275	1000	882	0.16393442622950818
2	200.7678	290	1510	0.047540983606557376
3	200.82281	1100	830	0.18032786885245902
4	200.8649	480	1243	0.07868852459016394
5	200.98059	240	1625	0.03934426229508197
6	201.151622	39000	82	6.39344262295082
7	201.1681	860	964	0.14098360655737704
8	201.21726	240	1626	0.03934426229508197
9	201.4	290	1511	0.047540983606557376
10	201.44395	390	1336	0.06393442622950819
11	201.5704	410	1317	0.06721311475409836
12	201.9861	280	1531	0.04590163934426229
13	202.10521	470	1252	0.07704918032786885
14	202.2089	810	989	0.13278688524590163
15	202.235371	33000	97	5.409836065573771
16	202.575944	15000	158	2.459016393442623
17	202.704022	32000	98	5.245901639344262
18	203.0649	280	1532	0.04590163934426229
19	203.271841	9800	219	1.6065573770491803
20	203.65851	3900	402	0.639344262295082
21	203.86732	5500	326	0.9016393442622951
22	204.0659	250	1606	0.040983606557377046
23	204.11209	210	1696	0.03442622950819672
24	204.19674	1100	831	0.18032786885245902
25	204.6463	800	994	0.13114754098360656
26	204.656119	2900	490	0.47540983606557374
27	204.66958	460	1265	0.07540983606557378
28	204.74625	2500	541	0.4098360655737705
29	204.89299	710	1046	0.11639344262295082
30	204.91731	880	956	0.14426229508196722
31	205.0728	1100	832	0.18032786885245902
32	205.13461	370	1359	0.060655737704918035
33	205.22852	210	1697	0.03442622950819672
34	205.4082	1000	883	0.16393442622950818
35	205.41586	1800	646	0.29508196721311475
36	205.5235	270	1560	0.04426229508196721
37	205.79411	1100	833	0.18032786885245902
38	205.84113	1300	761	0.21311475409836064
39	205.88169	7900	254	1.2950819672131149
40	206.378617	7900	255	1.2950819672131149
41	206.44566	300	1491	0.04918032786885246
42	206.46283	320	1453	0.05245901639344262
43	206.554189	10000	205	1.639344262295082
44	206.68327	340	1412	0.05573770491803279
45	207.15371	540	1169	0.08852459016393442
46	207.2025	710	1047	0.11639344262295082
47	207.34136	280	1533	0.04590163934426229
48	207.7387	260	1579	0.04262295081967213
49	207.87889	490	1222	0.08032786885245902
50	207.90615	290	1512	0.047540983606557376
51	208.00561	320	1454	0.05245901639344262
52	208.16837	610	1116	0.1
53	208.267839	6600	295	1.0819672131147542
54	208.43716	700	1056	0.11475409836065574
55	208.49603	380	1347	0.06229508196721312
56	208.74931	200	1725	0.03278688524590164
57	209.0214	340	1413	0.05573770491803279
58	209.08879	1900	627	0.3114754098360656
59	209.10562	280	1534	0.04590163934426229
