	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.01079	5	2866	0.05
1	200.04227	7	2546	0.07
2	200.04227	7	2547	0.07
3	200.08405	6	2720	0.06
4	200.1102	18	1582	0.18
5	200.16768	4	3058	0.04
6	200.1834	4	3059	0.04
7	200.202162	78	569	0.78
8	200.27602	7	2558	0.07
9	200.29902	41	916	0.41
10	200.30491	8	2418	0.08
11	200.3611	3	3278	0.03
12	200.389343	41	917	0.41
13	200.396	11	2092	0.11
14	200.40789	4	3060	0.04
15	200.418	4	3061	0.04
16	200.4258	12	1997	0.12
17	200.43084	4	3062	0.04
18	200.43685	23	1349	0.23
19	200.66374	11	2093	0.11
20	200.69358	15	1753	0.15
21	200.719091	37	979	0.37
22	200.72271	12	1998	0.12
23	200.74215	6	2721	0.06
24	200.7858	4	3063	0.04
25	200.79888	230	204	2.3
26	201.101877	88	513	0.88
27	201.11691	16	1692	0.16
28	201.21445	7	2559	0.07
29	201.2443	26	1236	0.26
30	201.260323	71	608	0.71
31	201.27795	16	1693	0.16
32	201.36182	6	2722	0.06
33	201.36943	53	755	0.53
34	201.411555	59	698	0.59
35	201.435437	44	864	0.44
36	201.44389	12	1999	0.12
37	201.54045	10	2183	0.1
38	201.588357	100	446	1.0
39	201.62983	4	3064	0.04
40	201.6921	3	3279	0.03
41	201.70817	9	2285	0.09
42	201.70817	9	2286	0.09
43	201.73611	22	1395	0.22
44	201.82027	4	3044	0.04
45	201.82027	4	3045	0.04
46	201.99432	15	1754	0.15
47	202.07099	15	1755	0.15
48	202.158302	130	359	1.3
49	202.21166	15	1756	0.15
50	202.33114	7	2560	0.07
51	202.34675	7	2561	0.07
52	202.4002	3	3280	0.03
53	202.40486	3	3281	0.03
54	202.4131	4	3065	0.04
55	202.48223	17	1637	0.17
56	202.561863	57	718	0.57
57	202.57179	14	1835	0.14
58	202.57445	9	2291	0.09
59	202.63231	4	3066	0.04
60	202.64577	28	1170	0.28
61	202.71574	25	1273	0.25
62	202.77195	7	2562	0.07
63	202.7773	5	2873	0.05
64	202.8722	4	3067	0.04
65	202.8894	4	3068	0.04
66	202.998	3	3282	0.03
67	203.0523	4	3069	0.04
68	203.0978	7	2563	0.07
69	203.16531	13	1908	0.13
70	203.16531	13	1909	0.13
71	203.22383	13	1912	0.13
72	203.35495	9	2292	0.09
73	203.38722	15	1757	0.15
74	203.4272	17	1638	0.17
75	203.433851	37	980	0.37
76	203.49057	15	1758	0.15
77	203.53321	10	2184	0.1
78	203.69775	5	2874	0.05
79	203.72679	7	2564	0.07
80	203.72803	10	2185	0.1
81	203.8686	5	2875	0.05
82	203.90769	3	3283	0.03
83	203.991769	81	541	0.81
84	204.06496	25	1274	0.25
85	204.0711	31	1091	0.31
86	204.07397	35	1023	0.35
87	204.10379	23	1350	0.23
88	204.15847	15	1759	0.15
89	204.18236	27	1202	0.27
90	204.28419	4	3070	0.04
91	204.32356	6	2723	0.06
92	204.5289	3	3284	0.03
93	204.533561	37	981	0.37
94	204.59147	4	3071	0.04
95	204.70097	10	2186	0.1
96	204.84385	18	1583	0.18
97	205.03375	7	2565	0.07
98	205.1432	4	3072	0.04
99	205.2055	3	3285	0.03
100	205.479437	33	1051	0.33
101	205.50074	8	2419	0.08
102	205.559869	3200	12	32.0
103	205.82678	7	2566	0.07
104	206.10639	21	1430	0.21
105	206.157673	2500	14	25.0
106	206.22787	28	1171	0.28
107	206.23416	4	3073	0.04
108	206.324135	69	620	0.69
