	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	199.969752	20000000.0	16	14.285714285714286
1	200.29033	73000.0	146	0.052142857142857144
2	200.932	6800.0	430	0.004857142857142857
3	201.298037	1800000.0	45	1.2857142857142858
4	201.55822	1400000.0	53	1.0
5	201.5866	39000.0	184	0.027857142857142858
6	201.68964	1700000.0	48	1.2142857142857142
7	201.76096	160000.0	126	0.11428571428571428
8	202.21913	170000.0	120	0.12142857142857143
9	202.548773	8100000.0	25	5.785714285714286
10	202.5919	25000.0	225	0.017857142857142856
11	202.71336	610000.0	78	0.4357142857142857
12	202.9471	37000.0	190	0.02642857142857143
13	202.99491	560000.0	83	0.4
14	203.103579	2700000.0	37	1.9285714285714286
15	203.3844	62000.0	152	0.04428571428571428
16	203.585321	19000000.0	17	13.571428571428571
17	203.69201	730000.0	74	0.5214285714285715
18	203.712672	13000000.0	21	9.285714285714286
19	204.38019	21000000.0	15	15.0
20	204.767825	1300000.0	55	0.9285714285714286
21	205.425259	810000.0	72	0.5785714285714286
22	205.44171	960000.0	67	0.6857142857142857
23	205.497836	18000000.0	18	12.857142857142858
24	205.8611	49000.0	170	0.035
25	206.24201	1500000.0	52	1.0714285714285714
26	206.62609	960000.0	68	0.6857142857142857
27	206.7368	35000.0	197	0.025
28	206.99356	240000.0	105	0.17142857142857143
29	207.4213	39000.0	185	0.027857142857142858
30	207.866147	6700000.0	27	4.785714285714286
31	208.00593	210000.0	115	0.15
32	208.292	56000.0	159	0.04
33	208.43229	170000.0	121	0.12142857142857143
34	208.52735	860000.0	70	0.6142857142857143
35	208.5297	2500000.0	38	1.7857142857142858
36	208.791812	3400000.0	36	2.4285714285714284
37	208.796979	3700000.0	34	2.642857142857143
38	209.36366	2400000.0	39	1.7142857142857142
39	209.47925	290000.0	101	0.20714285714285716
40	209.61891	120000.0	133	0.08571428571428572
41	209.83067	1200000.0	57	0.8571428571428571
42	209.83971	5000000.0	28	3.5714285714285716
43	209.87405	300000.0	99	0.21428571428571427
44	210.0397	53000.0	165	0.03785714285714286
45	210.479587	62000000.0	8	44.285714285714285
46	210.63816	240000.0	106	0.17142857142857143
47	211.0308	90000.0	140	0.06428571428571428
48	211.12934	860000.0	71	0.6142857142857143
49	211.20993	55000000.0	11	39.285714285714285
50	211.25245	110000.0	136	0.07857142857142857
51	211.730881	12000000.0	22	8.571428571428571
52	211.83748	260000.0	103	0.18571428571428572
53	212.297861	71000000.0	5	50.714285714285715
54	212.510512	3800000.0	32	2.7142857142857144
55	212.5267	610000.0	79	0.4357142857142857
56	212.604361	74000000.0	2	52.857142857142854
57	213.00848	1000000.0	64	0.7142857142857143
58	213.12548	190000.0	118	0.1357142857142857
59	213.434	9500000.0	24	6.785714285714286
60	213.598008	140000000.0	1	100.0
61	214.4706	160000.0	125	0.11428571428571428
62	214.5492	1200000.0	58	0.8571428571428571
63	214.69187	1100000.0	60	0.7857142857142857
64	214.8983	59000000.0	9	42.142857142857146
65	215.18083	4200000.0	29	3.0
66	215.291	23000.0	234	0.016428571428571428
67	215.84108	60000.0	153	0.04285714285714286
68	216.131978	4200000.0	30	3.0
69	216.17998	58000.0	155	0.041428571428571426
70	216.685	21000.0	241	0.015
71	217.498119	7500000.0	26	5.357142857142857
72	217.941026	72000000.0	4	51.42857142857143
73	218.07508	680000.0	75	0.4857142857142857
74	218.14243	290000.0	102	0.20714285714285716
75	218.28585	560000.0	84	0.4
76	218.93693	240000.0	107	0.17142857142857143
77	218.962967	47000000.0	13	33.57142857142857
78	219.05	57000.0	156	0.04071428571428572
79	219.226759	73000000.0	3	52.142857142857146
80	219.56818	4200000.0	31	3.0
81	219.78688	71000.0	148	0.05071428571428571
82	220.03	47000.0	175	0.03357142857142857
83	220.05078	1600000.0	50	1.1428571428571428
84	220.1	33000.0	202	0.023571428571428573
85	220.98049	1900000.0	42	1.3571428571428572
86	221.026692	56000000.0	10	40.0
87	221.2747	1100000.0	61	0.7857142857142857
88	221.51054	3800000.0	33	2.7142857142857144
89	221.81077	66000000.0	6	47.142857142857146
90	221.85123	1900000.0	43	1.3571428571428572
91	222.1649	99000.0	139	0.07071428571428572
92	222.46906	1300000.0	56	0.9285714285714286
93	222.67798	2200000.0	40	1.5714285714285714
94	222.886748	35000000.0	14	25.0
95	222.98529	1800000.0	46	1.2857142857142858
96	223.01439	1900000.0	44	1.3571428571428572
97	223.03979	440000.0	91	0.3142857142857143
98	223.09512	1600000.0	51	1.1428571428571428
