	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	209.07679	20	2	95.23809523809524
1	220.0085	5	32	23.80952380952381
2	220.736	2	60	9.523809523809524
3	251.35362	3	51	14.285714285714286
4	251.40335	2	61	9.523809523809524
5	255.12599999999998	2	62	9.523809523809524
6	255.287	3	52	14.285714285714286
7	255.528	4	42	19.047619047619047
8	270.04934	7	17	33.333333333333336
9	277.99736	6	25	28.571428571428573
10	288.64099999999996	1	71	4.761904761904762
11	289.3522	1	72	4.761904761904762
12	291.0727	3	53	14.285714285714286
13	296.92715	6	26	28.571428571428573
14	297.08099999999996	4	43	19.047619047619047
15	297.1505	5	33	23.80952380952381
16	297.16	3	54	14.285714285714286
17	297.4418	2	63	9.523809523809524
18	297.46142000000003	6	27	28.571428571428573
19	297.5118	2	64	9.523809523809524
20	301.1519	2	65	9.523809523809524
21	303.26122000000004	3	55	14.285714285714286
22	315.85998	2	66	9.523809523809524
23	337.49172000000004	13	7	61.904761904761905
24	337.5954	11	8	52.38095238095238
25	343.6579	5	34	23.80952380952381
26	344.6382	7	18	33.333333333333336
27	344.7062	4	44	19.047619047619047
28	347.03834	10	9	47.61904761904762
29	347.144	3	56	14.285714285714286
30	358.36822	7	19	33.333333333333336
31	369.38613	2	67	9.523809523809524
32	370.59795	4	45	19.047619047619047
33	373.49744	6	28	28.571428571428573
34	392.45878999999996	3	57	14.285714285714286
35	425.11546	4	46	19.047619047619047
36	425.4073	2	68	9.523809523809524
37	425.57199999999995	4	47	19.047619047619047
38	425.5937	1	73	4.761904761904762
39	426.1478	1	74	4.761904761904762
40	426.20144000000005	6	29	28.571428571428573
41	426.3136	1	75	4.761904761904762
42	521.9069999999999	1	76	4.761904761904762
43	521.9657900000001	10	10	47.61904761904762
44	522.2682	1	77	4.761904761904762
45	522.4159999999999	1	70	4.761904761904762
46	522.444	1	78	4.761904761904762
47	522.599	1	79	4.761904761904762
48	522.674	1	80	4.761904761904762
49	533.8240000000001	7	20	33.333333333333336
50	536.04022	8	13	38.095238095238095
51	536.3585	5	35	23.80952380952381
52	541.63179	10	11	47.61904761904762
53	542.1275	5	36	23.80952380952381
54	542.4540000000001	1	81	4.761904761904762
55	629.451	4	41	19.047619047619047
56	629.496	3	58	14.285714285714286
57	629.7097	7	21	33.333333333333336
58	629.8199	5	37	23.80952380952381
59	631.0368	4	48	19.047619047619047
60	631.42	5	38	23.80952380952381
61	631.9161	7	22	33.333333333333336
62	633.40688	21	1	100.0
63	641.9239	19	3	90.47619047619048
64	645.5923	17	4	80.95238095238095
65	662.553	9	12	42.857142857142854
66	685.671	5	39	23.80952380952381
67	689.8560000000001	6	30	28.571428571428573
68	699.9668	8	14	38.095238095238095
69	719.845	16	5	76.19047619047619
70	757.898	3	59	14.285714285714286
71	779.2260000000001	16	6	76.19047619047619
72	896.215	5	40	23.80952380952381
73	896.949	2	69	9.523809523809524
74	953.452	5	31	23.80952380952381
75	953.557	7	23	33.333333333333336
76	954.035	8	15	38.095238095238095
77	954.2860000000001	8	16	38.095238095238095
78	968.0930000000001	4	49	19.047619047619047
79	968.2860000000001	1	82	4.761904761904762
80	969.02	4	50	19.047619047619047
81	970.067	7	24	33.333333333333336
