	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	240.8008	100	73	1.0	
1	241.9176	100	74	1.0	
2	249.4738	100	75	1.0	
3	253.3605	100	76	1.0	
4	253.4272	200	64	2.0	
5	256.6242	1000	18	10.0	
6	258.2794	2000	11	20.0	
7	259.3458	300	56	3.0	
8	268.8981	200	65	2.0	
9	273.0124	500	41	5.0	
10	276.5149	20	78	0.2	
11	280.8594	200	66	2.0	
12	287.8632	1500	16	15.0	
13	299.3866	1000	19	10.0	
14	307.8754	5000	3	50.0	
15	316.1027	200	67	2.0	
16	317.5066	1000	20	10.0	
17	335.5531	300	57	3.0	
18	342.4993	250	63	2.5	
19	349.7406	300	58	3.0	
20	352.6904	500	42	5.0	
21	374.2138	200	68	2.0	
22	445.2858	300	59	3.0	
23	459.9769	200	69	2.0	
24	463.2446	300	60	3.0	
25	466.6484	500	43	5.0	
26	467.553	1000	21	10.0	
27	498.6922	1000	22	10.0	
28	506.537	400	53	4.0	
29	514.973	200	70	2.0	
30	516.12	3000	8	30.0	
31	517.619	300	61	3.0	
32	521.627	600	37	6.0	
33	522.897	500	44	5.0	
34	524.571	3000	9	30.0	
35	526.936	500	45	5.0	
36	529.978	400	54	4.0	
37	532.28	400	55	4.0	
38	533.822	10000	1	100.0	
39	534.515	5000	4	50.0	
40	536.986	1000	23	10.0	
41	540.542	800	34	8.0	
42	540.736	800	35	8.0	
43	543.583	3000	10	30.0	
44	543.8	1000	24	10.0	
45	546.462	2000	12	20.0	
46	549.15	800	36	8.0	
47	549.694	1000	25	10.0	
48	550.472	1000	26	10.0	
49	552.206	600	38	6.0	
50	559.852	600	39	6.0	
51	560.032	1000	27	10.0	
52	561.289	1500	17	15.0	
53	562.569	10000	2	100.0	
54	567.808	1000	28	10.0	
55	569.091	2000	13	20.0	
56	570.205	500	46	5.0	
57	570.205	500	47	5.0	
58	571.053	4000	6	40.0	
59	573.827	1000	29	10.0	
60	576.072	1000	30	10.0	
61	577.483	500	48	5.0	
62	578.702	500	49	5.0	
63	595.025	5000	5	50.0	
64	606.893	500	50	5.0	
65	607.498	2000	14	20.0	
66	612.749	2000	15	20.0	
67	620.486	1000	31	10.0	
68	625.749	900	33	9.0	
69	666.596	600	40	6.0	
70	671.883	300	62	3.0	
71	681.257	4000	7	40.0	
72	695.878	1000	32	10.0	
73	708.521	200	71	2.0	
74	735.135	500	51	5.0	
75	779.898	500	52	5.0	
76	841.46	150	72	1.5	
77	919.587	30	77	0.3	
78	948.033	10	79	0.1	
