	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	207.8694	70	1	100.0
1	207.6798	60	2	85.71428571428571
2	208.4933	60	3	85.71428571428571
3	203.5408	50	4	71.42857142857143
4	208.9855	50	5	71.42857142857143
5	213.0687	50	6	71.42857142857143
6	214.4699	50	7	71.42857142857143
7	203.7005	45	8	64.28571428571429
8	204.5283	40	9	57.142857142857146
9	212.919	40	10	57.142857142857146
10	208.1885	25	11	35.714285714285715
11	208.2891	25	12	35.714285714285715
12	213.9246	20	13	28.571428571428573
13	204.543	15	14	21.428571428571427
14	208.3942	15	15	21.428571428571427
15	212.2827	15	16	21.428571428571427
16	212.8138	15	17	21.428571428571427
17	214.28599999999997	15	18	21.428571428571427
18	203.6014	10	19	14.285714285714286
19	204.4832	10	20	14.285714285714286
20	213.2947	10	21	14.285714285714286
21	213.3061	10	22	14.285714285714286
22	213.9494	10	23	14.285714285714286
23	482.923	9	24	12.857142857142858
24	389.792	8	25	11.428571428571429
25	418.624	8	26	11.428571428571429
26	460.845	8	27	11.428571428571429
27	500.56	8	28	11.428571428571429
28	612.0269999999999	8	29	11.428571428571429
29	414.91900000000004	7	30	10.0
30	214.0277	7	31	10.0
31	344.005	7	32	10.0
32	353.075	7	33	10.0
33	381.75	7	34	10.0
34	400.124	7	35	10.0
35	413.472	7	36	10.0
36	422.29699999999997	7	37	10.0
37	422.56699999999995	7	38	10.0
38	426.34	7	39	10.0
39	430.5	7	40	10.0
40	430.91	7	41	10.0
41	438.816	7	42	10.0
42	505.62699999999995	7	43	10.0
43	630.729	7	44	10.0
44	338.486	6	45	8.571428571428571
45	397.25800000000004	6	46	8.571428571428571
46	450.533	6	47	8.571428571428571
47	218.93200000000002	6	48	8.571428571428571
48	310.5	6	49	8.571428571428571
49	338.06199999999995	6	50	8.571428571428571
50	340.42400000000004	6	51	8.571428571428571
51	361.849	6	52	8.571428571428571
52	368.154	6	53	8.571428571428571
53	376.736	6	54	8.571428571428571
54	378.319	6	55	8.571428571428571
55	380.014	6	56	8.571428571428571
56	381.656	6	57	8.571428571428571
57	394.25300000000004	6	58	8.571428571428571
58	395.52099999999996	6	59	8.571428571428571
59	396.67199999999997	6	60	8.571428571428571
60	399.51	6	61	8.571428571428571
61	404.259	6	62	8.571428571428571
62	411.499	6	63	8.571428571428571
63	494.324	6	64	8.571428571428571
64	547.013	6	65	8.571428571428571
65	624.659	6	66	8.571428571428571
66	203.4679	5	67	7.142857142857143
67	214.1823	5	68	7.142857142857143
68	226.43400000000003	5	69	7.142857142857143
69	306.218	5	70	7.142857142857143
70	319.007	5	71	7.142857142857143
71	329.065	5	72	7.142857142857143
72	360.88800000000003	5	73	7.142857142857143
73	371.66	5	74	7.142857142857143
74	372.134	5	75	7.142857142857143
75	373.913	5	76	7.142857142857143
76	374.44199999999995	5	77	7.142857142857143
77	387.374	5	78	7.142857142857143
78	392.3	5	79	7.142857142857143
79	392.63599999999997	5	80	7.142857142857143
80	393.436	5	81	7.142857142857143
81	401.21	5	82	7.142857142857143
82	409.369	5	83	7.142857142857143
83	434.00300000000004	5	84	7.142857142857143
84	446.665	5	85	7.142857142857143
85	459.565	5	86	7.142857142857143
86	465.93800000000005	5	87	7.142857142857143
87	531.024	5	88	7.142857142857143
88	564.273	5	89	7.142857142857143
89	642.7959999999999	5	90	7.142857142857143
90	322.06	4	91	5.714285714285714
91	209.4558	4	92	5.714285714285714
92	220.984	4	93	5.714285714285714
93	274.355	4	94	5.714285714285714
94	356.215	4	95	5.714285714285714
95	362.642	4	96	5.714285714285714
96	387.86199999999997	4	97	5.714285714285714
97	399.18	4	98	5.714285714285714
98	401.75199999999995	4	99	5.714285714285714
99	402.48800000000006	4	100	5.714285714285714
100	403.969	4	101	5.714285714285714
101	406.523	4	102	5.714285714285714
102	411.214	4	103	5.714285714285714
103	420.949	4	104	5.714285714285714
104	428.87	4	105	5.714285714285714
105	474.49199999999996	4	106	5.714285714285714
106	577.232	4	107	5.714285714285714
107	428.48900000000003	3	108	4.285714285714286
108	234.23	3	109	4.285714285714286
109	250.46	3	110	4.285714285714286
110	280.899	3	111	4.285714285714286
111	307.5	3	112	4.285714285714286
112	325.881	3	113	4.285714285714286
113	330.16	3	114	4.285714285714286
114	339.26300000000003	3	115	4.285714285714286
115	352.95300000000003	3	116	4.285714285714286
116	363.7	3	117	4.285714285714286
117	366.86	3	118	4.285714285714286
118	367.605	3	119	4.285714285714286
119	375.662	3	120	4.285714285714286
120	382.13	3	121	4.285714285714286
121	386.14099999999996	3	122	4.285714285714286
122	388.342	3	123	4.285714285714286
123	389.92800000000005	3	124	4.285714285714286
124	390.01099999999997	3	125	4.285714285714286
125	395.61	3	126	4.285714285714286
126	395.98400000000004	3	127	4.285714285714286
127	436.296	3	128	4.285714285714286
128	442.37300000000005	3	129	4.285714285714286
