	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.0281	1	732	0.03333333333333333	
1	201.1142	1	733	0.03333333333333333	
2	201.6785	1	734	0.03333333333333333	
3	201.905	9	331	0.3	
4	203.3216	3	538	0.1	
5	203.3456	1	735	0.03333333333333333	
6	203.5342	1	736	0.03333333333333333	
7	204.0326	3	539	0.1	
8	204.998	4	474	0.13333333333333333	
9	205.2517	2	619	0.06666666666666667	
10	205.4241	2	620	0.06666666666666667	
11	205.8646	6	385	0.2	
12	206.0748	2	621	0.06666666666666667	
13	206.3964	1	737	0.03333333333333333	
14	206.6297	1	738	0.03333333333333333	
15	206.8613	5	427	0.16666666666666666	
16	207.1839	4	475	0.13333333333333333	
17	208.0222	1	739	0.03333333333333333	
18	208.0552	6	386	0.2	
19	208.121	9	332	0.3	
20	208.3902	4	476	0.13333333333333333	
21	208.4559	5	428	0.16666666666666666	
22	208.5401	2	622	0.06666666666666667	
23	208.6727	8	338	0.26666666666666666	
24	208.7478	1	740	0.03333333333333333	
25	208.8151	10	296	0.3333333333333333	
26	209.0004	2	623	0.06666666666666667	
27	209.1868	4	477	0.13333333333333333	
28	209.3121	4	478	0.13333333333333333	
29	209.3371	8	339	0.26666666666666666	
30	209.5033	5	429	0.16666666666666666	
31	209.5114	1	741	0.03333333333333333	
32	209.6227	10	297	0.3333333333333333	
33	209.664	3	540	0.1	
34	209.8933	2	624	0.06666666666666667	
35	209.9012	3	541	0.1	
36	209.9402	1	742	0.03333333333333333	
37	210.6357	2	625	0.06666666666666667	
38	210.9787	5	430	0.16666666666666666	
39	210.988	3	542	0.1	
40	211.3181	3	543	0.1	
41	211.451	1	743	0.03333333333333333	
42	211.4576	2	626	0.06666666666666667	
43	211.5252	1	744	0.03333333333333333	
44	211.5326	1	745	0.03333333333333333	
45	211.8238	4	479	0.13333333333333333	
46	211.8814	9	333	0.3	
47	211.9857	2	627	0.06666666666666667	
48	212.0865	2	628	0.06666666666666667	
49	212.5042	1	746	0.03333333333333333	
50	212.5769	3	544	0.1	
51	212.982	4	480	0.13333333333333333	
52	212.982	4	481	0.13333333333333333	
53	213.026	1	747	0.03333333333333333	
54	213.0432	7	369	0.23333333333333334	
55	213.0937	1	748	0.03333333333333333	
56	213.2198	1	749	0.03333333333333333	
57	213.3843	4	482	0.13333333333333333	
58	213.4693	3	545	0.1	
59	214.0189	5	431	0.16666666666666666	
60	214.3845	4	483	0.13333333333333333	
61	214.5063	8	340	0.26666666666666666	
62	215.0708	2	629	0.06666666666666667	
63	216.5111	1	750	0.03333333333333333	
64	216.9062	1	751	0.03333333333333333	
65	217.7772	5	432	0.16666666666666666	
66	217.956	1	752	0.03333333333333333	
67	218.2145	1	753	0.03333333333333333	
68	218.6691	3	546	0.1	
69	218.6922	1	754	0.03333333333333333	
70	219.2098	5	433	0.16666666666666666	
71	219.2341	3	547	0.1	
72	219.7494	6	387	0.2	
73	220.0168	2	630	0.06666666666666667	
74	220.1066	3	548	0.1	
75	220.239	3	549	0.1	
76	220.6362	2	631	0.06666666666666667	
77	220.8403	2	632	0.06666666666666667	
78	221.1718	5	434	0.16666666666666666	
79	221.2961	5	435	0.16666666666666666	
80	221.5876	1	755	0.03333333333333333	
81	222.1834	1	756	0.03333333333333333	
82	222.5187	3	550	0.1	
83	222.7925	7	370	0.23333333333333334	
84	223.4393	4	484	0.13333333333333333	
85	224.531	1	757	0.03333333333333333	
86	226.075	2	633	0.06666666666666667	
87	226.3676	4	485	0.13333333333333333	
88	227.1892	1	758	0.03333333333333333	
89	227.2592	2	634	0.06666666666666667	
90	227.3228	6	388	0.2	
91	227.485	3	551	0.1	
92	227.7423	4	486	0.13333333333333333	
93	227.7727	1	759	0.03333333333333333	
94	228.0547	1	760	0.03333333333333333	
95	229.0455	3	552	0.1	
96	230.0378	6	389	0.2	
97	230.1735	6	390	0.2	
98	230.4939	2	635	0.06666666666666667	
99	231.2017	8	341	0.26666666666666666	
100	231.4243	7	371	0.23333333333333334	
101	231.4651	3	553	0.1	
102	231.5533	8	342	0.26666666666666666	
103	231.6321	9	334	0.3	
104	232.0844	5	436	0.16666666666666666	
105	232.4058	1	761	0.03333333333333333	
106	232.4619	3	554	0.1	
107	232.4922	2	636	0.06666666666666667	
108	233.2099	1	762	0.03333333333333333	
109	233.9944	3	555	0.1	
110	234.4384	8	343	0.26666666666666666	
111	235.2872	7	372	0.23333333333333334	
112	235.3698	10	298	0.3333333333333333	
113	236.2751	8	344	0.26666666666666666	
114	236.5676	9	335	0.3	
115	236.5676	9	336	0.3	
116	236.6149	4	487	0.13333333333333333	
117	236.8972	6	391	0.2	
118	236.9739	4	488	0.13333333333333333	
119	237.3096	2	637	0.06666666666666667	
120	237.3694	7	373	0.23333333333333334	
121	237.5529	10	299	0.3333333333333333	
122	238.5845	2	638	0.06666666666666667	
123	238.9425	3	556	0.1	
124	239.0527	6	392	0.2	
125	239.2789	9	337	0.3	
126	240.0822	3	557	0.1	
127	240.7593	5	437	0.16666666666666666	
128	240.852	5	438	0.16666666666666666	
129	240.9067	8	345	0.26666666666666666	
130	241.0562	2	639	0.06666666666666667	
131	241.381	10	300	0.3333333333333333	
132	241.4938	10	301	0.3333333333333333	
133	241.6797	7	374	0.23333333333333334	
134	241.8224	5	439	0.16666666666666666	
135	241.8397	8	346	0.26666666666666666	
136	242.0333	1	763	0.03333333333333333	
137	242.2716	2	640	0.06666666666666667	
138	242.5064	6	393	0.2	
139	242.6363	10	302	0.3333333333333333	
140	242.8333	10	303	0.3333333333333333	
141	243.0031	2	641	0.06666666666666667	
142	243.6458	6	394	0.2	
143	244.644	8	347	0.26666666666666666	
144	244.6914	3	558	0.1	
145	245.504	2	642	0.06666666666666667	
146	245.531	2	643	0.06666666666666667	
147	245.607	6	395	0.2	
148	246.233	2	644	0.06666666666666667	
149	246.327	2	645	0.06666666666666667	
150	246.477	100	75	3.3333333333333335	
151	247.469	2	646	0.06666666666666667	
152	247.885	3	559	0.1	
153	248.362	1	764	0.03333333333333333	
154	248.75	3	560	0.1	
155	248.762	4	489	0.13333333333333333	
156	248.939	8	348	0.26666666666666666	
157	250.656	6	396	0.2	
158	251.056	5	440	0.16666666666666666	
159	251.174	3	561	0.1	
160	251.34	1	765	0.03333333333333333	
161	252.717	3	562	0.1	
162	253.173	1	766	0.03333333333333333	
163	253.834	5	441	0.16666666666666666	
164	255.013	2	647	0.06666666666666667	
165	255.591	6	397	0.2	
166	255.636	6	398	0.2	
167	255.91	8	349	0.26666666666666666	
168	256.194	3	563	0.1	
169	256.204	1	767	0.03333333333333333	
170	256.661	1	768	0.03333333333333333	
171	257.203	10	304	0.3333333333333333	
172	257.898	2	648	0.06666666666666667	
173	258.012	2	649	0.06666666666666667	
174	258.415	3	564	0.1	
175	259.074	2	650	0.06666666666666667	
176	259.125	1	769	0.03333333333333333	
177	259.248	60	127	2.0	
178	259.44	4	490	0.13333333333333333	
179	259.773	7	375	0.23333333333333334	
180	260.211	7	376	0.23333333333333334	
181	260.541	1	770	0.03333333333333333	
182	261.076	1	771	0.03333333333333333	
183	261.098	10	305	0.3333333333333333	
184	261.671	10	306	0.3333333333333333	
185	262.044	40	169	1.3333333333333333	
186	262.065	6	399	0.2	
187	262.282	2	651	0.06666666666666667	
188	262.775	7	377	0.23333333333333334	
189	263.441	6	400	0.2	
190	263.651	3	565	0.1	
191	263.832	2	652	0.06666666666666667	
192	264.074	2	653	0.06666666666666667	
193	264.208	4	491	0.13333333333333333	
194	264.306	20	232	0.6666666666666666	
195	264.927	20	233	0.6666666666666666	
196	264.967	4	492	0.13333333333333333	
197	265.395	6	401	0.2	
198	266.097	8	350	0.26666666666666666	
199	266.122	1	772	0.03333333333333333	
200	266.147	5	442	0.16666666666666666	
201	266.257	2	654	0.06666666666666667	
202	266.4	8	351	0.26666666666666666	
203	266.437	4	493	0.13333333333333333	
204	266.661	6	402	0.2	
205	267.531	4	494	0.13333333333333333	
206	267.72	6	403	0.2	
207	268.355	15	266	0.5	
208	268.579	1	773	0.03333333333333333	
209	269.119	2	655	0.06666666666666667	
210	269.57	30	190	1.0	
211	270.134	15	267	0.5	
212	270.134	15	268	0.5	
213	271.027	3	566	0.1	
214	271.111	2	656	0.06666666666666667	
215	271.24	80	112	2.6666666666666665	
216	271.449	3	567	0.1	
217	271.616	10	307	0.3333333333333333	
218	271.718	1	774	0.03333333333333333	
219	271.718	1	775	0.03333333333333333	
220	271.77	1	776	0.03333333333333333	
221	271.77	1	777	0.03333333333333333	
222	272.946	30	191	1.0	
223	273.233	4	495	0.13333333333333333	
224	273.326	50	145	1.6666666666666667	
225	273.813	1	778	0.03333333333333333	
226	273.813	1	779	0.03333333333333333	
227	274.011	1	780	0.03333333333333333	
228	274.256	40	170	1.3333333333333333	
229	274.464	1	781	0.03333333333333333	
230	275.159	5	443	0.16666666666666666	
231	275.902	4	496	0.13333333333333333	
232	277.26	10	308	0.3333333333333333	
233	277.459	3	568	0.1	
234	277.796	1	782	0.03333333333333333	
235	277.899	2	657	0.06666666666666667	
236	277.911	20	234	0.6666666666666666	
237	277.951	4	497	0.13333333333333333	
238	277.997	1	783	0.03333333333333333	
239	277.997	1	784	0.03333333333333333	
240	279.581	80	113	2.6666666666666665	
241	279.626	2	658	0.06666666666666667	
242	279.663	3	569	0.1	
243	280.098	2	659	0.06666666666666667	
244	280.123	2	660	0.06666666666666667	
245	280.32	20	235	0.6666666666666666	
246	280.707	1	785	0.03333333333333333	
247	280.872	1	786	0.03333333333333333	
248	281.646	60	128	2.0	
249	281.687	30	192	1.0	
250	282.263	5	444	0.16666666666666666	
251	282.303	2	661	0.06666666666666667	
252	283.043	3	570	0.1	
253	283.239	2	662	0.06666666666666667	
254	283.239	2	663	0.06666666666666667	
255	283.3	100	76	3.3333333333333335	
256	283.535	8	352	0.26666666666666666	
257	283.879	20	236	0.6666666666666666	
258	283.92	2	664	0.06666666666666667	
259	284.446	20	237	0.6666666666666666	
260	284.738	25	225	0.8333333333333334	
261	286.217	2	665	0.06666666666666667	
262	287.372	4	498	0.13333333333333333	
263	289.463	2	666	0.06666666666666667	
264	290.715	1	787	0.03333333333333333	
265	290.862	5	445	0.16666666666666666	
266	291.323	4	499	0.13333333333333333	
267	292.192	4	500	0.13333333333333333	
268	293.04	2	667	0.06666666666666667	
269	293.206	1	788	0.03333333333333333	
270	293.97	2	668	0.06666666666666667	
271	294.954	15	269	0.5	
272	295.428	12	291	0.4	
273	295.63	3	571	0.1	
274	296.079	5	446	0.16666666666666666	
275	296.105	4	501	0.13333333333333333	
276	296.511	2	669	0.06666666666666667	
277	296.559	1	789	0.03333333333333333	
278	296.725	80	114	2.6666666666666665	
279	296.811	2	670	0.06666666666666667	
280	297.18	4	502	0.13333333333333333	
281	297.18	4	503	0.13333333333333333	
282	297.234	2	671	0.06666666666666667	
283	297.404	25	226	0.8333333333333334	
284	297.592	3	572	0.1	
285	297.628	3	573	0.1	
286	297.887	25	227	0.8333333333333334	
287	297.981	20	238	0.6666666666666666	
288	298.234	1	790	0.03333333333333333	
