	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.05200000000002	80	348	0.8
1	200.19099999999997	60	444	0.6
2	200.335	20	1067	0.2
3	200.423	1	2282	0.01
4	200.456	60	445	0.6
5	200.5165	15	1322	0.15
6	200.6682	15	1328	0.15
7	200.79	3	2059	0.03
8	200.90599999999998	1	2283	0.01
9	200.94799999999998	3	2060	0.03
10	201.1928	100	213	1.0
11	201.2119	100	214	1.0
12	201.2799	30	833	0.3
13	201.3157	20	1051	0.2
14	201.3895	100	215	1.0
15	201.62	5	1822	0.05
16	201.705	40	660	0.4
17	201.717	5	1823	0.05
18	202.0141	30	834	0.3
19	202.102	5	1824	0.05
20	202.183	50	542	0.5
21	202.363	5	1825	0.05
22	202.435	2	2134	0.02
23	202.546	5	1826	0.05
24	202.65400000000002	40	661	0.4
25	203.0098	20	1068	0.2
26	203.12	30	835	0.3
27	203.21599999999998	10	1480	0.1
28	203.393	50	543	0.5
29	203.5133	15	1324	0.15
30	203.548	5	1827	0.05
31	203.607	10	1481	0.1
32	203.731	500	39	5.0
33	203.7643	400	70	4.0
34	203.997	400	69	4.0
35	204.16299999999998	40	662	0.4
36	204.21400000000003	10	1482	0.1
37	204.25	10	1483	0.1
38	204.312	40	663	0.4
39	204.343	1	2284	0.01
40	204.38	15	1329	0.15
41	204.65900000000002	20	1069	0.2
42	205.983	1	2285	0.01
43	206.4043	15	1330	0.15
44	207.3584	2	2140	0.02
45	207.497	5	1828	0.05
46	207.62099999999998	300	78	3.0
47	207.666	3	2061	0.03
48	207.6946	15	1331	0.15
49	207.96900000000002	5	1829	0.05
50	208.13	20	1070	0.2
51	208.1548	20	1071	0.2
52	208.476	100	216	1.0
53	208.614	10	1484	0.1
54	208.645	2	2141	0.02
55	208.68400000000003	30	819	0.3
56	208.891	40	664	0.4
57	208.929	10	1485	0.1
58	209.25900000000001	30	836	0.3
59	209.7463	200	128	2.0
60	209.8301	10	1486	0.1
61	209.917	5	1830	0.05
62	210.025	8	1747	0.08
63	210.18599999999998	5	1831	0.05
64	210.25	200	129	2.0
65	210.418	10	1487	0.1
66	210.457	30	837	0.3
67	210.58900000000003	20	1072	0.2
68	210.612	5	1832	0.05
69	210.676	30	838	0.3
70	210.697	5	1833	0.05
71	210.80599999999998	100	217	1.0
72	210.946	5	1834	0.05
73	211.1022	10	1488	0.1
74	211.16400000000002	1	2286	0.01
75	211.179	2	2142	0.02
76	211.201	3	2062	0.03
77	211.25400000000002	0	2438	0.0
78	211.3964	300	79	3.0
79	211.5391	10	1489	0.1
80	211.567	2	2143	0.02
81	211.605	10	1490	0.1
82	211.79	1	2287	0.01
83	211.8454	30	839	0.3
84	211.872	1	2288	0.01
85	211.94	30	840	0.3
86	211.965	100	218	1.0
87	211.97799999999998	60	433	0.6
88	212.02700000000002	15	1332	0.15
89	212.067	1	2289	0.01
90	212.916	2	2144	0.02
91	212.99099999999999	1	2290	0.01
92	213.105	30	841	0.3
93	213.148	2	2145	0.02
94	213.21400000000003	1	2291	0.01
95	213.3452	100	219	1.0
96	213.457	20	1073	0.2
97	213.521	50	544	0.5
98	213.583	2	2146	0.02
99	213.623	1	2292	0.01
100	213.635	20	1074	0.2
101	213.717	15	1333	0.15
102	213.896	1	2293	0.01
103	213.952	1	2294	0.01
104	214.035	20	1075	0.2
105	214.33700000000002	40	665	0.4
106	214.56	10	1491	0.1
107	214.642	2	2147	0.02
108	214.743	10	1492	0.1
109	214.88400000000001	30	842	0.3
110	214.935	8	1748	0.08
111	215.013	1	2295	0.01
112	215.02599999999998	30	843	0.3
113	215.2427	60	446	0.6
114	215.5349	5	1813	0.05
115	215.58700000000002	2	2148	0.02
116	215.59400000000002	10	1493	0.1
117	215.6977	5	1835	0.05
118	215.81599999999997	1	2296	0.01
119	215.86900000000003	1	2297	0.01
120	216.1333	5	1836	0.05
121	216.30900000000003	20	1076	0.2
122	216.558	50	545	0.5
123	216.6412	50	546	0.5
124	216.6693	50	547	0.5
125	216.995	60	447	0.6
126	217.08900000000003	30	844	0.3
127	217.555	80	349	0.8
128	219.06400000000002	5	1837	0.05
129	219.6826	5	1838	0.05
130	219.96	10	1463	0.1
131	219.97799999999998	80	350	0.8
132	220.171	1	2298	0.01
133	220.19099999999997	1	2299	0.01
134	220.248	5	1839	0.05
135	220.27	40	666	0.4
136	220.3547	2	2149	0.02
137	220.6637	10	1494	0.1
138	220.685	10	1464	0.1
139	220.7854	5	1840	0.05
140	221.003	3	2063	0.03
141	221.05900000000003	2	2150	0.02
142	221.118	15	1334	0.15
143	221.71900000000002	1	2300	0.01
144	221.736	2	2151	0.02
145	222.2573	10	1460	0.1
146	222.99400000000003	10	1495	0.1
147	222.99900000000002	10	1496	0.1
148	223.166	10	1497	0.1
149	225.956	1	2301	0.01
150	226.9847	30	845	0.3
151	227.804	5	1841	0.05
152	228.19799999999998	1	2302	0.01
153	229.67700000000002	20	1077	0.2
154	229.69299999999998	3	2064	0.03
155	229.75900000000001	5	1842	0.05
156	229.769	5	1814	0.05
157	229.8953	60	448	0.6
158	229.951	5	1843	0.05
159	230.02	5	1844	0.05
160	230.5003	100	220	1.0
161	230.87900000000002	5	1845	0.05
162	230.89700000000002	10	1498	0.1
163	231.21	3	2065	0.03
164	231.268	30	846	0.3
165	231.56599999999997	10	1499	0.1
166	231.61599999999999	5	1846	0.05
167	231.828	5	1847	0.05
168	231.891	30	847	0.3
169	231.933	8	1749	0.08
170	231.9434	1	2303	0.01
171	231.997	3	2066	0.03
172	232.021	15	1335	0.15
173	232.042	60	434	0.6
174	232.08700000000002	1	2304	0.01
175	232.15400000000002	1	2305	0.01
176	232.233	8	1750	0.08
177	232.46599999999998	10	1500	0.1
178	232.593	30	848	0.3
179	232.622	12	1435	0.12
180	232.68900000000002	2	2152	0.02
181	232.715	12	1436	0.12
182	232.72299999999998	5	1848	0.05
183	232.763	12	1437	0.12
184	232.79	1	2306	0.01
185	232.864	15	1336	0.15
186	232.87400000000002	5	1849	0.05
187	232.88400000000001	30	849	0.3
188	232.952	15	1337	0.15
189	233.08599999999998	20	1078	0.2
190	233.2141	15	1338	0.15
191	233.24200000000002	2	2153	0.02
192	233.32299999999998	10	1501	0.1
193	233.477	0	2439	0.0
194	233.4924	20	1079	0.2
195	233.7956	30	850	0.3
196	233.8225	10	1502	0.1
197	233.975	2	2154	0.02
198	234.0	2	2135	0.02
199	234.0586	30	851	0.3
200	234.11700000000002	20	1052	0.2
201	234.28	1	2307	0.01
202	234.365	1	2308	0.01
203	234.4338	20	1080	0.2
204	234.438	5	1850	0.05
205	234.583	0	2440	0.0
206	234.59799999999998	0	2441	0.0
207	234.653	2	2155	0.02
208	234.785	1	2309	0.01
209	234.81	1	2310	0.01
210	234.815	0	2442	0.0
211	234.88299999999998	30	852	0.3
212	234.9231	15	1339	0.15
213	235.49099999999999	2	2156	0.02
214	235.56599999999997	3	2067	0.03
215	235.679	20	1081	0.2
216	235.72299999999998	1	2311	0.01
217	235.7686	30	853	0.3
218	235.8448	50	548	0.5
219	235.9386	20	1082	0.2
220	235.947	30	854	0.3
221	235.9812	15	1340	0.15
222	236.0099	60	449	0.6
223	236.0234	30	855	0.3
224	236.1768	80	351	0.8
225	236.2307	5	1851	0.05
226	236.38299999999998	1	2312	0.01
227	236.69099999999997	30	856	0.3
228	236.84	0	2443	0.0
229	236.89	10	1503	0.1
230	236.977	8	1751	0.08
231	237.00900000000001	12	1438	0.12
232	237.07	20	1083	0.2
