	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	209.553	160	68	16.0
1	209.62	70	88	7.0
2	209.686	110	79	11.0
3	213.018	110	80	11.0
4	214.278	160	69	16.0
5	220.609	160	70	16.0
6	228.669	160	71	16.0
7	228.844	110	81	11.0
8	231.649	220	59	22.0
9	231.669	160	72	16.0
10	231.705	285	42	28.5
11	246.127	160	73	16.0
12	249.683	110	82	11.0
13	249.697	70	89	7.0
14	252.022	110	83	11.0
15	252.079	160	74	16.0
16	252.223	220	60	22.0
17	259.094	110	84	11.0
18	270.984	160	75	16.0
19	279.922	110	85	11.0
20	282.364	110	86	11.0
21	288.527	160	76	16.0
22	300.683	220	61	22.0
23	343.715	360	30	36.0
24	383.837	285	43	28.5
25	391.9	360	31	36.0
26	395.585	450	19	45.0
27	399.5	1000	1	100.0
28	403.508	360	32	36.0
29	404.131	550	11	55.0
30	404.353	360	33	36.0
31	417.616	285	44	28.5
32	422.774	285	45	28.5
33	423.691	285	46	28.5
34	423.705	220	62	22.0
35	424.178	450	20	45.0
36	443.274	285	47	28.5
37	444.703	650	7	65.0
38	453.041	360	34	36.0
39	460.148	550	12	55.0
40	460.716	450	21	45.0
41	461.387	360	35	36.0
42	462.139	450	22	45.0
43	463.054	870	2	87.0
44	464.308	550	13	55.0
45	478.813	285	48	28.5
46	480.329	450	23	45.0
47	489.511	285	49	28.5
48	498.737	285	50	28.5
49	499.436	450	24	45.0
50	500.148	650	8	65.0
51	500.27	360	36	36.0
52	500.515	870	3	87.0
53	500.732	550	14	55.0
54	501.062	450	25	45.0
55	501.639	360	37	36.0
56	502.566	360	38	36.0
57	504.51	550	15	55.0
58	549.567	450	26	45.0
59	553.536	285	51	28.5
60	566.663	650	9	65.0
61	567.602	550	16	55.0
62	567.956	870	4	87.0
63	568.621	450	27	45.0
64	571.077	450	28	45.0
65	574.73	285	52	28.5
66	592.781	360	39	36.0
67	593.178	550	17	55.0
68	594.024	285	53	28.5
69	594.165	650	10	65.0
70	595.239	285	54	28.5
71	616.776	285	55	28.5
72	637.962	360	40	36.0
73	648.205	750	5	75.0
74	661.056	750	6	75.0
75	776.224	450	29	45.0
76	843.874	550	18	55.0
77	867.608	220	63	22.0
78	868.743	110	87	11.0
79	869.9	110	77	11.0
80	871.054	160	64	16.0
81	986.541	160	65	16.0
82	986.821	110	78	11.0
83	988.739	160	66	16.0
84	989.109	220	56	22.0
85	996.186	160	67	16.0
86	996.934	220	57	22.0
87	1002.33	285	41	28.5
88	1003.55	220	58	22.0
