	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	313.5483	2500	1	100.0
1	199.9807	30	677	1.2
2	200.9567	7	808	0.28
3	201.0093	10	803	0.4
4	201.7137	160	202	6.4
5	201.8409	40	588	1.6
6	201.9219	25	709	1.0
7	205.0877	80	332	3.2
8	205.9617	2	819	0.08
9	207.7178	20	746	0.8
10	210.4516	7	809	0.28
11	210.9585	7	810	0.28
12	211.4551	20	747	0.8
13	211.6143	60	416	2.4
14	211.9428	15	772	0.6
15	212.7627	35	632	1.4
16	215.5774	60	417	2.4
17	216.6769	50	498	2.0
18	221.3281	5	815	0.2
19	221.65599999999998	7	811	0.28
20	222.8529	80	333	3.2
21	222.9156	30	678	1.2
22	223.1399	15	773	0.6
23	223.5549	15	774	0.6
24	224.7464	25	710	1.0
25	226.0495	10	802	0.4
26	226.2665	5	814	0.2
27	227.3808	10	804	0.4
28	228.6264	15	775	0.6
29	228.7822	7	812	0.28
30	229.1198	2	820	0.08
31	230.2923	20	748	0.8
32	230.3263	20	749	0.8
33	230.3582	80	334	3.2
34	230.6968	60	418	2.4
35	231.5647	300	126	12.0
36	231.8687	7	813	0.28
37	232.013	30	676	1.2
38	232.2264	45	547	1.8
39	232.4927	15	776	0.6
40	232.8805	30	679	1.2
41	233.1444	15	777	0.6
42	233.2109	30	680	1.2
43	233.4403	40	589	1.6
44	233.7377	15	778	0.6
45	233.9724	20	750	0.8
46	235.5743	15	779	0.6
47	236.851	20	751	0.8
48	237.2658	20	752	0.8
49	237.3329	25	711	1.0
50	237.5731	35	633	1.4
51	237.8039	20	753	0.8
52	237.9218	20	754	0.8
53	238.2291	25	712	1.0
54	238.3918	25	713	1.0
55	238.5609	25	714	1.0
56	238.6289	35	634	1.4
57	238.7022	350	114	14.0
58	238.7817	35	635	1.4
59	238.8289	60	419	2.4
60	239.0452	30	681	1.2
61	239.2324	35	636	1.4
62	239.3275	130	234	5.2
63	239.3612	350	115	14.0
64	239.5642	30	682	1.2
65	239.6559	30	683	1.2
66	240.1014	100	287	4.0
67	240.2019	45	548	1.8
68	240.3299	30	684	1.2
69	240.5938	30	685	1.2
70	240.9098	30	686	1.2
71	241.0549	30	687	1.2
72	241.2544	30	688	1.2
73	241.7121	30	689	1.2
74	241.9965	70	372	2.8
75	242.0991	300	127	12.0
76	242.2071	35	637	1.4
77	242.3724	60	420	2.4
78	242.4729	300	128	12.0
79	242.7437	35	638	1.4
80	242.7968	35	639	1.4
81	242.9322	35	640	1.4
82	243.38400000000001	35	641	1.4
83	243.4541	35	642	1.4
84	243.7112	35	643	1.4
85	243.9144	200	161	8.0
86	244.1495	250	143	10.0
87	244.2513	80	335	3.2
88	244.3541	45	549	1.8
89	244.4439	35	644	1.4
90	244.5779	40	590	1.6
91	244.62	40	591	1.6
92	244.7195	35	645	1.4
93	244.8715	200	162	8.0
94	244.9773	40	592	1.6
95	245.218	200	163	8.0
96	245.2657	100	288	4.0
97	245.3718	15	780	0.6
98	245.4628	60	421	2.4
99	245.7477	20	755	0.8
100	246.0776	40	593	1.6
101	246.6368	20	756	0.8
102	249.3149	1000	24	40.0
103	249.4661	130	237	5.2
104	249.78400000000002	130	238	5.2
105	249.8124	70	373	2.8
106	250.2839	300	129	12.0
107	250.4285	25	715	1.0
108	250.4791	25	716	1.0
109	250.6301	450	96	18.0
110	251.4412	45	550	1.8
111	251.5455	600	66	24.0
112	252.5647	50	499	2.0
113	252.7705	40	594	1.6
114	253.1538	600	67	24.0
115	254.5095	25	717	1.0
116	254.6279	35	646	1.4
117	254.6939	20	757	0.8
118	255.8022	15	781	0.6
119	255.9971	10	805	0.4
120	256.5476	15	782	0.6
121	256.8104	12	799	0.48
122	257.1103	30	690	1.2
123	257.39099999999996	35	647	1.4
124	257.5703	15	783	0.6
125	257.7645	15	784	0.6
126	258.6308	550	75	22.0
127	258.9269	60	422	2.4
128	259.3269	40	595	1.6
129	259.4958	600	68	24.0
130	260.0325	45	551	1.8
131	260.2974	25	718	1.0
132	260.3563	130	239	5.2
133	260.5388	45	552	1.8
134	260.7393	80	336	3.2
135	260.8856	30	691	1.2
136	261.1812	850	38	34.0
137	261.3486	60	423	2.4
138	261.6833	25	719	1.0
139	262.5515	60	424	2.4
140	262.6368	40	596	1.6
141	262.7414	300	130	12.0
142	262.9909	60	425	2.4
143	263.0766	35	631	1.4
144	263.1812	300	131	12.0
145	263.6127	35	648	1.4
146	263.7505	90	313	3.6
147	264.7785	30	692	1.2
148	264.8532	160	203	6.4
149	265.0534	35	649	1.4
150	265.1313	200	164	8.0
151	265.243	80	337	3.2
152	265.4331	50	500	2.0
153	265.9029	60	426	2.4
154	265.981	200	165	8.0
155	266.0997	850	39	34.0
156	266.2394	70	374	2.8
157	266.346	200	166	8.0
158	266.4358	80	330	3.2
159	266.6458	350	116	14.0
160	266.7395	90	314	3.6
161	266.9372	60	427	2.4
162	267.0027	100	289	4.0
163	267.0406	130	240	5.2
164	267.1826	1000	25	40.0
165	267.2027	60	428	2.4
166	267.4035	200	167	8.0
167	267.5266	50	501	2.0
168	267.5941	60	429	2.4
169	267.8085	850	40	34.0
170	267.9252	150	232	6.0
171	268.2194	45	553	1.8
172	268.3622	25	720	1.0
173	268.5083	20	758	0.8
174	269.3712	15	785	0.6
175	269.8048	15	786	0.6
176	271.008	25	721	1.0
177	271.473	70	375	2.8
178	272.05	25	722	1.0
179	272.393	45	554	1.8
180	273.182	25	723	1.0
181	273.874	15	787	0.6
182	274.127	25	724	1.0
183	274.677	130	241	5.2
184	274.89799999999997	25	725	1.0
185	274.9649	130	235	5.2
186	275.051	60	430	2.4
187	275.9797	35	650	1.4
188	276.1861	25	726	1.0
189	276.278	25	727	1.0
190	276.76099999999997	35	651	1.4
191	277.5113	20	759	0.8
192	278.17	15	788	0.6
193	278.578	15	789	0.6
194	278.611	15	790	0.6
195	278.849	70	376	2.8
196	278.935	20	760	0.8
197	279.286	15	791	0.6
198	279.9211	80	338	3.2
199	280.694	60	431	2.4
200	280.775	90	315	3.6
201	280.8706	650	60	26.0
202	280.952	850	41	34.0
203	281.064	130	242	5.2
204	281.143	80	339	3.2
205	281.184	160	204	6.4
206	281.39	250	144	10.0
207	281.721	50	502	2.0
208	281.8288	350	117	14.0
209	282.07099999999997	25	728	1.0
210	282.149	25	729	1.0
211	282.441	25	730	1.0
212	282.835	35	652	1.4
213	282.9868	600	69	24.0
214	283.192	35	653	1.4
215	283.226	35	654	1.4
216	283.361	45	555	1.8
217	283.607	80	340	3.2
218	283.9564	800	46	32.0
219	284.1724	1000	26	40.0
220	284.2762	30	693	1.2
221	284.863	60	432	2.4
222	284.911	40	597	1.6
223	285.002	35	655	1.4
224	285.072	35	656	1.4
225	285.116	40	598	1.6
226	285.6508	650	61	26.0
227	285.9488	800	47	32.0
228	286.1019	350	118	14.0
229	286.296	40	599	1.6
230	286.366	60	433	2.4
231	286.796	50	503	2.0
232	286.83099999999996	60	434	2.4
233	286.93	50	504	2.0
234	287.1275	750	51	30.0
235	287.2954	650	62	26.0
236	287.573	50	505	2.0
237	287.738	70	377	2.8
238	287.9041	130	243	5.2
239	288.1146	900	36	36.0
240	288.4249	90	316	3.6
241	288.6257	850	42	34.0
242	288.795	100	290	4.0
243	288.895	80	341	3.2
244	288.961	70	378	2.8
245	289.051	50	506	2.0
246	289.121	70	379	2.8
247	289.3949	700	56	28.0
248	289.661	60	435	2.4
249	289.74	70	380	2.8
250	290.1139	900	37	36.0
251	290.4716	800	48	32.0
252	290.4915	1100	18	44.0
253	290.74	250	145	10.0
254	290.752	250	146	10.0
255	290.856	160	205	6.4
256	291.752	1100	19	44.0
257	291.9049	1100	20	44.0
258	291.985	1200	15	48.0
259	292.0945	1300	14	52.0
260	292.3485	1000	27	40.0
261	293.0882	750	52	30.0
262	293.4079	850	43	34.0
263	293.555	130	244	5.2
264	293.7735	950	31	38.0
265	294.2657	450	97	18.0
266	294.5702	800	49	32.0
267	294.7449	950	32	38.0
268	295.1235	1200	16	48.0
269	295.2396	1100	21	44.0
270	296.0116	850	44	34.0
271	296.16700000000003	80	342	3.2
272	296.5742	450	98	18.0
273	296.848	80	343	3.2
274	296.897	90	317	3.6
275	297.0727	500	87	20.0
276	297.272	160	206	6.4
277	297.4235	600	70	24.0
278	297.4988	750	53	30.0
279	297.6686	400	107	16.0
280	297.7125	1000	28	40.0
281	297.9657	1100	22	44.0
282	298.0627	1100	23	44.0
283	298.4186	1300	13	52.0
284	298.6451	300	132	12.0
285	298.7213	300	133	12.0
286	299.689	40	600	1.6
287	300.086	130	245	5.2
288	300.29200000000003	130	246	5.2
289	300.4149	550	76	22.0
290	300.7442	750	54	30.0
291	300.9137	750	55	30.0
292	300.9482	450	99	18.0
293	301.151	60	436	2.4
294	301.31	160	207	6.4
295	301.5395	600	71	24.0
296	301.7341	450	100	18.0
297	301.8324	160	208	6.4
298	301.998	80	344	3.2
299	302.137	200	168	8.0
300	302.2348	160	209	6.4
301	302.4	130	247	5.2
302	302.531	60	437	2.4
303	302.7062	300	134	12.0
304	302.907	400	108	16.0
305	302.932	40	601	1.6
306	303.126	200	169	8.0
307	303.7076	400	109	16.0
308	303.872	350	119	14.0
309	304.013	160	210	6.4
310	304.2461	350	120	14.0
311	304.31	200	170	8.0
312	304.56	400	110	16.0
313	304.895	200	171	8.0
314	305.02099999999996	350	121	14.0
315	305.3666	550	77	22.0
316	305.5347	550	78	22.0
317	305.5822	45	556	1.8
318	305.6161	550	79	22.0
319	305.7375	550	80	22.0
320	305.795	550	81	22.0
321	305.872	550	82	22.0
322	306.0251	700	57	28.0
323	306.135	800	50	32.0
324	306.1792	25	731	1.0
325	306.4375	500	88	20.0
326	306.6223	500	89	20.0
327	306.6535	500	90	20.0
328	307.0829	350	122	14.0
329	307.4334	550	83	22.0
330	307.8318	550	74	22.0
331	307.8752	170	201	6.8
332	308.0254	550	84	22.0
333	308.293	30	694	1.2
334	308.357	25	732	1.0
335	308.557	35	657	1.4
336	308.70599999999996	450	101	18.0
337	308.8263	450	102	18.0
338	308.999	130	248	5.2
339	309.2035	550	85	22.0
340	309.2732	550	86	22.0
341	309.3089	400	111	16.0
342	309.4449	650	63	26.0
343	309.467	200	172	8.0
344	309.5552	650	64	26.0
345	309.64799999999997	70	381	2.8
346	309.671	70	382	2.8
347	309.77299999999997	60	438	2.4
348	309.902	60	439	2.4
349	309.98	45	557	1.8
350	310.277	40	602	1.6
351	310.3578	500	91	20.0
352	310.4403	500	92	20.0
353	310.737	350	123	14.0
354	310.9538	300	135	12.0
355	311.02299999999997	130	249	5.2
356	311.1453	450	103	18.0
357	311.2924	70	383	2.8
358	311.3693	500	93	20.0
359	311.413	10	806	0.4
360	311.601	60	440	2.4
361	311.7231	300	136	12.0
362	311.8134	15	792	0.6
363	311.915	40	603	1.6
364	312.1759	350	124	14.0
365	312.2935	400	112	16.0
366	312.4415	1700	4	68.0
367	312.5212	600	72	24.0
368	312.644	100	291	4.0
369	312.9377	600	73	24.0
370	312.9821	80	345	3.2
371	313.23	80	346	3.2
372	313.7861	1700	5	68.0
373	313.894	100	292	4.0
374	314.052	35	658	1.4
375	314.095	35	659	1.4
376	314.121	35	660	1.4
377	314.182	30	695	1.2
378	314.267	35	661	1.4
379	314.5706	950	33	38.0
380	314.694	45	558	1.8
381	314.9283	2000	2	80.0
382	315.04900000000004	60	441	2.4
383	315.078	55	497	2.2
384	315.144	50	507	2.0
385	315.203	40	604	1.6
386	315.324	40	605	1.6
387	315.377	60	442	2.4
388	315.498	45	559	1.8
389	315.548	45	560	1.8
390	315.585	45	561	1.8
391	315.842	250	147	10.0
392	315.9527	70	384	2.8
393	316.1154	250	148	10.0
394	316.253	90	318	3.6
395	316.3246	350	125	14.0
396	316.3736	2000	3	80.0
397	316.525	70	385	2.8
398	316.63599999999997	30	696	1.2
399	316.677	30	697	1.2
400	316.7484	200	173	8.0
401	316.95799999999997	300	137	12.0
402	317.16200000000003	25	733	1.0
403	317.27	25	734	1.0
404	317.342	15	793	0.6
405	317.5086	700	58	28.0
406	317.9064	1000	29	40.0
407	318.094	160	211	6.4
408	318.624	40	606	1.6
409	318.778	80	347	3.2
410	318.8127	80	348	3.2
411	318.9002	200	174	8.0
412	318.97900000000004	1700	6	68.0
413	319.20599999999996	40	607	1.6
414	319.221	35	662	1.4
415	319.414	80	349	3.2
416	319.579	25	735	1.0
417	319.893	20	761	0.8
418	320.03	60	443	2.4
419	320.421	45	562	1.8
420	320.48900000000003	25	736	1.0
421	320.851	20	762	0.8
422	321.219	1600	9	64.0
423	321.282	200	175	8.0
424	321.47700000000003	130	250	5.2
425	321.6283	450	104	18.0
426	321.752	35	663	1.4
427	322.1175	60	444	2.4
428	322.147	30	698	1.2
429	322.23400000000004	40	608	1.6
430	322.3506	60	445	2.4
431	322.437	50	508	2.0
432	322.529	35	664	1.4
433	322.5977	450	105	18.0
434	322.911	80	350	3.2
435	323.14099999999996	45	563	1.8
436	323.4927	700	59	28.0
437	323.67	20	763	0.8
438	323.82	12	800	0.48
439	323.922	15	794	0.6
440	324.0324	40	609	1.6
441	324.20599999999996	15	795	0.6
442	324.452	15	796	0.6
443	324.488	20	764	0.8
444	324.742	40	610	1.6
445	324.791	20	765	0.8
446	324.846	35	665	1.4
447	325.0949	400	113	16.0
448	325.168	300	138	12.0
449	325.439	30	699	1.2
450	325.471	30	700	1.2
451	325.51099999999997	40	611	1.6
452	325.7964	1500	10	60.0
453	326.02099999999996	650	65	26.0
454	326.16700000000003	30	701	1.2
455	326.238	30	702	1.2
456	326.35900000000004	130	251	5.2
457	326.83099999999996	25	737	1.0
458	327.158	25	738	1.0
459	327.274	70	386	2.8
460	327.422	950	34	38.0
461	327.80199999999996	40	612	1.6
462	327.87699999999995	35	666	1.4
463	328.025	35	667	1.4
464	328.278	90	319	3.6
465	328.5602	1700	7	68.0
466	328.934	60	446	2.4
467	329.04400000000004	80	351	3.2
468	329.13699999999994	50	509	2.0
469	329.25	80	352	3.2
470	329.474	60	447	2.4
471	329.565	60	448	2.4
472	329.714	70	387	2.8
473	329.83099999999996	70	388	2.8
474	329.968	130	252	5.2
475	330.1349	1700	8	68.0
476	330.4957	1500	11	60.0
477	330.788	200	176	8.0
478	331.26800000000003	60	449	2.4
479	331.376	90	320	3.6
480	331.408	70	389	2.8
481	331.8039	1000	30	40.0
482	332.022	60	450	2.4
483	332.059	60	451	2.4
484	332.39300000000003	60	452	2.4
485	332.642	60	453	2.4
486	332.689	100	293	4.0
487	332.7689	950	35	38.0
488	333.30699999999996	60	454	2.4
489	333.36800000000005	60	455	2.4
490	333.445	70	390	2.8
491	333.801	70	391	2.8
492	333.871	50	510	2.0
493	333.921	40	613	1.6
494	333.98199999999997	45	564	1.8
495	334.17699999999996	80	353	3.2
496	334.226	100	294	4.0
497	334.31699999999995	70	392	2.8
498	334.629	60	456	2.4
499	334.75699999999995	50	511	2.0
500	334.94699999999995	60	457	2.4
501	335.19599999999997	90	321	3.6
502	335.389	300	139	12.0
503	335.416	300	140	12.0
504	335.57599999999996	50	512	2.0
505	336.019	500	94	20.0
506	336.233	160	212	6.4
507	336.279	160	213	6.4
508	336.401	130	253	5.2
509	336.474	130	254	5.2
510	336.8632	160	214	6.4
511	336.939	200	177	8.0
512	337.222	160	215	6.4
513	337.48	50	513	2.0
514	337.548	50	514	2.0
515	337.871	35	668	1.4
516	338.033	40	614	1.6
517	338.475	35	669	1.4
518	338.727	25	739	1.0
519	338.785	50	515	2.0
520	339.538	40	615	1.6
521	339.57800000000003	40	616	1.6
522	339.88	50	516	2.0
523	339.926	60	458	2.4
524	340.0093	200	178	8.0
525	341.083	12	801	0.48
526	342.135	60	459	2.4
527	342.35900000000004	70	393	2.8
528	342.403	130	255	5.2
529	342.53	30	703	1.2
530	343.171	25	740	1.0
531	343.349	40	617	1.6
532	343.925	30	704	1.2
533	344.01199999999994	35	670	1.4
534	344.336	50	517	2.0
535	345.017	20	766	0.8
536	345.088	20	767	0.8
537	345.528	25	741	1.0
538	345.70300000000003	15	797	0.6
539	345.895	15	798	0.6
540	346.2491	450	106	18.0
541	346.871	25	742	1.0
542	347.32099999999997	35	671	1.4
543	347.58099999999996	70	394	2.8
544	348.2	40	618	1.6
545	348.30199999999996	40	619	1.6
546	348.574	20	768	0.8
547	349.82599999999996	160	216	6.4
548	351.695	60	460	2.4
549	352.529	60	461	2.4
550	352.79699999999997	80	354	3.2
551	352.911	130	256	5.2
552	353.048	160	217	6.4
553	353.3052	1500	12	60.0
554	354.023	70	395	2.8
555	354.13599999999997	60	462	2.4
556	355.05699999999996	60	463	2.4
557	355.19199999999995	45	565	1.8
558	355.25	60	464	2.4
559	355.412	60	465	2.4
560	356.61800000000005	130	257	5.2
561	357.048	130	258	5.2
562	359.74199999999996	35	672	1.4
563	359.837	25	743	1.0
564	360.955	60	466	2.4
565	361.55800000000005	40	620	1.6
566	363.1272	1200	17	48.0
567	366.865	30	705	1.2
568	369.42	25	744	1.0
569	370.1	30	706	1.2
570	370.158	30	707	1.2
571	371.10699999999997	850	45	34.0
572	374.333	45	566	1.8
573	379.825	130	259	5.2
574	380.653	130	260	5.2
575	381.31199999999995	100	295	4.0
576	381.461	60	467	2.4
577	382.05	70	396	2.8
578	385.832	500	95	20.0
579	387.126	300	141	12.0
580	387.89599999999996	160	218	6.4
581	388.722	90	322	3.6
582	388.88699999999994	130	261	5.2
583	389.57800000000003	130	262	5.2
584	389.69199999999995	70	397	2.8
585	390.167	90	323	3.6
586	390.369	80	355	3.2
587	390.474	100	296	4.0
588	391.026	100	297	4.0
589	392.671	100	298	4.0
590	393.69599999999997	100	299	4.0
591	393.945	60	468	2.4
592	394.15	80	356	3.2
593	394.298	130	263	5.2
594	398.585	30	708	1.2
595	399.69699999999995	130	264	5.2
596	399.87800000000004	70	398	2.8
597	400.36300000000006	45	567	1.8
598	400.49800000000005	100	300	4.0
599	402.793	40	621	1.6
600	405.6007	50	518	2.0
601	405.967	45	568	1.8
602	408.1369	200	179	8.0
603	408.7603	130	265	5.2
604	410.735	35	673	1.4
605	411.3704	300	142	12.0
606	412.3082	250	149	10.0
607	412.70300000000003	80	357	3.2
608	414.907	90	324	3.6
609	416.527	40	622	1.6
610	416.80300000000005	60	469	2.4
611	417.19300000000004	160	219	6.4
612	417.288	160	220	6.4
613	417.413	150	233	6.0
614	419.402	60	470	2.4
615	420.2764	130	266	5.2
616	420.48400000000004	60	471	2.4
617	420.87199999999996	80	358	3.2
618	421.62699999999995	160	221	6.4
619	423.096	50	519	2.0
620	423.272	130	267	5.2
621	423.32599999999996	250	150	10.0
622	424.037	200	160	8.0
623	424.0903	250	151	10.0
624	424.281	70	399	2.8
625	424.341	70	400	2.8
626	424.68300000000005	50	520	2.0
627	426.05800000000005	200	180	8.0
628	429.038	60	472	2.4
629	429.2488	250	152	10.0
630	429.2864	250	153	10.0
631	430.219	70	401	2.8
632	430.45300000000003	60	473	2.4
633	430.587	60	474	2.4
634	430.675	70	402	2.8
635	430.8817	250	154	10.0
636	430.9043	250	155	10.0
637	432.0751	5	816	0.2
638	432.0913	250	156	10.0
639	432.69800000000004	130	268	5.2
640	433.44199999999995	80	359	3.2
641	433.7294	250	157	10.0
642	433.75199999999995	5	817	0.2
643	434.4108	250	158	10.0
644	435.36	60	475	2.4
645	436.86	200	181	8.0
646	437.5215	200	182	8.0
647	437.819	60	476	2.4
648	438.4194	160	222	6.4
649	438.7489	200	183	8.0
650	439.2814	250	159	10.0
651	439.6317	160	223	6.4
652	440.14099999999996	90	325	3.6
653	440.5113	200	184	8.0
654	443.51800000000003	60	477	2.4
655	443.847	130	269	5.2
656	444.1	100	301	4.0
657	444.259	160	224	6.4
658	444.32	130	270	5.2
659	444.5928	160	225	6.4
660	444.6695	200	185	8.0
661	444.7411	200	186	8.0
662	445.18300000000005	60	478	2.4
663	445.4564	5	818	0.2
664	445.4736	200	187	8.0
665	445.5224	200	188	8.0
666	445.7025	20	769	0.8
667	445.7223	200	189	8.0
668	445.95099999999996	80	360	3.2
669	447.21	100	302	4.0
670	447.274	90	326	3.6
671	447.4633	200	190	8.0
672	447.8623	100	303	4.0
673	447.8797	200	191	8.0
674	448.0423	130	271	5.2
675	448.1664	200	192	8.0
676	448.779	130	272	5.2
677	449.0162	200	193	8.0
678	449.0869	200	194	8.0
679	449.1037	10	807	0.4
680	449.615	130	273	5.2
681	449.9431	20	770	0.8
682	449.9615	200	195	8.0
683	450.3693	130	274	5.2
684	450.6972	200	196	8.0
685	450.8997	130	275	5.2
686	451.0475	160	226	6.4
687	451.441	60	479	2.4
688	451.73800000000006	130	276	5.2
689	451.9201	200	197	8.0
690	452.4977	200	198	8.0
691	452.661	40	623	1.6
692	452.931	90	327	3.6
693	453.3323	200	199	8.0
694	453.80300000000005	60	480	2.4
695	454.7845	80	361	3.2
696	454.95	45	569	1.8
697	455.1518	200	200	8.0
698	455.1787	80	362	3.2
699	455.832	50	521	2.0
700	456.907	70	403	2.8
701	457.0443	130	277	5.2
702	457.355	50	522	2.0
703	457.842	60	481	2.4
704	458.4383	80	363	3.2
705	459.0933	160	227	6.4
706	459.819	50	523	2.0
707	459.974	60	482	2.4
708	461.338	130	278	5.2
709	461.455	50	524	2.0
710	463.394	50	525	2.0
711	464.62	70	404	2.8
712	468.964	50	526	2.0
713	472.2333	160	228	6.4
714	472.86	40	624	1.6
715	473.1141	160	229	6.4
716	473.2502	100	304	4.0
717	473.374	45	570	1.8
718	474.1669	160	230	6.4
719	474.985	40	625	1.6
720	475.77099999999996	50	527	2.0
721	476.131	45	571	1.8
722	476.8902	160	231	6.4
723	478.879	100	305	4.0
724	479.449	45	572	1.8
725	480.282	45	573	1.8
726	481.00300000000004	45	574	1.8
727	481.475	50	528	2.0
728	483.5259	50	529	2.0
729	484.18800000000005	45	575	1.8
730	488.54	45	576	1.8
731	490.793	40	626	1.6
732	492.38	45	577	1.8
733	497.32599999999996	60	483	2.4
734	513.375	100	306	4.0
735	514.311	60	484	2.4
736	518.715	45	578	1.8
737	519.165	100	307	4.0
738	519.523	100	308	4.0
739	520.3330000000001	50	530	2.0
740	520.6080000000001	45	579	1.8
741	520.855	80	364	3.2
742	520.994	40	627	1.6
743	521.349	45	580	1.8
744	522.819	35	674	1.4
745	523.531	45	581	1.8
746	523.943	45	582	1.8
747	526.066	50	531	2.0
748	527.572	45	583	1.8
749	529.165	70	405	2.8
750	530.447	40	628	1.6
751	530.736	45	584	1.8
752	530.914	50	532	2.0
753	536.0409999999999	50	533	2.0
754	536.246	40	629	1.6
755	537.9019999999999	45	544	1.8
756	539.063	60	414	2.4
757	539.941	45	545	1.8
758	540.0464	70	406	2.8
759	540.207	45	546	1.8
760	541.4546	90	312	3.6
761	544.12	80	365	3.2
762	548.59	35	675	1.4
763	552.111	80	366	3.2
764	553.372	50	534	2.0
765	559.83	50	535	2.0
766	560.774	50	536	2.0
767	565.563	80	367	3.2
768	566.4780000000001	100	309	4.0
769	570.007	130	279	5.2
770	570.6	130	280	5.2
771	570.812	130	281	5.2
772	570.961	130	282	5.2
773	571.617	100	310	4.0
774	572.138	100	311	4.0
775	573.194	60	485	2.4
776	574.811	50	537	2.0
777	576.5369999999999	60	486	2.4
778	582.684	70	407	2.8
779	583.687	90	328	3.6
780	592.135	130	283	5.2
781	594.09	130	284	5.2
782	597.359	70	408	2.8
783	602.6669999999999	50	538	2.0
784	606.327	60	487	2.4
785	612.146	50	539	2.0
