	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	202.932	3300	1	100.0	
1	203.299	3000	2	90.9090909090909	
2	210.942	2000	3	60.60606060606061	
3	212.521	1700	5	51.515151515151516	
4	212.654	1100	9	33.333333333333336	
5	213.118	1500	6	45.45454545454545	
6	229.568	370	40	11.212121212121213	
7	230.208	280	54	8.484848484848484	
8	237.64	170	87	5.151515151515151	
9	238.709	110	112	3.3333333333333335	
10	238.752	140	98	4.242424242424242	
11	238.827	45	145	1.3636363636363635	
12	239.848	160	89	4.848484848484849	
13	240.534	55	142	1.6666666666666667	
14	240.585	55	143	1.6666666666666667	
15	241.246	140	99	4.242424242424242	
16	241.699	160	90	4.848484848484849	
17	241.869	140	100	4.242424242424242	
18	243.38	75	137	2.272727272727273	
19	243.595	40	147	1.2121212121212122	
20	243.742	45	146	1.3636363636363635	
21	244.214	40	148	1.2121212121212122	
22	244.268	28	150	0.8484848484848485	
23	245.187	65	138	1.9696969696969697	
24	245.395	65	139	1.9696969696969697	
25	245.809	55	144	1.6666666666666667	
26	247.738	110	113	3.3333333333333335	
27	247.829	65	140	1.9696969696969697	
28	247.994	65	141	1.9696969696969697	
29	248.388	35	149	1.0606060606060606	
30	251.1	110	114	3.3333333333333335	
31	252.14	110	115	3.3333333333333335	
32	254.48	390	34	11.818181818181818	
33	255.138	110	116	3.3333333333333335	
34	255.694	130	104	3.9393939393939394	
35	256.241	130	105	3.9393939393939394	
36	257.133	110	117	3.3333333333333335	
37	258.399	390	35	11.818181818181818	
38	259.094	390	36	11.818181818181818	
39	264.224	200	72	6.0606060606060606	
40	264.626	320	43	9.696969696969697	
41	265.608	310	48	9.393939393939394	
42	266.525	110	118	3.3333333333333335	
43	266.659	110	119	3.3333333333333335	
44	266.73	110	120	3.3333333333333335	
45	267.193	400	28	12.121212121212121	
46	267.357	200	73	6.0606060606060606	
47	267.594	200	74	6.0606060606060606	
48	269.177	160	91	4.848484848484849	
49	269.706	1000	12	30.303030303030305	
50	269.886	320	44	9.696969696969697	
51	270.22	320	45	9.696969696969697	
52	270.252	150	95	4.545454545454546	
53	271.662	470	22	14.242424242424242	
54	272.198	470	23	14.242424242424242	
55	273.326	310	49	9.393939393939394	
56	273.709	110	121	3.3333333333333335	
57	276.813	240	62	7.2727272727272725	
58	278.024	270	57	8.181818181818182	
59	279.305	110	122	3.3333333333333335	
60	282.708	190	83	5.757575757575758	
61	284.115	250	60	7.575757575757576	
62	284.265	280	55	8.484848484848484	
63	284.628	160	92	4.848484848484849	
64	286.109	240	63	7.2727272727272725	
65	286.561	100	130	3.0303030303030303	
66	286.852	500	21	15.151515151515152	
67	287.539	800	15	24.242424242424242	
68	287.695	270	58	8.181818181818182	
69	287.703	530	20	16.060606060606062	
70	288.072	100	131	3.0303030303030303	
71	288.318	570	19	17.272727272727273	
72	288.883	280	56	8.484848484848484	
73	289.781	470	24	14.242424242424242	
74	289.924	400	29	12.121212121212121	
75	290.824	470	25	14.242424242424242	
76	291.059	670	17	20.303030303030305	
77	291.174	470	26	14.242424242424242	
78	292.781	1100	10	33.333333333333336	
79	293.147	110	123	3.3333333333333335	
80	294.154	870	14	26.363636363636363	
81	294.588	110	124	3.3333333333333335	
82	294.612	110	125	3.3333333333333335	
83	294.69	110	126	3.3333333333333335	
84	295.088	1100	11	33.333333333333336	
85	297.257	400	30	12.121212121212121	
86	297.41	320	46	9.696969696969697	
87	297.768	210	70	6.363636363636363	
88	298.211	200	75	6.0606060606060606	
89	299.026	330	42	10.0	
90	299.473	470	27	14.242424242424242	
91	302.474	140	101	4.242424242424242	
92	302.844	350	41	10.606060606060606	
93	303.277	300	50	9.090909090909092	
94	304.476	100	132	3.0303030303030303	
95	305.552	100	133	3.0303030303030303	
96	306.453	220	69	6.666666666666667	
97	306.968	110	127	3.3333333333333335	
98	307.09	100	134	3.0303030303030303	
99	307.156	110	128	3.3333333333333335	
100	307.324	100	135	3.0303030303030303	
101	307.687	400	31	12.121212121212121	
102	308.035	110	129	3.3333333333333335	
103	309.418	1800	4	54.54545454545455	
104	309.919	140	102	4.242424242424242	
105	312.753	270	59	8.181818181818182	
106	313.079	1500	7	45.45454545454545	
107	314.54	390	37	11.818181818181818	
108	316.34	1200	8	36.36363636363637	
109	317.578	150	96	4.545454545454546	
110	318.029	390	38	11.818181818181818	
111	319.11	300	51	9.090909090909092	
112	319.143	150	97	4.545454545454546	
113	319.498	1000	13	30.303030303030305	
114	320.335	120	109	3.6363636363636362	
115	320.634	300	52	9.090909090909092	
116	321.56	390	39	11.818181818181818	
117	322.548	800	16	24.242424242424242	
118	322.956	140	103	4.242424242424242	
119	323.64	400	32	12.121212121212121	
120	324.747	200	76	6.0606060606060606	
121	324.894	120	110	3.6363636363636362	
122	325.407	320	47	9.696969696969697	
123	326.056	230	64	6.96969696969697	
124	326.337	160	93	4.848484848484849	
125	328.346	200	77	6.0606060606060606	
126	329.202	160	94	4.848484848484849	
127	331.958	120	111	3.6363636363636362	
128	334.16	130	106	3.9393939393939394	
129	336.558	130	107	3.9393939393939394	
130	336.916	130	108	3.9393939393939394	
131	338.624	170	88	5.151515151515151	
132	340.868	230	65	6.96969696969697	
133	340.919	180	84	5.454545454545454	
134	341.294	230	66	6.96969696969697	
135	342.542	230	67	6.96969696969697	
136	342.657	230	68	6.96969696969697	
137	343.27	180	85	5.454545454545454	
138	344.059	180	86	5.454545454545454	
139	347.956	200	78	6.0606060606060606	
140	348.405	100	136	3.0303030303030303	
141	351.026	200	79	6.0606060606060606	
142	351.542	200	80	6.0606060606060606	
143	351.767	200	81	6.0606060606060606	
144	354.096	250	61	7.575757575757576	
145	361.951	300	53	9.090909090909092	
146	365.119	400	33	12.121212121212121	
147	365.961	200	82	6.0606060606060606	
148	374.073	670	18	20.303030303030305	
149	381.886	210	71	6.363636363636363	
