	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	248.419	100	56	16.666666666666668
1	260.606	150	42	25.0
2	262.618	100	57	16.666666666666668
3	263.676	90	64	15.0
4	330.892	150	43	25.0
5	341.934	125	49	20.833333333333332
6	342.5	100	58	16.666666666666668
7	417.848	100	59	16.666666666666668
8	428.86	200	30	33.333333333333336
9	438.535	200	31	33.333333333333336
10	442.07099999999997	400	10	66.66666666666667
11	445.246	100	60	16.666666666666668
12	446.3	150	44	25.0
13	446.798	120	51	20.0
14	447.526	200	32	33.333333333333336
15	449.92400000000004	200	33	33.333333333333336
16	453.08099999999996	120	52	20.0
17	455.483	120	53	20.0
18	455.80699999999996	120	54	20.0
19	458.171	120	55	20.0
20	458.80400000000003	500	5	83.33333333333333
21	458.986	500	6	83.33333333333333
22	460.208	600	1	100.0
23	462.67	300	17	50.0
24	465.83099999999996	300	18	50.0
25	486.44199999999995	200	34	33.333333333333336
26	492.72	150	45	25.0
27	494.353	500	7	83.33333333333333
28	495.439	300	19	50.0
29	496.971	300	20	50.0
30	519.141	150	46	25.0
31	525.352	300	21	50.0
32	529.613	400	11	66.66666666666667
33	531.607	250	24	41.666666666666664
34	534.475	300	22	50.0
35	537.82	250	25	41.666666666666664
36	538.688	300	23	50.0
37	540.972	200	35	33.333333333333336
38	542.591	400	12	66.66666666666667
39	545.0740000000001	400	13	66.66666666666667
40	546.12	125	50	20.833333333333332
41	548.355	200	36	33.333333333333336
42	549.9730000000001	200	37	33.333333333333336
43	550.719	200	38	33.333333333333336
44	554.114	200	39	33.333333333333336
45	558.327	200	40	33.333333333333336
46	558.8340000000001	250	26	41.666666666666664
47	572.771	100	61	16.666666666666668
48	602.418	500	8	83.33333333333333
49	603.404	400	14	66.66666666666667
50	604.312	500	9	83.33333333333333
51	605.55	250	27	41.666666666666664
52	605.786	100	62	16.666666666666668
53	608.7819999999999	350	15	58.333333333333336
54	616.559	350	16	58.333333333333336
55	623.229	100	63	16.666666666666668
56	636.727	200	41	33.333333333333336
57	643.5319999999999	250	28	41.666666666666664
58	643.631	130	48	21.666666666666668
59	645.999	600	2	100.0
60	650.346	600	3	100.0
61	650.797	600	4	100.0
62	671.328	150	47	25.0
63	784.563	250	29	41.666666666666664
