	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	227.621	150	5	50.0	
1	233.477	190	4	63.333333333333336	
2	238.614	270	3	90.0	
3	241.584	80	11	26.666666666666668	
4	242.018	45	20	15.0	
5	242.098	65	14	21.666666666666668	
6	242.711	65	15	21.666666666666668	
7	243.185	40	22	13.333333333333334	
8	243.185	40	23	13.333333333333334	
9	245.57	30	28	10.0	
10	245.89	65	16	21.666666666666668	
11	245.89	65	17	21.666666666666668	
12	246.104	90	10	30.0	
13	247.564	15	32	5.0	
14	247.754	15	33	5.0	
15	249.077	100	8	33.333333333333336	
16	250.384	15	34	5.0	
17	250.429	300	1	100.0	
18	250.51	40	24	13.333333333333334	
19	251.066	50	19	16.666666666666668	
20	251.103	300	2	100.0	
21	251.336	75	12	25.0	
22	252.053	130	6	43.333333333333336	
23	253.704	110	7	36.666666666666664	
24	256.692	25	31	8.333333333333334	
25	258.729	40	25	13.333333333333334	
26	258.729	40	26	13.333333333333334	
27	260.332	30	29	10.0	
28	260.644	75	13	25.0	
29	263.874	30	30	10.0	
30	270.563	40	27	13.333333333333334	
31	271.531	100	9	33.333333333333336	
32	291.017	65	18	21.666666666666668	
33	396.454	45	21	15.0	
