	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	467.0406	18	1	100.0	
1	826.134	18	2	100.0	
2	431.4082	17	3	94.44444444444444	
3	503.101	17	4	94.44444444444444	
4	437.4462	16	5	88.88888888888889	
5	523.9811	16	6	88.88888888888889	
6	552.6785	16	7	88.88888888888889	
7	430.5711	15	8	83.33333333333333	
8	432.0745	15	9	83.33333333333333	
9	565.7907	15	10	83.33333333333333	
10	568.4214	15	11	83.33333333333333	
11	624.5641	15	12	83.33333333333333	
12	770.9172	15	13	83.33333333333333	
13	809.7788	15	14	83.33333333333333	
14	822.8532	15	15	83.33333333333333	
15	837.1008	15	16	83.33333333333333	
16	305.2922	14	17	77.77777777777777	E
17	627.9781	14	18	77.77777777777777	
18	637.0467	14	19	77.77777777777777	
19	660.4578	14	20	77.77777777777777	E
20	335.3724	13	21	72.22222222222223	
21	353.5713	13	22	72.22222222222223	
22	357.253	13	23	72.22222222222223	
23	361.3831	13	24	72.22222222222223	
24	363.0742	13	25	72.22222222222223	
25	364.2782	13	26	72.22222222222223	
26	383.308	13	27	72.22222222222223	
27	401.4475	13	28	72.22222222222223	
28	429.4764	13	29	72.22222222222223	
29	432.4998	13	30	72.22222222222223	
30	564.1	13	31	72.22222222222223	
31	565.8362	13	32	72.22222222222223	
32	566.9055	13	33	72.22222222222223	
33	822.4537	13	34	72.22222222222223	
34	833.2116	13	35	72.22222222222223	
35	836.9166	13	36	72.22222222222223	
36	278.9151	12	37	66.66666666666667	
37	298.8918	12	38	66.66666666666667	
38	303.9922	12	39	66.66666666666667	
39	304.5725	12	40	66.66666666666667	
40	306.5117	12	41	66.66666666666667	
41	313.9718	12	42	66.66666666666667	
42	335.9668	12	43	66.66666666666667	
43	336.8936	12	44	66.66666666666667	
44	337.215	12	45	66.66666666666667	
45	355.8534	12	46	66.66666666666667	
46	356.7702	12	47	66.66666666666667	B'
47	357.634	12	48	66.66666666666667	A'
48	358.0928	12	49	66.66666666666667	A'
49	364.5308	12	50	66.66666666666667	B+
50	384.3049	12	51	66.66666666666667	A'
51	385.9592	12	52	66.66666666666667	B+
52	424.682	12	53	66.66666666666667	
53	435.4602	12	54	66.66666666666667	E
54	438.4808	12	55	66.66666666666667	
55	531.8374	12	56	66.66666666666667	E
56	535.7202	12	57	66.66666666666667	
