	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	210.8475	170	82	1.1333333333333333
1	213.1208	250	65	1.6666666666666667
2	215.08442	520	41	3.466666666666667
3	215.15135	530	39	3.533333333333333
4	220.0075	160	83	1.0666666666666667
5	225.2845	67	99	0.44666666666666666
6	225.5726	35	107	0.23333333333333334
7	226.60156	260	63	1.7333333333333334
8	229.6293	86	96	0.5733333333333334
9	233.343	45	106	0.3
10	234.9825	120	88	0.8
11	235.0698	130	87	0.8666666666666667
12	236.028	3700	6	24.666666666666668
13	236.82265	310	61	2.066666666666667
14	236.915	48	104	0.32
15	238.4565	220	68	1.4666666666666666
16	239.3309	53	102	0.35333333333333333
17	240.6712	85	97	0.5666666666666667
18	244.27	5700	4	38.0
19	244.89079	3500	7	23.333333333333332
20	248.66	2300	13	15.333333333333334
21	248.69666	4100	5	27.333333333333332
22	252.269	1700	17	11.333333333333334
23	253.895	1900	16	12.666666666666666
24	257.915	190	75	1.2666666666666666
25	259.23	550	37	3.6666666666666665
26	259.27198	1200	24	8.0
27	260.874	200	73	1.3333333333333333
28	266.499	860	28	5.733333333333333
29	271.186	220	69	1.4666666666666666
30	272.776	400	53	2.6666666666666665
31	277.84	180	79	1.2
32	282.551	240	66	1.6
33	286.861	210	72	1.4
34	291.282	220	70	1.4666666666666666
35	291.986	610	36	4.066666666666666
36	294.33	190	76	1.2666666666666666
37	294.954	400	54	2.6666666666666665
38	299.099	220	71	1.4666666666666666
39	299.446	790	31	5.266666666666667
40	299.71	110	90	0.7333333333333333
41	301.241	260	64	1.7333333333333334
42	302.392	450	49	3.0
43	304.744	680	33	4.533333333333333
44	309.468	930	27	6.2
45	310.125	480	46	3.2
46	328.31399	15000	1	100.0
47	335.13	13000	2	86.66666666666667
48	335.19523	13000	3	86.66666666666667
49	335.55	87	95	0.58
50	340.741	350	59	2.3333333333333335
51	347.2333	1700	18	11.333333333333334
52	353.747	660	35	4.4
53	357.53255	2100	15	14.0
54	358.23511	440	51	2.933333333333333
55	361.268	110	91	0.7333333333333333
56	361.996	240	67	1.6
57	362.04854	530	40	3.533333333333333
58	371.51524	500	42	3.3333333333333335
59	384.13756	440	52	2.933333333333333
60	398.46	190	74	1.2666666666666666
61	399.43	17	110	0.11333333333333333
62	411.03	180	78	1.2
63	411.13	180	80	1.2
64	416.48	28	109	0.18666666666666668
65	417.22	31	108	0.20666666666666667
66	429.33	170	81	1.1333333333333333
67	429.433	340	60	2.2666666666666666
68	432.30925	6	111	0.04
69	457.37	120	89	0.8
70	457.5	91	93	0.6066666666666667
71	457.906	150	84	1.0
72	458.022	140	86	0.9333333333333333
73	461.82359	90	94	0.6
74	477.61	48	105	0.32
75	479.20732	62	101	0.41333333333333333
76	487.7209	100	92	0.6666666666666666
77	489.51	66	100	0.44
78	491.71	83	98	0.5533333333333333
79	494.42562	150	85	1.0
80	507.109	360	57	2.4
81	507.262	360	58	2.4
82	533.23391	1600	19	10.666666666666666
83	556.19101	2700	8	18.0
84	558.88152	2600	11	17.333333333333332
85	559.62644	530	38	3.533333333333333
86	579.69078	490	45	3.2666666666666666
87	579.886	2700	9	18.0
88	596.584	470	48	3.1333333333333333
89	607.76331	1500	20	10.0
90	607.97696	1400	21	9.333333333333334
91	624.21	380	55	2.533333333333333
92	642.84	760	32	5.066666666666666
93	645.35422	2500	12	16.666666666666668
94	656.97	830	30	5.533333333333333
95	666.11	1000	26	6.666666666666667
96	676.0812	840	29	5.6
97	684.41859	1300	22	8.666666666666666
98	719.0776	1100	25	7.333333333333333
99	723.01	670	34	4.466666666666667
100	731.45	500	43	3.3333333333333335
101	738.71651	480	47	3.2
102	740.822	380	56	2.533333333333333
103	772.96	450	50	3.0
104	774.1425	500	44	3.3333333333333335
105	782.597	190	77	1.2666666666666666
106	790.3532	280	62	1.8666666666666667
107	805.572	53	103	0.35333333333333333
108	905.888	2600	10	17.333333333333332
109	906.3658	2200	14	14.666666666666666
110	1060.74	1300	23	8.666666666666666
