	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
0	241.94099999999997	60.0	196.0	1.0526315789473684					
1	244.985	150.0	155.0	2.6315789473684212					
2	245.74400000000003	21.0	203.0	0.3684210526315789	 	 	 		 
3	248.729	75.0	192.0	1.3157894736842106	 	 	 		 
4	249.648	45.0	199.0	0.7894736842105263	 	 	 		 
5	253.24599999999998	180.0	139.0	3.1578947368421053	 	 	 		 
6	254.21	220.0	116.0	3.8596491228070176	 	 	 		 
7	255.074	220.0	117.0	3.8596491228070176	 	 	 		 
8	256.764	570.0	56.0	10.0	 	 	 		 
9	256.887	1600.0	9.0	28.07017543859649	 	 	 		 
10	257.139	2100.0	4.0	36.8421052631579	 	 	 		 
11	258.34	75.0	193.0	1.3157894736842106	 	 	 		 
12	258.907	130.0	173.0	2.280701754385965	 	 	 		 
13	263.091	150.0	156.0	2.6315789473684212	 	 	 		 
14	263.909	210.0	118.0	3.6842105263157894	 	 	 		 
15	264.34	70.0	194.0	1.2280701754385965	 	 	 		 
16	265.038	110.0	178.0	1.9298245614035088	 	 	 		 
17	266.78	180.0	140.0	3.1578947368421053	 	 	 		 
18	266.949	55.0	197.0	0.9649122807017544	 	 	 		 
19	267.096	120.0	176.0	2.1052631578947367	 	 	 		 
20	267.863	1800.0	7.0	31.57894736842105	 	 	 		 
21	268.176	35.0	200.0	0.6140350877192983	 	 	 		 
22	269.26	90.0	191.0	1.5789473684210527	 	 	 		 
23	269.353	160.0	147.0	2.807017543859649	 	 	 		 
24	269.406	180.0	141.0	3.1578947368421053	 	 	 		 
25	269.543	70.0	195.0	1.2280701754385965	 	 	 		 
26	269.96	95.0	190.0	1.6666666666666667	 	 	 		 
27	270.013	750.0	43.0	13.157894736842104	 	 	 		 
28	271.151	280.0	108.0	4.912280701754386	 	 	 		 
29	271.242	140.0	168.0	2.456140350877193	 	 	 		 
