	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	206.1162	200	9	0.36363636363636365
1	206.9844	100	12	0.18181818181818182
2	217.0	15	56	0.02727272727272727
3	230.956	30	30	0.05454545454545454
4	231.26	10	61	0.01818181818181818
5	237.502	50	19	0.09090909090909091
6	257.563	50	20	0.09090909090909091
7	272.177	50	21	0.09090909090909091
8	282.439	100	13	0.18181818181818182
9	292.677	10	62	0.01818181818181818
10	293.842	20	40	0.03636363636363636
11	309.91	20	41	0.03636363636363636
12	313.002	30	31	0.05454545454545454
13	317.0579	10	63	0.01818181818181818
14	321.567	15	57	0.02727272727272727
15	322.515	10	64	0.01818181818181818
16	323.318	15	58	0.02727272727272727
17	328.06800000000004	55000	1	100.0
18	330.56753369	10	65	0.01818181818181818
19	338.2887	28000	2	50.90909090909091
20	340.37800000000004	10	66	0.01818181818181818
21	346.916	30	32	0.05454545454545454
22	350.1921	20	42	0.03636363636363636
23	350.8025	20	43	0.03636363636363636
24	351.3377	15	59	0.02727272727272727
25	352.1123	10	67	0.01818181818181818
26	354.25	50	22	0.09090909090909091
27	354.716	10	68	0.01818181818181818
28	355.70099999999996	10	69	0.01818181818181818
29	358.6679	20	44	0.03636363636363636
30	362.336	10	70	0.01818181818181818
31	362.469	50	23	0.09090909090909091
32	368.2504	30	33	0.05454545454545454
33	370.9192	50	24	0.09090909090909091
34	372.74199999999996	10	71	0.01818181818181818
35	375.314	20	45	0.03636363636363636
36	381.0941	200	10	0.36363636363636365
37	381.1773	50	25	0.09090909090909091
38	384.075	100	14	0.18181818181818182
39	384.7846	20	46	0.03636363636363636
40	390.741	50	26	0.09090909090909091
41	391.44	50	27	0.09090909090909091
42	392.75300000000004	6	82	0.01090909090909091
43	392.837	4	85	0.007272727272727273
44	394.043	10	72	0.01818181818181818
45	394.29	10	73	0.01818181818181818
46	398.158	30	34	0.05454545454545454
47	399.168	5	83	0.00909090909090909
48	399.246	5	84	0.00909090909090909
49	405.5476	400	8	0.7272727272727273
50	408.343	10	74	0.01818181818181818
51	421.096	700	6	1.2727272727272727
52	421.2814	70	18	0.12727272727272726
53	431.1074	50	28	0.09090909090909091
54	439.62300000000005	20	47	0.03636363636363636
55	447.60400000000004	80	17	0.14545454545454545
56	455.55199999999996	20	48	0.03636363636363636
57	461.569	30	35	0.05454545454545454
58	466.8477	130	11	0.23636363636363636
59	467.76	30	36	0.05454545454545454
60	467.76	30	37	0.05454545454545454
61	479.64599999999996	20	49	0.03636363636363636
62	484.782	30	38	0.05454545454545454
63	487.41	100	15	0.18181818181818182
64	488.82099999999997	20	50	0.03636363636363636
65	491.74800000000005	10	75	0.01818181818181818
66	493.575	10	76	0.01818181818181818
67	499.286	20	51	0.03636363636363636
68	512.35	15	60	0.02727272727272727
69	520.9078	1000	3	1.8181818181818181
70	533.362	10	77	0.01818181818181818
71	546.5497	1000	4	1.8181818181818181
72	547.1555	50	29	0.09090909090909091
73	547.5376	20	52	0.03636363636363636
74	554.567	20	53	0.03636363636363636
75	555.9540000000001	10	78	0.01818181818181818
76	566.734	100	16	0.18181818181818182
77	608.378	10	79	0.01818181818181818
78	626.85	10	80	0.01818181818181818
79	662.117	20	54	0.03636363636363636
80	735.9960000000001	20	55	0.03636363636363636
81	768.7772	500	7	0.9090909090909091
82	827.3509	1000	5	1.8181818181818181
83	864.57	30	39	0.05454545454545454
84	870.485	10	81	0.01818181818181818
