	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	201.205	11000	1	100.0	
1	202.139	2600	3	23.636363636363637	
2	212.66299999999998	15	106	0.13636363636363635	
3	217.075	20	102	0.18181818181818182	
4	235.25799999999998	180	31	1.6363636363636365	
5	237.628	20	103	0.18181818181818182	
6	238.775	120	32	1.0909090909090908	
7	242.795	2600	4	23.636363636363637	
8	254.418	16	105	0.14545454545454545	
9	258.925	20	104	0.18181818181818182	
10	259.004	30	61	0.2727272727272727	
11	264.14799999999997	250	28	2.272727272727273	
12	267.595	3400	2	30.90909090909091	
13	268.871	30	62	0.2727272727272727	
14	270.089	80	60	0.7272727272727273	
15	274.825	1100	6	10.0	
16	278.082	100	34	0.9090909090909091	
17	280.093	30	63	0.2727272727272727	
18	287.236	3	135	0.02727272727272727	
19	288.345	300	15	2.727272727272727	
20	288.69599999999997	3	136	0.02727272727272727	
21	288.84	10	107	0.09090909090909091	
22	289.19599999999997	300	16	2.727272727272727	
23	290.574	3	137	0.02727272727272727	
24	290.59	30	64	0.2727272727272727	
25	291.482	3	138	0.02727272727272727	
26	294.067	30	65	0.2727272727272727	
27	297.33299999999997	10	108	0.09090909090909091	
28	300.265	10	109	0.09090909090909091	
29	300.585	3	139	0.02727272727272727	
30	302.467	10	110	0.09090909090909091	
31	302.92	320	14	2.909090909090909	
32	303.325	30	66	0.2727272727272727	
33	306.54200000000003	300	17	2.727272727272727	
34	310.263	10	111	0.09090909090909091	
35	311.70099999999996	10	112	0.09090909090909091	
36	312.278	1600	5	14.545454545454545	
37	312.703	30	67	0.2727272727272727	
38	316.488	10	113	0.09090909090909091	
39	319.176	30	68	0.2727272727272727	
40	319.472	100	35	0.9090909090909091	
41	320.03700000000003	30	69	0.2727272727272727	
42	320.474	30	70	0.2727272727272727	
43	322.186	1	145	0.00909090909090909	
44	322.525	30	71	0.2727272727272727	
45	323.063	300	18	2.727272727272727	
46	325.394	10	114	0.09090909090909091	
47	326.51	10	115	0.09090909090909091	
48	326.707	30	72	0.2727272727272727	
49	327.163	10	116	0.09090909090909091	
50	327.347	10	117	0.09090909090909091	
51	330.83	300	19	2.727272727272727	
52	330.964	300	20	2.727272727272727	
53	332.01199999999994	100	36	0.9090909090909091	
54	335.515	100	37	0.9090909090909091	
55	336.844	30	73	0.2727272727272727	
