	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	206.6377	30	10	14.285714285714286	
1	206.6654	40	9	19.047619047619047	
2	206.69299999999998	11	17	5.238095238095238	
3	206.702	6	22	2.857142857142857	
4	206.7193	30	11	14.285714285714286	
5	206.7193	30	12	14.285714285714286	
6	208.888851	90	5	42.857142857142854	
7	208.957004	150	2	71.42857142857143	
8	238.86	30	13	14.285714285714286	
9	238.86	30	14	14.285714285714286	
10	249.67687	110	3	52.38095238095238	
11	249.77223999999998	210	1	100.0	
12	286.11	20	15	9.523809523809524	
13	286.11	20	16	9.523809523809524	
14	581.84	60	6	28.571428571428573	
15	582.107	100	4	47.61904761904762	
16	582.2330000000001	10	18	4.761904761904762	
17	594.263	3	25	1.4285714285714286	
18	594.263	3	26	1.4285714285714286	
19	594.2719999999999	2	27	0.9523809523809523	
20	624.457	9	19	4.285714285714286	
21	624.457	9	20	4.285714285714286	
22	624.466	6	23	2.857142857142857	
23	821.183	60	7	28.571428571428573	
24	821.204	50	8	23.80952380952381	
25	866.7223	4	24	1.9047619047619047	
26	866.857	8	21	3.8095238095238093	
