	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	203.265	9	52	20.0	C
1	203.265	9	53	20.0	C
2	203.265	9	54	20.0	C
3	205.5902	11	36	24.444444444444443	B
4	205.5902	11	37	24.444444444444443	B
5	205.5902	11	38	24.444444444444443	B
6	205.6012	13	22	28.88888888888889	B
7	205.6012	13	23	28.88888888888889	B
8	205.6012	13	24	28.88888888888889	B
9	212.5568	3	123	6.666666666666667	C
10	212.5568	3	124	6.666666666666667	C
11	212.5685	5	89	11.11111111111111	C
12	214.735	1	204	2.2222222222222223	
13	217.4986	13	25	28.88888888888889	B
14	217.4986	13	26	28.88888888888889	B
15	217.4986	13	27	28.88888888888889	B
16	217.5103	15	17	33.333333333333336	B
17	217.5103	15	18	33.333333333333336	B
18	217.5103	15	19	33.333333333333336	B
19	219.4249	2	170	4.444444444444445	
20	233.023	2	171	4.444444444444445	
21	233.023	2	172	4.444444444444445	
22	233.023	2	173	4.444444444444445	
23	233.65	3	125	6.666666666666667	
24	234.860415	40	2	88.88888888888889	A
25	235.0661	7	73	15.555555555555555	C
26	235.0703	11	39	24.444444444444443	C
27	235.0829	15	20	33.333333333333336	C
28	248.1319	9	55	20.0	
29	248.1319	9	56	20.0	
30	248.1319	9	57	20.0	
31	249.4543	13	28	28.88888888888889	A
32	249.4583	17	12	37.77777777777778	A
33	249.4583	17	13	37.77777777777778	A
34	249.4728	20	7	44.44444444444444	A
35	249.4728	20	8	44.44444444444444	A
36	249.4728	20	9	44.44444444444444	A
37	265.0454	12	33	26.666666666666668	A
38	265.055	11	40	24.444444444444443	A
39	265.0613	12	34	26.666666666666668	A
40	265.0619	15	21	33.333333333333336	A
41	265.0694	11	41	24.444444444444443	A
42	265.076	13	29	28.88888888888889	A
43	273.805	9	58	20.0	
44	289.8127	5	90	11.11111111111111	
45	289.8188	3	126	6.666666666666667	
46	289.8254	7	74	15.555555555555555	
47	289.8254	7	75	15.555555555555555	
48	298.6062	11	42	24.444444444444443	
49	298.6418	10	50	22.22222222222222	
50	298.662	7	76	15.555555555555555	
51	301.9333	12	35	26.666666666666668	
52	301.9492	9	59	20.0	
53	301.9492	9	60	20.0	
54	301.9526	9	61	20.0	
55	301.9599	7	77	15.555555555555555	
56	308.9826	3	127	6.666666666666667	
57	308.9826	3	128	6.666666666666667	
58	309.0023	5	91	11.11111111111111	
59	309.0023	5	92	11.11111111111111	
60	309.0023	5	93	11.11111111111111	
61	309.013	5	94	11.11111111111111	
62	311.0814	5	95	11.11111111111111	
63	311.0814	5	96	11.11111111111111	
64	311.0918	5	97	11.11111111111111	
65	311.0918	5	98	11.11111111111111	
66	311.0918	5	99	11.11111111111111	
67	311.0986	7	78	15.555555555555555	
