	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	202.1149	7000	3	77.77777777777777	
1	206.1634	9000	1	100.0	
2	211.0217	4600	4	51.111111111111114	
3	213.36	2500	8	27.77777777777778	
4	222.8203	360	18	4.0	
5	223.0602	1700	11	18.88888888888889	
6	227.658	340	20	3.7777777777777777	
7	240.088	190	22	2.111111111111111	
8	251.56900000000002	25	31	0.2777777777777778	
9	252.449	70	28	0.7777777777777778	
10	262.7904	700	12	7.777777777777778	
11	269.676	280	21	3.111111111111111	
12	273.05	140	23	1.5555555555555556	
13	278.0476	360	19	4.0	
14	280.962	140	24	1.5555555555555556	
15	289.7965	4000	5	44.44444444444444	
16	293.8297	3200	6	35.55555555555556	
17	298.9019	2800	7	31.11111111111111	
18	299.3336	700	13	7.777777777777778	
19	302.4621	2400	9	26.666666666666668	
20	303.487	60	29	0.6666666666666666	
21	306.77	9000	2	100.0	
22	307.666	140	25	1.5555555555555556	
23	339.7198	550	15	6.111111111111111	
24	351.0864	500	16	5.555555555555555	
25	359.6097	380	17	4.222222222222222	
26	412.153	140	26	1.5555555555555556	
27	412.186	140	27	1.5555555555555556	
28	472.2527	600	14	6.666666666666667	
29	555.235	10	32	0.1111111111111111	
30	559.941	3	36	0.03333333333333333	
31	574.255	6	33	0.06666666666666667	
32	613.482	6	34	0.06666666666666667	
33	647.573	3	37	0.03333333333333333	
34	647.624	3	38	0.03333333333333333	
35	699.112	4	35	0.044444444444444446	
36	703.615	2	41	0.022222222222222223	
37	750.2330000000001	2	42	0.022222222222222223	
38	783.87	3	39	0.03333333333333333	
39	784.033	2	43	0.022222222222222223	
40	854.454	2	44	0.022222222222222223	
41	857.9739999999999	1	47	0.011111111111111112	
42	875.488	2	45	0.022222222222222223	
43	876.154	3	40	0.03333333333333333	
44	890.7810000000001	2	46	0.022222222222222223	
45	965.704	2000	10	22.22222222222222	
46	982.778	40	30	0.4444444444444444	
