	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	367.218	220	13	59.45945945945946	
1	450.641	100	43	27.027027027027028	B+
2	463.232	170	19	45.945945945945944	B+
3	465.051	110	37	29.72972972972973	B+
4	482.255	110	38	29.72972972972973	B+
5	484.777	140	23	37.83783783783784	
6	494.344	110	39	29.72972972972973	
7	499.463	130	26	35.13513513513514	
8	500.91	210	14	56.75675675675676	B+
9	504.085	120	31	32.432432432432435	B+
10	507.178	120	32	32.432432432432435	
11	511.27	130	27	35.13513513513514	B+
12	512.957	170	20	45.945945945945944	
13	514.999	100	44	27.027027027027028	
14	515.969	280	3	75.67567567567568	
15	515.969	280	4	75.67567567567568	
16	515.969	280	5	75.67567567567568	
17	516.148	280	6	75.67567567567568	
18	517.455	190	15	51.351351351351354	
19	521.192	190	16	51.351351351351354	B+
20	522.346	260	7	70.27027027027027	B+
21	522.975	180	18	48.648648648648646	B+
22	524.592	260	8	70.27027027027027	B+
23	529.656	130	28	35.13513513513514	B+
24	532.808	130	29	35.13513513513514	B+
25	539.764	150	22	40.54054054054054	B+
26	542.038	110	40	29.72972972972973	B+
27	544.924	140	24	37.83783783783784	B+
28	555.625	110	41	29.72972972972973	B+
29	556.497	170	21	45.945945945945944	B+
30	556.597	130	30	35.13513513513514	B+
31	559.588	100	45	27.027027027027028	B+
32	560.128	240	9	64.86486486486487	B+
33	565.514	190	17	51.351351351351354	B+
34	566.996	240	10	64.86486486486487	B+
35	567.775	120	33	32.432432432432435	B+
36	569.294	120	34	32.432432432432435	B+
37	569.699	300	2	81.08108108108108	B+
38	569.923	370	1	100.0	
39	571.903	240	11	64.86486486486487	B+
40	577.312	140	25	37.83783783783784	B+
41	578.815	120	35	32.432432432432435	B+
42	581.292	120	36	32.432432432432435	B+
43	594.086	230	12	62.16216216216216	B+
44	600.018	11	162	2.972972972972973	
45	600.19	55	47	14.864864864864865	
46	600.586	55	48	14.864864864864865	B+
47	600.62	15	125	4.054054054054054	
48	600.682	55	49	14.864864864864865	B+
49	600.737	19	96	5.135135135135135	
50	601.342	75	46	20.27027027027027	B+
51	601.659	23	84	6.216216216216216	
52	602.42	110	42	29.72972972972973	B+
53	602.716	15	126	4.054054054054054	
54	603.126	11	163	2.972972972972973	
55	603.126	11	164	2.972972972972973	
56	603.441	23	85	6.216216216216216	
57	604.542	28	73	7.5675675675675675	
58	604.74	55	50	14.864864864864865	B+
59	605.75	23	86	6.216216216216216	
60	605.8	35	53	9.45945945945946	B+
61	606.675	23	87	6.216216216216216	
62	606.946	19	97	5.135135135135135	
63	606.948	35	54	9.45945945945946	
64	607.2	35	55	9.45945945945946	B+
65	607.661	35	56	9.45945945945946	B+
66	607.716	17	114	4.594594594594595	
67	608.037	17	115	4.594594594594595	
68	608.128	17	116	4.594594594594595	
69	608.896	19	98	5.135135135135135	
70	609.319	35	57	9.45945945945946	B+
71	609.319	35	58	9.45945945945946	B
72	609.98	11	165	2.972972972972973	B+
73	611.856	15	127	4.054054054054054	
74	611.89	17	117	4.594594594594595	B+
75	612.367	45	51	12.162162162162161	
76	613.218	19	99	5.135135135135135	
77	613.545	11	166	2.972972972972973	B
78	613.555	7	208	1.8918918918918919	
79	613.903	23	88	6.216216216216216	
80	613.903	23	89	6.216216216216216	
81	614.292	15	128	4.054054054054054	B+
82	614.643	23	90	6.216216216216216	B+
83	614.784	19	100	5.135135135135135	B+
84	615.172	23	91	6.216216216216216	
85	615.982	19	101	5.135135135135135	
86	616.214	19	102	5.135135135135135	
87	616.545	19	103	5.135135135135135	
88	617.528	19	104	5.135135135135135	
89	618.617	35	59	9.45945945945946	
90	618.797	15	129	4.054054054054054	
91	619.523	15	130	4.054054054054054	
92	619.553	19	105	5.135135135135135	B+
93	619.805	19	106	5.135135135135135	
94	620.898	35	60	9.45945945945946	B+
95	621.682	11	167	2.972972972972973	
96	622.894	35	61	9.45945945945946	
97	622.913	19	107	5.135135135135135	
98	623.745	28	74	7.5675675675675675	B+
99	623.871	13	139	3.5135135135135136	B+
100	624.187	11	168	2.972972972972973	
101	624.195	3	209	0.8108108108108109	
102	624.291	13	140	3.5135135135135136	
103	625.365	15	131	4.054054054054054	B+
104	625.799	13	141	3.5135135135135136	
105	626.427	15	132	4.054054054054054	
106	627.647	15	133	4.054054054054054	
107	629.558	35	62	9.45945945945946	
108	630.021	23	92	6.216216216216216	B+
109	630.664	13	142	3.5135135135135136	
110	631.001	35	63	9.45945945945946	
111	633.536	9	207	2.4324324324324325	
112	633.721	11	169	2.972972972972973	
113	634.07	13	143	3.5135135135135136	
114	638.684	28	75	7.5675675675675675	
115	639.516	11	170	2.972972972972973	
116	643.007	35	64	9.45945945945946	
117	643.007	35	65	9.45945945945946	
118	643.439	19	108	5.135135135135135	
119	643.64	23	93	6.216216216216216	B
120	644.612	19	109	5.135135135135135	
121	645.803	35	66	9.45945945945946	B+
122	646.739	28	76	7.5675675675675675	
123	647.372	35	67	9.45945945945946	
124	649.097	17	118	4.594594594594595	
125	651.731	19	110	5.135135135135135	
126	655.17	19	111	5.135135135135135	B+
127	655.565	45	52	12.162162162162161	B+
128	657.91	24	83	6.486486486486487	
129	657.91	23	94	6.216216216216216	
130	660.635	15	134	4.054054054054054	
131	661.206	22	95	5.945945945945946	
132	662.3	10	182	2.7027027027027026	B+
133	662.893	30	70	8.108108108108109	
134	665.089	13	144	3.5135135135135136	
135	666.141	10	183	2.7027027027027026	B
136	666.559	13	145	3.5135135135135136	B+
137	668.66	15	135	4.054054054054054	
138	670.066	26	78	7.027027027027027	
139	670.427	35	68	9.45945945945946	B+
140	672.871	15	136	4.054054054054054	
141	672.957	15	137	4.054054054054054	
142	674.69	10	184	2.7027027027027026	
143	677.559	35	69	9.45945945945946	
144	677.828	10	185	2.7027027027027026	
145	680.781	18	113	4.864864864864865	
146	680.882	10	186	2.7027027027027026	B
147	681.823	15	138	4.054054054054054	
148	684.725	13	146	3.5135135135135136	
149	685.655	12	147	3.2432432432432434	
150	689.366	10	187	2.7027027027027026	
151	692.481	30	71	8.108108108108109	B+
152	693.945	10	188	2.7027027027027026	
153	698.602	30	72	8.108108108108109	
154	705.451	12	148	3.2432432432432434	
155	706.0	11	171	2.972972972972973	
156	706.449	11	172	2.972972972972973	B
157	712.473	10	189	2.7027027027027026	
158	714.142	16	119	4.324324324324325	
159	715.167	10	190	2.7027027027027026	
160	715.525	16	120	4.324324324324325	
161	719.172	10	191	2.7027027027027026	
162	720.189	16	121	4.324324324324325	
163	720.355	10	192	2.7027027027027026	
164	721.067	12	149	3.2432432432432434	
165	721.736	19	112	5.135135135135135	
166	724.173	12	150	3.2432432432432434	B
167	725.275	28	77	7.5675675675675675	
168	725.275	26	79	7.027027027027027	
169	725.275	25	80	6.756756756756757	
170	726.264	12	151	3.2432432432432434	
171	727.79	11	173	2.972972972972973	
172	729.617	11	174	2.972972972972973	
173	732.991	25	81	6.756756756756757	
174	734.344	12	152	3.2432432432432434	
175	739.777	25	82	6.756756756756757	
176	740.127	11	175	2.972972972972973	
177	743.308	12	153	3.2432432432432434	
178	743.856	11	176	2.972972972972973	
179	744.444	12	154	3.2432432432432434	
180	747.241	10	193	2.7027027027027026	
181	752.746	11	177	2.972972972972973	
182	752.768	11	178	2.972972972972973	
183	752.768	11	179	2.972972972972973	
184	753.373	10	194	2.7027027027027026	B
185	755.125	10	195	2.7027027027027026	
186	756.244	12	155	3.2432432432432434	
187	756.286	10	196	2.7027027027027026	
188	756.36	10	197	2.7027027027027026	
189	760.31	10	198	2.7027027027027026	
190	764.608	12	156	3.2432432432432434	
191	764.788	10	199	2.7027027027027026	
192	768.247	12	157	3.2432432432432434	
193	773.233	10	200	2.7027027027027026	
194	774.835	16	122	4.324324324324325	
195	779.77	10	201	2.7027027027027026	
196	784.259	12	158	3.2432432432432434	
197	786.449	12	159	3.2432432432432434	
198	786.604	10	202	2.7027027027027026	
199	791.352	11	180	2.972972972972973	C+
200	792.772	10	203	2.7027027027027026	
201	807.071	16	123	4.324324324324325	
202	809.443	10	204	2.7027027027027026	
203	812.036	16	124	4.324324324324325	
204	826.109	12	160	3.2432432432432434	
205	849.582	11	181	2.972972972972973	
206	861.264	10	205	2.7027027027027026	
207	864.766	10	206	2.7027027027027026	
208	881.084	12	161	3.2432432432432434	
