	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	200.232	1500	65	7.142857142857143	
1	200.804	900	92	4.285714285714286	
2	201.458	1200	77	5.714285714285714	
3	201.61700000000002	900	93	4.285714285714286	
4	203.196	900	94	4.285714285714286	
5	203.995	1500	66	7.142857142857143	
6	204.111	1200	78	5.714285714285714	
7	207.77599999999998	1500	67	7.142857142857143	
8	208.567	900	95	4.285714285714286	
9	208.755	900	96	4.285714285714286	
10	208.935	900	97	4.285714285714286	
11	209.34	900	98	4.285714285714286	
12	209.486	900	99	4.285714285714286	
13	209.577	900	100	4.285714285714286	
14	209.75099999999998	1200	79	5.714285714285714	
15	210.47299999999998	1500	68	7.142857142857143	
16	210.68	1500	69	7.142857142857143	
17	210.898	900	101	4.285714285714286	
18	211.768	900	102	4.285714285714286	
19	213.778	900	103	4.285714285714286	
20	213.89700000000002	900	104	4.285714285714286	
21	216.303	900	105	4.285714285714286	
22	217.46	1100	80	5.238095238095238	
23	230.90200000000002	2600	44	12.380952380952381	
24	232.31400000000002	2400	47	11.428571428571429	
25	233.59900000000002	1400	71	6.666666666666667	
26	233.86700000000002	1600	59	7.619047619047619	
27	235.285	1600	60	7.619047619047619	
28	235.342	2000	53	9.523809523809524	
29	238.048	1400	72	6.666666666666667	
30	238.486	1400	73	6.666666666666667	
31	240.206	1100	81	5.238095238095238	
32	240.725	5300	16	25.238095238095237	
33	241.162	5300	17	25.238095238095237	
34	241.27599999999998	1600	61	7.619047619047619	
35	241.446	4800	20	22.857142857142858	
36	241.53	4800	21	22.857142857142858	
37	242.493	4100	29	19.523809523809526	
38	243.22099999999998	3300	33	15.714285714285714	
39	243.666	2900	35	13.80952380952381	
40	243.905	2400	48	11.428571428571429	
41	250.452	570	115	2.7142857142857144	
42	250.688	360	118	1.7142857142857142	
43	251.787	860	106	4.095238095238095	
44	252.136	4300	28	20.476190476190474	
45	252.89700000000002	2900	36	13.80952380952381	
46	253.013	720	111	3.4285714285714284	
47	253.218	860	107	4.095238095238095	
48	253.59599999999998	2900	37	13.80952380952381	
49	253.649	860	108	4.095238095238095	
50	254.425	1700	57	8.095238095238095	
51	254.834	340	121	1.619047619047619	
52	255.33700000000002	310	122	1.4761904761904763	
53	255.507	310	123	1.4761904761904763	
54	256.215	960	90	4.571428571428571	
55	256.735	1100	82	5.238095238095238	
56	257.435	960	91	4.571428571428571	
57	264.642	310	124	1.4761904761904763	
58	264.86400000000003	770	110	3.6666666666666665	
59	271.599	190	125	0.9047619047619048	
60	274.51	190	126	0.9047619047619048	
61	276.41900000000004	190	127	0.9047619047619048	
62	281.556	150	130	0.7142857142857143	
63	288.644	190	128	0.9047619047619048	
64	298.716	690	112	3.2857142857142856	
65	298.959	690	113	3.2857142857142856	
66	304.4	3100	34	14.761904761904763	
67	306.182	1700	58	8.095238095238095	
68	338.81699999999995	1100	83	5.238095238095238	
69	339.538	2200	50	10.476190476190476	
70	340.51199999999994	11000	2	52.38095238095238	
71	340.918	4500	25	21.428571428571427	
72	341.23400000000004	6700	11	31.904761904761905	
73	341.26300000000003	2200	51	10.476190476190476	
74	341.716	2700	41	12.857142857142858	
75	343.158	2500	45	11.904761904761905	
76	343.30400000000003	4500	26	21.428571428571427	
77	344.293	1600	62	7.619047619047619	
78	344.36400000000003	8800	4	41.904761904761905	
79	344.917	4100	30	19.523809523809526	
80	344.944	2100	52	10.0	
81	345.35	21000	1	100.0	
82	345.523	1000	86	4.761904761904762	
83	346.28	5100	18	24.285714285714285	
84	346.58	5100	19	24.285714285714285	
85	347.402	8000	6	38.095238095238095	
86	348.341	1900	54	9.047619047619047	
87	348.94	4800	22	22.857142857142858	
88	349.569	2400	49	11.428571428571429	
89	350.228	9600	3	45.714285714285715	
90	350.63199999999995	7000	9	33.333333333333336	
91	350.98400000000004	2900	38	13.80952380952381	
92	351.043	1400	74	6.666666666666667	
93	351.264	4800	23	22.857142857142858	
94	351.348	3800	31	18.095238095238095	
