	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	199.995	35.0	584	0.4117647058823529	
1	200.06	20.0	858	0.23529411764705882	
2	200.355	5.0	2179	0.058823529411764705	
3	200.49400000000003	8.0	1619	0.09411764705882353	
4	200.576	10.0	1375	0.11764705882352941	
5	200.688	6.0	1985	0.07058823529411765	
6	202.58599999999998	15.0	1046	0.17647058823529413	
7	202.813	12.0	1203	0.1411764705882353	
8	202.833	10.0	1376	0.11764705882352941	
9	202.942	15.0	1047	0.17647058823529413	
10	203.127	15.0	1048	0.17647058823529413	
11	203.265	1.0	3500	0.011764705882352941	
12	203.295	5.0	2180	0.058823529411764705	
13	203.424	35.0	585	0.4117647058823529	
14	203.63400000000001	8.0	1620	0.09411764705882353	
15	203.77200000000002	1.0	3501	0.011764705882352941	
16	203.821	7.0	1835	0.08235294117647059	
17	203.898	1.0	3502	0.011764705882352941	
18	203.93	35.0	586	0.4117647058823529	
19	204.27200000000002	8.0	1621	0.09411764705882353	
20	204.30599999999998	10.0	1377	0.11764705882352941	
21	204.93099999999998	8.0	1584	0.09411764705882353	
22	208.787	3.0	2767	0.03529411764705882	
23	209.5	12.0	1202	0.1411764705882353	
24	209.54	10.0	1371	0.11764705882352941	
25	209.583	8.0	1613	0.09411764705882353	
26	210.99900000000002	1.0	3497	0.011764705882352941	
27	213.25	4.0	2452	0.047058823529411764	
28	214.12	2.0	3134	0.023529411764705882	
29	214.424	1.0	3503	0.011764705882352941	
30	214.80200000000002	10.0	1378	0.11764705882352941	
31	215.025	1.0	3504	0.011764705882352941	
32	215.227	10.0	1379	0.11764705882352941	
33	215.257	15.0	1049	0.17647058823529413	
34	215.44400000000002	25.0	734	0.29411764705882354	
35	215.50900000000001	15.0	1050	0.17647058823529413	
36	215.774	30.0	639	0.35294117647058826	
37	215.8	15.0	1051	0.17647058823529413	
38	216.05	4.0	2455	0.047058823529411764	
39	216.225	10.0	1380	0.11764705882352941	
40	216.247	30.0	640	0.35294117647058826	
41	216.768	4.0	2456	0.047058823529411764	
42	217.144	4.0	2457	0.047058823529411764	
43	217.61900000000003	3.0	2778	0.03529411764705882	
44	218.153	4.0	2458	0.047058823529411764	
45	218.687	5.0	2181	0.058823529411764705	
46	218.80900000000003	6.0	1988	0.07058823529411765	
47	219.16400000000002	8.0	1622	0.09411764705882353	
48	219.49	18.0	937	0.21176470588235294	
49	219.832	22.0	805	0.25882352941176473	
50	219.972	3.0	2768	0.03529411764705882	
51	220.52	15.0	1052	0.17647058823529413	
52	221.03799999999998	7.0	1836	0.08235294117647059	
53	221.43099999999998	8.0	1623	0.09411764705882353	
54	222.042	10.0	1381	0.11764705882352941	
55	222.822	18.0	938	0.21176470588235294	
56	225.908	12.0	1204	0.1411764705882353	
57	226.168	18.0	939	0.21176470588235294	
58	226.215	7.0	1837	0.08235294117647059	
59	226.232	15.0	1053	0.17647058823529413	
60	226.666	18.0	940	0.21176470588235294	
61	226.764	15.0	1054	0.17647058823529413	
62	226.813	18.0	941	0.21176470588235294	
63	227.362	18.0	942	0.21176470588235294	
64	227.53099999999998	25.0	735	0.29411764705882354	
65	227.63099999999997	18.0	943	0.21176470588235294	
66	228.467	25.0	736	0.29411764705882354	
67	228.637	20.0	859	0.23529411764705882	
68	229.834	1.0	3505	0.011764705882352941	
69	229.942	1.0	3506	0.011764705882352941	
70	230.523	2.0	3144	0.023529411764705882	
71	230.56	2.0	3145	0.023529411764705882	
72	230.771	1.0	3507	0.011764705882352941	
73	232.297	2.0	3146	0.023529411764705882	
74	232.963	10.0	1382	0.11764705882352941	
75	233.271	1.0	3508	0.011764705882352941	
76	233.298	7.0	1838	0.08235294117647059	
77	233.333	8.0	1624	0.09411764705882353	
78	233.834	2.0	3147	0.023529411764705882	
79	233.92700000000002	15.0	1055	0.17647058823529413	
80	233.97099999999998	4.0	2459	0.047058823529411764	
81	234.11700000000002	20.0	860	0.23529411764705882	
82	234.40400000000002	1.0	3509	0.011764705882352941	
83	234.43400000000003	1.0	3510	0.011764705882352941	
