	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	258.53	220	72	1.375	
1	262.369	370	52	2.3125	
2	264.215	110	89	0.6875	
3	266.794	110	90	0.6875	
4	273.579	55	122	0.34375	
5	286.27	140	79	0.875	B+
6	288.553	120	85	0.75	
7	296.46	220	73	1.375	D
8	314.7694	300	67	1.875	D
9	326.3186	3000	9	18.75	D
10	351.1015	1000	18	6.25	B+
11	357.1438	1000	19	6.25	B+
12	366.684	400	49	2.5	
13	367.851	640	32	4.0	
14	368.485	820	26	5.125	
15	368.578	1300	16	8.125	
16	372.8	300	68	1.875	
17	373.934	930	23	5.8125	
18	375.705	1200	17	7.5	D
19	376.763	640	33	4.0	
20	377.111	330	61	2.0625	
21	377.305	640	34	4.0	
22	377.471	370	53	2.3125	
23	378.147	420	42	2.625	
24	381.227	470	39	2.9375	
25	384.089	370	54	2.3125	
26	384.436	330	62	2.0625	
27	384.702	420	43	2.625	
28	385.84	420	44	2.625	
29	386.881	1600	15	10.0	D
30	391.729	540	35	3.375	
31	392.786	420	45	2.625	
32	393.014	540	36	3.375	
33	393.67	420	46	2.625	
34	396.259	370	55	2.3125	
35	396.751	320	63	2.0	B+
36	400.584	420	47	2.625	
37	400.607	320	64	2.0	
38	401.382	540	37	3.375	B+
39	402.371	370	56	2.3125	B+
40	404.597	12000	2	75.0	B+
41	408.534	370	57	2.3125	B+
42	409.61	390	50	2.4375	
43	410.387	860	25	5.375	B+
44	412.912	350	59	2.1875	B+
45	413.035	350	60	2.1875	B+
46	413.385	390	51	2.4375	
47	414.606	990	21	6.1875	B+
48	416.797	5700	5	35.625	B+
49	417.193	370	58	2.3125	
50	418.372	930	24	5.8125	B+
51	418.682	12000	3	75.0	B+
52	419.094	320	65	2.0	B+
53	419.164	2200	12	13.75	B+
54	419.484	6800	4	42.5	B+
55	419.802	800	27	5.0	B+
56	420.13	680	28	4.25	B+
57	420.224	680	29	4.25	B+
58	420.506	230	71	1.4375	
59	421.124	440	40	2.75	
60	421.172	16000	1	100.0	B+
61	421.318	1800	14	11.25	B+
62	421.516	3700	8	23.125	B+
63	421.809	4400	6	27.5	B+
64	422.111	4400	7	27.5	B+
65	422.221	540	38	3.375	B+
66	422.516	2700	11	16.875	B+
67	423.202	680	30	4.25	B+
68	423.985	680	31	4.25	B+
69	424.591	440	41	2.75	B+
70	426.8264	1000	20	6.25	B+
71	427.669	250	70	1.5625	B+
72	429.1966	3000	10	18.75	B+
73	432.586	320	66	2.0	
74	444.458	150	78	0.9375	
75	452.758	100	91	0.625	
76	456.509	140	80	0.875	B+
77	457.778	420	48	2.625	B+
78	458.936	2100	13	13.125	B+
79	461.226	990	22	6.1875	B+
80	461.383	50	128	0.3125	
81	461.482	50	129	0.3125	
82	466.272	50	130	0.3125	
83	472.122	85	98	0.53125	
84	477.194	60	121	0.375	
85	477.48	50	131	0.3125	
86	477.579	120	86	0.75	
87	479.129	95	94	0.59375	B+
88	480.064	29	168	0.18125	
89	480.794	50	132	0.3125	B+
90	481.028	40	146	0.25	
91	481.28	50	133	0.3125	B
92	481.904	75	107	0.46875	
93	482.496	85	99	0.53125	
94	482.888	75	108	0.46875	
95	483.238	70	111	0.4375	
96	484.175	75	109	0.46875	
97	487.593	40	147	0.25	
98	488.016	85	100	0.53125	B+
99	488.455	40	148	0.25	
100	488.808	95	95	0.59375	B+
101	489.368	50	134	0.3125	
102	489.924	24	178	0.15	
103	491.641	55	123	0.34375	
104	495.959	24	179	0.15	
