	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	338.206	230	72	1.6428571428571428	
1	344.268	390	46	2.7857142857142856	
2	346.951	490	39	3.5	
3	350.278	610	29	4.357142857142857	
4	353.959	410	43	2.9285714285714284	
5	355.802	1500	13	10.714285714285714	
6	355.871	510	36	3.642857142857143	
7	356.517	310	59	2.2142857142857144	
8	357.824	310	60	2.2142857142857144	
9	358.66	370	48	2.642857142857143	
10	359.076	610	30	4.357142857142857	
11	359.584	410	44	2.9285714285714284	
12	360.742	410	45	2.9285714285714284	
13	362.804	720	26	5.142857142857143	
14	362.937	310	61	2.2142857142857144	
15	363.467	510	37	3.642857142857143	
16	363.868	1600	11	11.428571428571429	
17	366.445	360	50	2.5714285714285716	
18	368.401	320	52	2.2857142857142856	
19	369.768	380	47	2.7142857142857144	
20	371.935	320	53	2.2857142857142856	
21	374.743	900	22	6.428571428571429	
22	375.605	540	34	3.857142857142857	
23	379.279	500	38	3.5714285714285716	
24	381.033	1600	12	11.428571428571429	
25	384.991	540	35	3.857142857142857	
26	385.59	680	28	4.857142857142857	
27	386.285	7500	2	53.57142857142857	
28	389.268	4200	4	30.0	
29	390.398	250	69	1.7857142857142858	
30	390.54	1200	15	8.571428571428571	
31	391.805	280	65	2.0	
32	393.701	3200	6	22.857142857142858	
33	394.442	3200	7	22.857142857142858	
34	394.806	550	32	3.9285714285714284	
35	395.148	250	70	1.7857142857142858	
36	395.642	320	54	2.2857142857142856	
37	396.635	280	66	2.0	
38	397.304	2700	10	19.285714285714285	
39	397.358	3200	8	22.857142857142858	
40	397.673	280	67	2.0	
41	397.702	810	23	5.785714285714286	
42	398.233	1100	16	7.857142857142857	
43	398.753	280	68	2.0	
44	398.766	810	24	5.785714285714286	
45	399.115	230	73	1.6428571428571428	
46	400.405	230	74	1.6428571428571428	
47	400.796	14000	1	100.0	
48	401.258	1100	17	7.857142857142857	
49	402.051	3000	9	21.428571428571427	
50	402.155	450	40	3.2142857142857144	
51	404.696	1000	19	7.142857142857143	
52	405.951	550	33	3.9285714285714284	
53	407.788	420	42	3.0	
54	408.763	3500	5	25.0	
55	409.29	210	76	1.5	
56	409.81	1100	18	7.857142857142857	
57	411.636	320	55	2.2857142857142856	
58	411.855	320	56	2.2857142857142856	
59	413.15	600	31	4.285714285714286	
60	415.111	6900	3	49.285714285714285	
61	419.07	1000	20	7.142857142857143	
62	420.532	130	89	0.9285714285714286	
63	421.843	1400	14	10.0	
64	422.099	200	77	1.4285714285714286	
65	428.656	690	27	4.928571428571429	
66	429.891	320	57	2.2857142857142856	
67	432.881	130	90	0.9285714285714286	
68	433.136	110	104	0.7857142857142857	
69	434.092	140	85	1.0	
70	434.834	190	79	1.3571428571428572	
71	438.217	160	82	1.1428571428571428	
72	438.64	300	63	2.142857142857143	
73	440.934	810	25	5.785714285714286	
74	441.87	180	80	1.2857142857142858	
75	442.457	320	58	2.2857142857142856	
76	442.677	370	49	2.642857142857143	
77	443.766	110	105	0.7857142857142857	
78	449.639	130	91	0.9285714285714286	
79	452.274	130	92	0.9285714285714286	
80	460.661	1000	21	7.142857142857143	
81	467.316	310	62	2.2142857142857144	
82	472.269	230	75	1.6428571428571428	
83	472.905	150	83	1.0714285714285714	
84	485.744	140	86	1.0	
85	494.436	130	93	0.9285714285714286	
86	497.642	130	94	0.9285714285714286	
87	500.725	250	71	1.7857142857142858	
88	502.833	140	87	1.0	
89	503.594	200	78	1.4285714285714286	
90	504.386	130	95	0.9285714285714286	
91	504.489	130	96	0.9285714285714286	
92	512.456	120	99	0.8571428571428571	
93	513.153	120	100	0.8571428571428571	
94	517.278	130	97	0.9285714285714286	
95	520.652	150	84	1.0714285714285714	
96	527.291	80	111	0.5714285714285714	
97	527.771	55	128	0.39285714285714285	
98	533.306	55	129	0.39285714285714285	
99	534.806	90	108	0.6428571428571429	
100	535.047	45	143	0.32142857142857145	
101	536.885	35	153	0.25	
102	545.13	18	191	0.12857142857142856	
103	545.662	180	81	1.2857142857142858	
104	546.832	90	109	0.6428571428571429	
105	551.602	27	169	0.19285714285714287	
106	559.346	80	112	0.5714285714285714	
107	560.114	45	144	0.32142857142857145	
108	560.994	45	145	0.32142857142857145	
109	561.182	60	124	0.42857142857142855	
110	562.201	70	113	0.5	
111	563.62	30	166	0.21428571428571427	
112	564.036	90	110	0.6428571428571429	
113	564.142	22	176	0.15714285714285714	
114	566.495	70	114	0.5	
115	567.548	55	130	0.39285714285714285	
116	571.748	55	131	0.39285714285714285	
117	571.955	70	115	0.5	
118	572.697	55	132	0.39285714285714285	
119	573.656	22	177	0.15714285714285714	
120	573.694	22	178	0.15714285714285714	
121	573.919	100	106	0.7142857142857143	
122	574.061	35	154	0.25	
123	574.865	60	125	0.42857142857142855	
124	575.253	55	133	0.39285714285714285	
125	576.28	290	64	2.0714285714285716	
126	576.992	70	116	0.5	
127	578.282	45	146	0.32142857142857145	
128	578.466	70	117	0.5	
129	580.079	70	118	0.5	
130	580.61	22	179	0.15714285714285714	
131	582.679	430	41	3.0714285714285716	
132	583.584	45	147	0.32142857142857145	
133	585.007	100	107	0.7142857142857143	
134	585.531	120	101	0.8571428571428571	
135	587.235	140	88	1.0	
136	588.114	120	102	0.8571428571428571	
137	590.606	55	134	0.39285714285714285	
138	590.924	45	148	0.32142857142857145	
139	593.35	35	155	0.25	
140	594.637	22	180	0.15714285714285714	
141	596.868	55	135	0.39285714285714285	
142	597.549	27	170	0.19285714285714287	
143	601.483	55	136	0.39285714285714285	
144	602.256	70	119	0.5	
145	605.485	45	149	0.32142857142857145	
146	606.125	70	120	0.5	
147	611.601	35	156	0.25	
148	612.532	35	157	0.25	
149	622.102	360	51	2.5714285714285716	
150	623.09	35	158	0.25	
151	626.256	55	137	0.39285714285714285	
152	626.793	45	150	0.32142857142857145	
153	626.887	60	126	0.42857142857142855	
154	627.494	35	159	0.25	
155	628.686	30	167	0.21428571428571427	
156	629.942	45	151	0.32142857142857145	
157	630.877	130	98	0.9285714285714286	
158	632.613	55	138	0.39285714285714285	
159	638.819	45	152	0.32142857142857145	
160	643.253	22	181	0.15714285714285714	
161	648.587	27	171	0.19285714285714287	
162	649.235	55	139	0.39285714285714285	
163	654.157	22	182	0.15714285714285714	
164	658.348	60	127	0.42857142857142855	
165	660.111	70	121	0.5	
166	672.191	27	172	0.19285714285714287	
167	675.987	70	122	0.5	
168	676.292	22	183	0.15714285714285714	
169	677.337	27	173	0.19285714285714287	
170	679.092	35	160	0.25	
171	682.544	22	184	0.15714285714285714	
172	682.598	22	185	0.15714285714285714	
173	684.81	70	123	0.5	
174	686.513	55	140	0.39285714285714285	
175	687.998	27	174	0.19285714285714287	
176	700.14	22	186	0.15714285714285714	
177	705.855	12	199	0.08571428571428572	
178	706.504	12	200	0.08571428571428572	
179	710.127	18	192	0.12857142857142856	
180	710.967	8	214	0.05714285714285714	
181	716.191	5	224	0.03571428571428571	
182	719.7	14	198	0.1	
183	728.395	7	219	0.05	
184	735.537	18	193	0.12857142857142856	
185	735.634	11	205	0.07857142857142857	
186	742.867	18	194	0.12857142857142856	
187	745.955	55	141	0.39285714285714285	
188	746.042	9	210	0.06428571428571428	
189	746.951	120	103	0.8571428571428571	
190	753.234	22	187	0.15714285714285714	
191	753.918	6	220	0.04285714285714286	
192	755.626	27	175	0.19285714285714287	
193	757.421	6	221	0.04285714285714286	
194	759.051	5	225	0.03571428571428571	
195	759.733	11	206	0.07857142857142857	
196	760.723	6	222	0.04285714285714286	
197	761.352	11	207	0.07857142857142857	
198	762.348	6	223	0.04285714285714286	
199	764.567	16	196	0.11428571428571428	
200	765.063	8	215	0.05714285714285714	
201	765.805	12	201	0.08571428571428572	
202	765.925	22	188	0.15714285714285714	
203	766.564	4	229	0.02857142857142857	
204	768.001	35	161	0.25	
205	772.214	9	211	0.06428571428571428	
206	774.744	11	208	0.07857142857142857	
207	775.463	22	189	0.15714285714285714	
208	776.216	4	230	0.02857142857142857	
209	779.669	9	212	0.06428571428571428	
210	779.747	35	162	0.25	
211	783.88	9	213	0.06428571428571428	
212	784.4	11	209	0.07857142857142857	
213	784.755	16	197	0.11428571428571428	
214	787.536	5	226	0.03571428571428571	
215	787.936	5	227	0.03571428571428571	
216	789.955	18	195	0.12857142857142856	
217	791.308	8	216	0.05714285714285714	
218	792.185	35	163	0.25	
219	793.784	30	168	0.21428571428571427	
220	795.293	8	217	0.05714285714285714	
221	796.451	12	202	0.08571428571428572	
222	798.087	8	218	0.05714285714285714	
223	802.303	5	228	0.03571428571428571	
224	803.591	12	203	0.08571428571428572	
225	818.185	12	204	0.08571428571428572	
226	831.282	35	164	0.25	
227	840.99	55	142	0.39285714285714285	
228	847.242	35	165	0.25	
229	876.864	22	190	0.15714285714285714	
