	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	229.81687999999997	7900	644	0.3147410358565737	
1	237.36244	5000	832	0.199203187250996	
2	245.75966	11000	522	0.43824701195219123	
3	246.26471	9300	587	0.3705179282868526	
4	246.51491000000001	6900	693	0.2749003984063745	
5	246.88797000000002	7100	686	0.28286852589641437	
6	247.2341	6000	749	0.23904382470119523	
7	247.28947000000002	3980	935	0.15856573705179283	
8	247.31566	4470	895	0.17808764940239044	
9	247.97762000000003	7600	665	0.30278884462151395	
10	248.32707000000002	38000	233	1.5139442231075697	
11	248.41875	10000	557	0.398406374501992	
12	248.63725	5800	771	0.23107569721115537	
13	248.81422999999998	7200	676	0.2868525896414343	
14	248.97522999999998	3800	957	0.15139442231075698	
15	249.06442	18200	360	0.7250996015936255	
16	249.11548	13200	465	0.5258964143426295	
17	249.65337000000002	6000	751	0.23904382470119523	
18	250.11317999999997	5800	772	0.23107569721115537	
19	250.79001	4900	842	0.1952191235059761	
20	251.08347999999998	6000	752	0.23904382470119523	
21	251.81015	5100	820	0.20318725099601595	
22	252.28492999999997	11700	496	0.46613545816733065	
23	252.74347999999998	6600	712	0.26294820717131473	
24	252.91348	4900	843	0.1952191235059761	
25	253.56068	4170	918	0.1661354581673307	
26	254.0972	4680	867	0.18645418326693228	
27	254.59783	5600	780	0.22310756972111553	
28	254.96132000000003	11200	512	0.44621513944223107	
29	258.45358999999996	9100	597	0.36254980079681276	
30	260.68261	5000	833	0.199203187250996	
31	266.68122999999997	3630	987	0.1446215139442231	
32	267.90616	8100	637	0.32270916334661354	
33	268.92121000000003	5500	791	0.21912350597609562	
34	270.65817000000004	6500	722	0.2589641434262948	
35	271.90272000000004	10700	531	0.4262948207171315	
36	272.09021	8100	638	0.32270916334661354	
37	272.35773	8900	605	0.3545816733067729	
38	273.35803	15100	419	0.601593625498008	
39	273.54751	8100	639	0.32270916334661354	
40	273.69659	3720	975	0.14820717131474104	
41	273.7309	10700	532	0.4262948207171315	
42	274.2254	4270	912	0.1701195219123506	
43	274.24052	16200	396	0.6454183266932271	
44	274.40673	6300	731	0.250996015936255	
45	274.69818	17400	372	0.6932270916334662	
46	275.01403999999997	21400	321	0.852589641434263	
47	275.6328	6300	732	0.250996015936255	
48	276.20264	3630	988	0.1446215139442231	
49	276.31094	3550	998	0.14143426294820718	
50	277.20738	3720	976	0.14820717131474104	
51	277.82201000000003	9100	598	0.36254980079681276	
52	278.81047	4570	884	0.18207171314741036	
53	279.77751	7200	677	0.2868525896414343	
54	280.6984	6300	733	0.250996015936255	
55	281.32863	12000	492	0.47808764940239046	
56	282.32755	4790	853	0.1908366533864542	
57	282.55555	9500	574	0.3784860557768924	
58	283.24352999999996	14500	440	0.5776892430278885	
59	283.81192999999996	4680	868	0.18645418326693228	
60	284.36306	5100	821	0.20318725099601595	
61	284.39762	15800	405	0.6294820717131474	
62	285.17967000000004	15100	420	0.601593625498008	
63	286.93076	4170	919	0.1661354581673307	
64	287.4172	6200	741	0.24701195219123506	
65	291.21571	12900	470	0.5139442231075697	
66	292.90069	16600	388	0.6613545816733067	
67	293.69032000000004	105000	126	4.183266932270916	
68	294.13425	15100	421	0.601593625498008	
69	294.78758	83000	143	3.306772908366534	
70	295.39398	69000	160	2.749003984063745	
71	295.73643	46800	211	1.8645418326693226	
72	295.9992	8500	620	0.3386454183266932	
73	296.52542	35500	247	1.4143426294820718	
74	296.68984	138000	106	5.49800796812749	
75	296.93596	19100	345	0.7609561752988048	
76	296.94744	11200	513	0.44621513944223107	
77	297.00992	56000	187	2.231075697211155	
78	297.01058	74000	153	2.948207171314741	
79	297.01179	39800	228	1.5856573705179282	
80	297.31322	89000	134	3.545816733067729	
81	297.32352000000003	100000	129	3.9840637450199203	
82	298.14448	107000	123	4.2629482071713145	
83	298.64557	3800	958	0.15139442231075698	
84	298.72902999999997	12900	469	0.5139442231075697	
85	298.72904	12300	483	0.4900398406374502	
86	299.03913	5200	812	0.20717131474103587	
87	299.45018999999996	26300	288	1.047808764940239	
88	299.95116	112000	121	4.46215139442231	
89	300.04509	24000	300	0.9561752988047809	
90	300.09476	81000	144	3.2270916334661353	
91	300.30305	9800	565	0.3904382470119522	
92	300.7145	11000	523	0.43824701195219123	
93	300.72822	58000	182	2.310756972111554	
94	300.8138	85000	140	3.3864541832669324	
95	300.95691	52000	193	2.0717131474103585	
96	301.14808	6800	702	0.27091633466135456	
97	301.61845	5400	799	0.2151394422310757	
98	301.7627	29500	273	1.1752988047808766	
99	301.89828	26300	289	1.047808764940239	
100	302.04905	107000	124	4.2629482071713145	
101	302.40324	123000	111	4.900398406374502	
102	302.56362	20000	335	0.796812749003984	
103	302.58422	120000	113	4.780876494023905	
104	302.64617000000004	15500	415	0.6175298804780877	
105	303.01481	13800	450	0.549800796812749	
106	303.16364	10500	538	0.41832669322709165	
107	303.73885	98000	131	3.904382470119522	
108	304.04271	16600	389	0.6613545816733067	
