	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	277.876	45	286	0.9375	
1	278.768	70	257	1.4583333333333333	
2	295.243	35	290	0.7291666666666666	
3	304.301	130	206	2.7083333333333335	
4	304.648	160	197	3.3333333333333335	
5	305.992	100	228	2.0833333333333335	
6	311.119	170	187	3.5416666666666665	
7	311.901	120	213	2.5	
8	313.693	190	183	3.9583333333333335	
9	313.73	190	184	3.9583333333333335	
10	313.871	120	214	2.5	
11	315.863	200	176	4.166666666666667	
12	319.028	220	154	4.583333333333333	
13	319.93	220	155	4.583333333333333	
14	319.958	160	198	3.3333333333333335	
15	320.341	110	216	2.2916666666666665	
16	323.278	220	156	4.583333333333333	
17	326.673	540	62	11.25	
18	326.764	250	142	5.208333333333333	
19	328.225	250	143	5.208333333333333	
20	329.148	430	77	8.958333333333334	
21	329.408	430	78	8.958333333333334	
22	335.761	220	157	4.583333333333333	
23	339.722	220	158	4.583333333333333	
24	340.692	200	177	4.166666666666667	
25	341.102	220	159	4.583333333333333	
26	342.39	1100	22	22.916666666666668	
27	345.527	200	178	4.166666666666667	
28	348.62	220	160	4.583333333333333	
29	351.365	830	41	17.291666666666668	
30	360.487	1100	23	22.916666666666668	
31	365.819	210	171	4.375	
32	367.405	1000	30	20.833333333333332	
33	367.921	350	98	7.291666666666667	
34	368.413	2000	9	41.666666666666664	
35	371.357	2000	10	41.666666666666664	
36	371.748	2000	11	41.666666666666664	
37	373.232	270	128	5.625	
38	373.267	230	153	4.791666666666667	
39	373.976	490	71	10.208333333333334	
40	374.483	620	58	12.916666666666666	
41	375.794	1000	31	20.833333333333332	
42	376.22	870	36	18.125	
43	377.126	250	144	5.208333333333333	
44	377.345	210	172	4.375	
45	377.683	210	173	4.375	
46	378.305	2900	2	60.416666666666664	
47	379.063	200	179	4.166666666666667	
48	380.439	210	174	4.375	
49	383.297	210	175	4.375	
50	384.328	1400	17	29.166666666666668	
51	386.699	1600	14	33.333333333333336	
52	387.357	250	145	5.208333333333333	
53	390.271	300	106	6.25	
54	390.429	240	146	5.0	
55	390.565	450	75	9.375	
56	393.479	1200	21	25.0	
57	393.538	220	161	4.583333333333333	
58	394.18	450	76	9.375	
59	394.263	590	59	12.291666666666666	
60	394.324	270	129	5.625	
61	394.362	220	162	4.583333333333333	
62	394.554	1400	18	29.166666666666668	
63	395.337	590	60	12.291666666666666	
64	396.628	590	61	12.291666666666666	
65	396.9	750	45	15.625	
66	397.271	390	94	8.125	
67	397.481	300	107	6.25	
68	397.933	750	46	15.625	
69	398.784	470	72	9.791666666666666	
70	399.269	320	100	6.666666666666667	
71	400.833	320	101	6.666666666666667	
72	401.558	200	180	4.166666666666667	
73	401.725	300	108	6.25	
74	401.771	430	79	8.958333333333334	
75	401.973	300	109	6.25	
76	402.314	1100	24	22.916666666666668	
77	402.335	810	42	16.875	
78	402.761	220	163	4.583333333333333	
79	402.815	1100	25	22.916666666666668	
80	403.088	860	37	17.916666666666668	
81	403.349	700	50	14.583333333333334	
82	403.54	340	99	7.083333333333333	
83	403.684	260	133	5.416666666666667	
84	404.371	410	88	8.541666666666666	
85	404.501	1600	15	33.333333333333336	
86	404.709	270	130	5.625	
87	404.92	270	131	5.625	
88	405.037	270	132	5.625	
89	405.364	2600	4	54.166666666666664	
90	405.472	810	43	16.875	
91	405.822	2600	5	54.166666666666664	
92	405.988	650	54	13.541666666666666	
93	406.604	260	134	5.416666666666667	
94	406.835	520	63	10.833333333333334	
95	406.874	260	135	5.416666666666667	
96	407.87	2800	3	58.333333333333336	
97	408.37	520	64	10.833333333333334	
98	409.041	650	55	13.541666666666666	
99	409.271	1100	26	22.916666666666668	
100	409.372	260	136	5.416666666666667	
101	410.026	650	56	13.541666666666666	
102	413.416	750	47	15.625	
103	414.886	280	117	5.833333333333333	
104	417.554	2400	6	50.0	
105	419.078	2200	7	45.833333333333336	
106	419.163	750	48	15.625	
107	422.503	320	102	6.666666666666667	
108	422.585	4800	1	100.0	
109	426.012	810	44	16.875	
110	426.209	1600	16	33.333333333333336	
111	426.66	650	57	13.541666666666666	
112	426.7	470	73	9.791666666666666	
113	427.417	300	110	6.25	
114	428.582	430	80	8.958333333333334	
115	428.612	300	111	6.25	
116	429.929	430	81	8.958333333333334	
117	430.634	1100	27	22.916666666666668	
118	430.929	260	137	5.416666666666667	
119	431.384	1800	13	37.5	
120	431.44	520	65	10.833333333333334	
121	432.052	370	96	7.708333333333333	
122	432.712	1900	12	39.583333333333336	
123	432.958	370	97	7.708333333333333	
124	433.138	240	147	5.0	
125	434.646	2200	8	45.833333333333336	
126	434.662	910	33	18.958333333333332	
127	437.383	970	32	20.208333333333332	
128	439.206	280	118	5.833333333333333	
129	440.186	1400	19	29.166666666666668	
130	440.314	520	66	10.833333333333334	
131	440.925	220	164	4.583333333333333	
132	441.116	520	67	10.833333333333334	
133	441.416	860	38	17.916666666666668	
134	441.473	700	51	14.583333333333334	
135	442.241	1400	20	29.166666666666668	
136	443.063	1100	28	22.916666666666668	
137	443.61	240	148	5.0	
138	446.474	300	112	6.25	
139	446.708	520	68	10.833333333333334	
140	447.413	700	52	14.583333333333334	
141	447.612	860	39	17.916666666666668	
142	448.47	220	165	4.583333333333333	
143	448.69	280	119	5.833333333333333	
144	449.713	500	70	10.416666666666666	
145	449.732	220	166	4.583333333333333	
146	450.621	430	82	8.958333333333334	
147	451.966	1100	29	22.916666666666668	
148	452.412	150	200	3.125	
149	453.781	910	34	18.958333333333332	
150	454.203	300	113	6.25	
151	454.8	240	149	5.0	
152	457.381	130	207	2.7083333333333335	
153	457.591	260	138	5.416666666666667	
154	457.959	280	120	5.833333333333333	
155	458.129	410	89	8.541666666666666	
156	458.307	410	90	8.541666666666666	
157	458.699	160	199	3.3333333333333335	
158	459.89	410	91	8.541666666666666	
159	460.293	240	150	5.0	
160	461.45	520	69	10.833333333333334	
161	462.442	140	202	2.9166666666666665	
162	463.664	430	83	8.958333333333334	
163	464.004	170	188	3.5416666666666665	
164	464.6	170	189	3.5416666666666665	
165	464.764	170	190	3.5416666666666665	
166	464.859	170	191	3.5416666666666665	
167	465.354	430	84	8.958333333333334	
168	467.087	140	203	2.9166666666666665	
169	467.918	170	192	3.5416666666666665	
170	468.004	260	139	5.416666666666667	
171	468.333	430	85	8.958333333333334	
172	468.812	140	204	2.9166666666666665	
173	469.433	700	53	14.583333333333334	
174	469.549	170	193	3.5416666666666665	
175	469.742	430	86	8.958333333333334	
176	470.313	170	194	3.5416666666666665	
177	470.978	200	181	4.166666666666667	
178	472.146	110	217	2.2916666666666665	
179	473.575	260	140	5.416666666666667	
180	474.365	410	92	8.541666666666666	
181	474.582	110	218	2.2916666666666665	
182	475.87	320	103	6.666666666666667	
183	476.074	110	219	2.2916666666666665	
184	476.382	130	208	2.7083333333333335	
185	476.724	470	74	9.791666666666666	
186	478.192	180	186	3.75	
187	478.462	300	114	6.25	
188	478.675	110	220	2.2916666666666665	
189	480.745	220	167	4.583333333333333	
190	482.169	320	104	6.666666666666667	
191	483.526	130	209	2.7083333333333335	
192	484.81	110	221	2.2916666666666665	
193	486.259	110	222	2.2916666666666665	
194	487.15	120	215	2.5	
195	493.412	280	121	5.833333333333333	
196	493.861	220	168	4.583333333333333	
197	495.247	110	223	2.2916666666666665	
198	495.879	130	210	2.7083333333333335	
199	501.174	55	267	1.1458333333333333	
200	501.504	750	49	15.625	
201	503.909	75	248	1.5625	
202	507.374	55	268	1.1458333333333333	
203	508.28	55	269	1.1458333333333333	
204	510.345	910	35	18.958333333333332	
205	513.559	65	258	1.3541666666666667	
206	513.604	75	249	1.5625	
207	514.15	75	250	1.5625	
208	514.268	75	251	1.5625	
209	515.584	860	40	17.916666666666668	
210	515.848	75	252	1.5625	
211	516.37	75	253	1.5625	
212	518.788	55	270	1.1458333333333333	
213	519.777	410	93	8.541666666666666	
214	521.748	85	234	1.7708333333333333	
215	521.94	280	122	5.833333333333333	
216	523.393	130	211	2.7083333333333335	
217	524.687	65	259	1.3541666666666667	
218	525.118	320	105	6.666666666666667	
219	525.475	85	235	1.7708333333333333	
220	525.58	140	205	2.9166666666666665	
221	526.878	65	260	1.3541666666666667	
222	527.291	55	271	1.1458333333333333	
223	528.248	55	272	1.1458333333333333	
224	528.308	280	123	5.833333333333333	
225	530.167	280	124	5.833333333333333	
226	530.276	220	169	4.583333333333333	
227	530.67	55	273	1.1458333333333333	
228	530.73	280	125	5.833333333333333	
229	532.15	130	212	2.7083333333333335	
230	532.178	280	126	5.833333333333333	
231	532.732	110	224	2.2916666666666665	
232	532.83	65	261	1.3541666666666667	
233	533.33	170	195	3.5416666666666665	
234	533.753	55	274	1.1458333333333333	
235	534.3	300	115	6.25	
236	534.513	85	236	1.7708333333333333	
237	534.568	75	254	1.5625	
238	534.867	200	182	4.166666666666667	
239	535.038	300	116	6.25	
240	535.326	240	151	5.0	
241	536.166	55	275	1.1458333333333333	
242	536.538	95	231	1.9791666666666667	
243	536.992	95	232	1.9791666666666667	
244	537.063	150	201	3.125	
245	538.95	85	237	1.7708333333333333	
246	541.32	85	238	1.7708333333333333	
247	541.569	85	239	1.7708333333333333	
248	545.346	65	262	1.3541666666666667	
249	559.185	55	276	1.1458333333333333	
250	561.791	190	185	3.9583333333333335	
251	562.955	65	263	1.3541666666666667	
252	563.225	110	225	2.2916666666666665	
253	564.324	260	141	5.416666666666667	
254	569.622	390	95	8.125	
