	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	201.1293	200	20	7.6923076923076925	
1	201.90684	1700	4	65.38461538461539	
2	204.17121	2400	2	92.3076923076923	C
3	204.37695	1600	5	61.53846153846154	
4	205.44609	420	15	16.153846153846153	
5	205.72382	220	19	8.461538461538462	
6	206.52149	750	8	28.846153846153847	C
7	206.86562	2600	1	100.0	C
8	208.60208	420	16	16.153846153846153	C
9	209.42582	2000	3	76.92307692307692	C
10	210.58241	240	18	9.23076923076923	C
11	212.47438	95	23	3.6538461538461537	
12	218.64508	50	29	1.9230769230769231	
13	219.87144	340	17	13.076923076923077	
14	222.03747	15	38	0.5769230769230769	
15	225.60007	18	36	0.6923076923076923	C
16	231.42014	18	37	0.6923076923076923	
17	232.79181	24	33	0.9230769230769231	
18	235.92326	15	39	0.5769230769230769	
19	237.91443	20	34	0.7692307692307693	
20	238.94725	10	41	0.38461538461538464	
21	239.78848	15	40	0.5769230769230769	
22	241.73672	130	21	5.0	C
23	243.6412	30	31	1.1538461538461537	
24	249.79625	90	24	3.4615384615384617	C
25	253.32305	70	26	2.6923076923076925	C
26	255.62979	3	102	0.11538461538461539	
27	258.91878	28	32	1.0769230769230769	C
28	259.2534	500	12	19.23076923076923	C
29	264.41836	8	50	0.3076923076923077	
30	265.1172	1200	6	46.15384615384615	C
31	265.15683	500	13	19.23076923076923	C
32	269.13411	500	14	19.23076923076923	C
33	270.96237	850	7	32.69230769230769	C
34	274.04264	40	30	1.5384615384615385	
35	275.45878	650	10	25.0	C
36	279.39249	70	27	2.6923076923076925	
37	282.90076	80	25	3.076923076923077	
38	303.90671	750	9	28.846153846153847	C
39	306.70214	600	11	23.076923076923077	
40	312.48164	20	35	0.7692307692307693	C
41	326.94889	110	22	4.230769230769231	C
42	422.65625	70	28	2.6923076923076925	C
43	468.58286	10	42	0.38461538461538464	C
44	519.4586	3	103	0.11538461538461539	
45	526.5892	6	66	0.23076923076923078	
46	551.3264	6	67	0.23076923076923078	
47	556.4742	8	51	0.3076923076923077	
48	560.7012	8	52	0.3076923076923077	
49	561.6137	6	68	0.23076923076923078	
50	562.1428	7	57	0.2692307692307692	
51	565.5962	8	53	0.3076923076923077	
52	566.4227	6	69	0.23076923076923078	
53	566.4844	5	83	0.19230769230769232	
54	569.1958	9	47	0.34615384615384615	
55	570.1778	6	70	0.23076923076923078	
56	571.7878	5	84	0.19230769230769232	
57	580.1032	6	71	0.23076923076923078	
58	580.2093	9	48	0.34615384615384615	
59	655.7488	6	72	0.23076923076923078	
60	713.0117	6	73	0.23076923076923078	
61	733.038	7	58	0.2692307692307692	
62	735.3332	5	85	0.19230769230769232	
63	738.4208	7	59	0.2692307692307692	
64	740.2645	6	74	0.23076923076923078	
65	751.157	7	60	0.2692307692307692	
66	777.62	5	86	0.19230769230769232	
67	783.3573	10	43	0.38461538461538464	
68	783.7632	7	61	0.2692307692307692	
69	785.377	6	75	0.23076923076923078	
70	787.812	7	62	0.2692307692307692	
71	796.2265	5	87	0.19230769230769232	
72	798.3327	5	88	0.19230769230769232	
73	803.1037	10	44	0.38461538461538464	
74	804.4162	6	76	0.23076923076923078	
75	809.5291	5	89	0.19230769230769232	
76	822.522	5	90	0.19230769230769232	
77	822.6086	7	63	0.2692307692307692	
78	825.601	10	45	0.38461538461538464	
79	826.415	5	91	0.19230769230769232	
80	828.009	5	92	0.19230769230769232	
81	828.104	6	77	0.23076923076923078	
82	836.7806	8	54	0.3076923076923077	
83	839.1699	7	64	0.2692307692307692	
84	839.6355	5	93	0.19230769230769232	
85	842.9416	5	94	0.19230769230769232	
86	848.2214	10	46	0.38461538461538464	
87	850.6705	8	55	0.3076923076923077	
88	850.7658	5	95	0.19230769230769232	
89	856.4889	8	56	0.3076923076923077	
90	859.9271	6	78	0.23076923076923078	
91	865.2418	6	79	0.23076923076923078	
92	866.9604	5	96	0.19230769230769232	
93	870.0602	9	49	0.34615384615384615	
94	871.2902	5	97	0.19230769230769232	
95	873.4785	6	80	0.23076923076923078	
96	878.9884	6	81	0.23076923076923078	
97	906.8781	5	98	0.19230769230769232	
98	909.5953	5	99	0.19230769230769232	
99	939.8862	6	82	0.23076923076923078	
100	949.255	4	101	0.15384615384615385	
101	962.5658	7	65	0.2692307692307692	
102	1003.9427	5	100	0.19230769230769232	
