	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	365.665	700	34	0.14	
1	365.725	700	35	0.14	
2	365.80400000000003	700	32	0.14	
3	365.865	700	36	0.14	
4	365.941	700	37	0.14	
5	366.032	700	33	0.14	
6	366.12699999999995	800	31	0.16	
7	366.222	1100	26	0.22	
8	366.341	900	29	0.18	
9	366.465	1000	27	0.2	
10	366.608	900	30	0.18	
11	366.773	1000	28	0.2	
12	366.945	1300	23	0.26	
13	367.13199999999995	1200	25	0.24	
14	367.381	1300	24	0.26	
15	367.6376	1400	22	0.28	
16	367.93699999999995	1700	20	0.34	
17	368.2823	1700	21	0.34	
18	368.6831	2000	19	0.4	
19	369.1551	2300	15	0.46	
20	369.7157	2300	16	0.46	
21	370.3859	2800	14	0.56	
22	371.1978	3300	13	0.66	
23	372.1946	5000	12	1.0	
24	373.4369	6000	11	1.2	
25	375.0151	8000	10	1.6	
26	377.0633	9000	9	1.8	
27	379.7909	17000	8	3.4	
28	383.5397	30000	6	6.0	
29	388.9064	70000	4	14.0	
30	397.0075	30000	7	6.0	
31	410.1734	70000	5	14.0	
32	434.0472	90000	3	18.0	
33	486.135	180000	2	36.0	
34	656.279	500000	1	100.0	
35	824.9989999999999	90	59	0.018	
36	825.2289999999999	90	60	0.018	
37	825.4989999999999	90	61	0.018	
38	825.789	110	55	0.022	
39	826.0889999999999	110	56	0.022	
40	826.428	110	57	0.022	
41	826.794	110	58	0.022	
42	827.194	140	51	0.028	
43	827.632	140	52	0.028	
44	828.113	140	53	0.028	
45	828.6419999999999	140	54	0.028	
46	829.23	170	50	0.034	
47	829.883	210	49	0.042	
48	830.61	250	48	0.05	
49	831.426	290	46	0.058	
50	832.342	290	47	0.058	
51	833.378	370	45	0.074	
52	834.554	500	43	0.1	
53	835.9	500	44	0.1	
54	837.448	600	42	0.12	
55	839.24	700	38	0.14	
56	841.332	700	39	0.14	
57	843.795	700	40	0.14	
58	846.7260000000001	700	41	0.14	
59	850.2489999999999	-1200	62	-0.24	
60	854.538	-1400	63	-0.28	
61	859.8389999999999	2300	17	0.46	
62	866.502	-2200	64	-0.44	
63	875.046	2200	18	0.44	
64	886.289	-3600	65	-0.72	
65	901.53	-4800	66	-0.96	
66	922.97	-6500	67	-1.3	
67	954.62	-9000	68	-1.8	
68	1004.98	-13000	69	-2.6	
