	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	364.8841	3	60	12.0	
1	364.8981	4	55	16.0	
2	404.4136	18	5	72.0	
3	404.7208	17	6	68.0	
4	464.1876	10	26	40.0	
5	464.2373	11	23	44.0	
6	474.0914	4	56	16.0	
7	474.4345	6	45	24.0	
8	475.3934	5	50	20.0	
9	475.7389	7	39	28.0	
10	478.6491	5	51	20.0	
11	479.1049	7	40	28.0	
12	479.9754	6	46	24.0	
13	480.4348	8	35	32.0	
14	484.9865	7	41	28.0	
15	485.60900000000004	8	36	32.0	
16	486.3483	8	37	32.0	
17	486.9757	9	31	36.0	
18	494.2002	8	34	32.0	
19	495.0815	9	32	36.0	
20	495.61460999999997	9	33	36.0	
21	496.5031	10	27	40.0	
22	508.4226	10	28	40.0	
23	509.7171	11	24	44.0	
24	509.92	11	25	44.0	
25	511.2249	12	16	48.0	
26	532.3276	12	17	48.0	
27	533.9688	13	15	52.0	
28	534.297	12	18	48.0	
29	535.9574	14	12	56.0	
30	578.2384	16	9	64.0	
31	580.1752	17	7	68.0	
32	581.2148	15	11	60.0	
33	583.1887	17	8	68.0	
34	691.1084	19	4	76.0	
35	693.6284	12	19	48.0	
36	693.8767	20	3	80.0	
37	696.418	7	42	28.0	
38	696.4672	12	20	48.0	
39	766.489913	25	1	100.0	
40	769.896456	24	2	96.0	
41	795.5369999999999	5	52	20.0	
42	795.683	4	57	16.0	
43	807.811	7	43	28.0	
44	807.962	6	47	24.0	
45	825.018	9	30	36.0	
46	825.174	8	38	32.0	
47	839.0219999999999	3	61	12.0	
48	841.7539999999999	2	64	8.0	
49	842.0	1	65	4.0	
50	850.345	11	22	44.0	
51	850.5110000000001	10	29	40.0	
52	876.3960000000001	4	58	16.0	
53	876.705	3	62	12.0	
54	890.2189999999999	13	14	52.0	
55	890.4019999999999	12	21	48.0	
56	892.331	5	53	20.0	
57	892.544	4	59	16.0	
58	934.7239999999999	7	44	28.0	
59	934.925	3	63	12.0	
60	935.159	6	48	24.0	
61	959.57	15	10	60.0	
62	959.783	14	13	56.0	
63	994.967	6	49	24.0	
64	995.414	5	54	20.0	
