	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	239.43900000000002	1	26	0.027777777777777776	
1	242.543	3	24	0.08333333333333333	
2	247.50599999999997	10	17	0.2777777777777778	
3	256.231	15	14	0.4166666666666667	
4	274.12	5	23	0.1388888888888889	
5	323.26599999999996	17	13	0.4722222222222222	
6	371.87	3	25	0.08333333333333333	
7	379.472	6	22	0.16666666666666666	
8	391.53	20	10	0.5555555555555556	
9	391.535	20	9	0.5555555555555556	
10	398.548	10	18	0.2777777777777778	
11	398.55400000000003	10	19	0.2777777777777778	
12	413.256	40	8	1.1111111111111112	
13	413.26199999999994	40	7	1.1111111111111112	
14	427.30699999999996	20	11	0.5555555555555556	
15	427.31300000000005	20	12	0.5555555555555556	
16	460.283	13	16	0.3611111111111111	
17	460.289	13	15	0.3611111111111111	
18	497.166	8	20	0.2222222222222222	
19	497.175	8	21	0.2222222222222222	
20	610.354	320	3	8.88888888888889	
21	610.365	320	4	8.88888888888889	
22	670.7760000000001	3600	1	100.0	
23	670.791	3600	2	100.0	
24	812.623	48	5	1.3333333333333333	
25	812.645	48	6	1.3333333333333333	
