	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	254.944	20	112	0.2631578947368421	
1	254.972	20	113	0.2631578947368421	
2	267.725	90	67	1.1842105263157894	
3	268.508	570	25	7.5	
4	268.508	570	26	7.5	
5	268.554	90	68	1.1842105263157894	
6	271.591	90	69	1.1842105263157894	
7	271.909	180	47	2.3684210526315788	
8	272.895	480	30	6.315789473684211	B
9	276.574	750	22	9.868421052631579	
10	284.513	330	37	4.342105263157895	
11	288.514	570	27	7.5	B
12	290.305	300	41	3.9473684210526314	B+
13	294.973	270	42	3.5526315789473686	
14	294.973	270	43	3.5526315789473686	
15	298.927	1800	15	23.68421052631579	B+
16	308.011	390	35	5.131578947368421	B
17	308.147	5100	5	67.10526315789474	B+
18	311.843	3000	10	39.473684210526315	B+
19	317.136	2400	14	31.57894736842105	B+
20	327.897	3800	7	50.0	B+
21	328.174	7600	1	100.0	B+
22	331.211	6200	3	81.57894736842105	B+
23	335.956	7600	2	100.0	B+
24	337.65	6200	4	81.57894736842105	B+
25	338.55	950	20	12.5	B+
26	339.155	160	51	2.1052631578947367	
27	339.682	1400	17	18.42105263157895	B+
28	350.842	1600	16	21.05263157894737	B+
29	356.784	4800	6	63.1578947368421	B+
30	359.634	340	36	4.473684210526316	
31	362.031	170	49	2.236842105263158	D
32	363.625	680	23	8.947368421052632	B+
33	364.777	2600	13	34.21052631578947	B+
34	368.432	60	82	0.7894736842105263	
35	371.095	60	83	0.7894736842105263	
36	375.67	110	59	1.4473684210526316	
37	375.679	110	60	1.4473684210526316	
38	378.618	30	102	0.39473684210526316	
39	380.067	150	52	1.9736842105263157	
40	382.907	75	76	0.9868421052631579	
41	384.118	2700	11	35.526315789473685	B+
42	384.361	75	77	0.9868421052631579	
43	385.329	95	63	1.25	
44	387.461	40	93	0.5263157894736842	
45	391.177	29	105	0.3815789473684211	
46	391.886	50	88	0.6578947368421053	
47	392.662	35	96	0.4605263157894737	
48	396.846	480	31	6.315789473684211	B+
49	399.138	50	89	0.6578947368421053	
50	405.445	670	24	8.81578947368421	B+
51	410.744	35	97	0.4605263157894737	
52	411.267	95	64	1.25	C+
53	412.249	310	40	4.078947368421052	
54	412.473	3100	9	40.78947368421053	C+
55	413.179	150	53	1.9736842105263157	
56	415.408	460	32	6.052631578947368	B+
57	415.898	24	108	0.3157894736842105	
58	427.75	150	54	1.9736842105263157	
59	428.103	250	44	3.289473684210526	
60	429.597	330	38	4.342105263157895	
61	429.609	330	39	4.342105263157895	
62	430.957	150	55	1.9736842105263157	B+
63	433.272	75	78	0.9868421052631579	
64	442.096	65	80	0.8552631578947368	
65	443.048	190	45	2.5	
66	443.879	35	98	0.4605263157894737	
67	445.081	190	46	2.5	
68	447.155	50	90	0.6578947368421053	
69	448.015	19	114	0.25	C+
70	449.885	60	84	0.7894736842105263	B+
71	451.857	3300	8	43.421052631578945	B+
72	460.539	85	71	1.118421052631579	
73	464.547	95	65	1.25	
74	464.821	100	61	1.3157894736842106	
75	464.885	95	66	1.25	
76	465.802	1000	19	13.157894736842104	B+
77	465.903	85	72	1.118421052631579	
78	468.977	44	92	0.5789473684210527	C+
79	471.67	30	103	0.39473684210526316	C+
80	472.62	65	81	0.8552631578947368	
81	481.505	85	73	1.118421052631579	B+
82	490.488	460	33	6.052631578947368	
83	494.234	180	48	2.3684210526315788	B+
84	496.613	5	133	0.06578947368421052	C+
85	500.114	800	21	10.526315789473685	B+
86	505.76	55	85	0.7236842105263158	
87	513.405	140	56	1.8421052631578947	
88	513.509	2700	12	35.526315789473685	B+
89	519.661	170	50	2.236842105263158	
90	520.647	90	70	1.1842105263157894	C+
91	530.44	40	94	0.5263157894736842	
92	534.912	80	74	1.0526315789473684	
93	540.257	500	29	6.578947368421052	B+
94	542.19	140	57	1.8421052631578947	
95	543.788	100	62	1.3157894736842106	
96	545.357	35	99	0.4605263157894737	
97	573.655	550	28	7.2368421052631575	B+
98	577.54	55	86	0.7236842105263158	
99	580.059	80	75	1.0526315789473684	
100	586.079	40	95	0.5263157894736842	
101	586.63	9	124	0.11842105263157894	
102	599.713	140	58	1.8421052631578947	
103	600.452	1400	18	18.42105263157895	B+
104	604.166	35	100	0.4605263157894737	
105	605.503	440	34	5.7894736842105265	B+
106	614.071	11	121	0.14473684210526316	
107	624.88	16	117	0.21052631578947367	
108	634.535	70	79	0.9210526315789473	
109	635.485	18	115	0.23684210526315788	
110	636.579	9	125	0.11842105263157894	
111	636.6	16	118	0.21052631578947367	
112	644.114	22	111	0.2894736842105263	
113	647.767	29	106	0.3815789473684211	B
114	652.318	55	87	0.7236842105263158	
115	667.714	23	109	0.3026315789473684	
116	673.576	9	126	0.11842105263157894	
117	679.377	30	104	0.39473684210526316	
118	691.731	45	91	0.5921052631578947	
119	703.124	23	110	0.3026315789473684	
120	709.634	14	119	0.18421052631578946	
121	714.279	9	127	0.11842105263157894	
122	714.31	7	129	0.09210526315789473	
123	723.798	14	120	0.18421052631578946	
124	744.152	11	122	0.14473684210526316	
125	764.008	7	130	0.09210526315789473	
126	775.83	7	131	0.09210526315789473	
127	781.59	7	132	0.09210526315789473	
128	817.816	9	128	0.11842105263157894	
129	838.208	17	116	0.2236842105263158	
130	847.85	10	123	0.13157894736842105	
131	850.808	29	107	0.3815789473684211	
132	861.098	35	101	0.4605263157894737	
