	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	409.994	140	66	15.555555555555555	
1	410.995	185	49	20.555555555555557	
2	484.73800000000006	180	60	20.0	
3	491.494	160	61	17.77777777777778	
4	493.51199999999994	210	39	23.333333333333332	
5	495.023	160	62	17.77777777777778	
6	496.398	350	23	38.888888888888886	
7	528.12	185	50	20.555555555555557	
8	529.268	140	67	15.555555555555555	
9	575.25	700	3	77.77777777777777	
10	576.475	240	34	26.666666666666668	
11	582.9540000000001	265	28	29.444444444444443	
12	585.404	235	35	26.11111111111111	
13	599.943	160	63	17.77777777777778	
14	600.847	210	40	23.333333333333332	
15	641.165	185	51	20.555555555555557	
16	642.064	210	41	23.333333333333332	
17	642.302	210	42	23.333333333333332	
18	642.832	210	43	23.333333333333332	
19	643.768	185	52	20.555555555555557	
20	644.094	235	36	26.11111111111111	
21	645.79	185	53	20.555555555555557	
22	646.844	300	25	33.333333333333336	
23	648.1709999999999	265	29	29.444444444444443	
24	648.27	360	22	40.0	
25	648.375	300	26	33.333333333333336	
26	648.48	325	24	36.111111111111114	
27	649.122	160	64	17.77777777777778	
28	649.9540000000001	210	44	23.333333333333332	
29	650.631	185	54	20.555555555555557	
30	662.2539999999999	185	55	20.555555555555557	
31	663.694	185	56	20.555555555555557	
32	664.4960000000001	235	37	26.11111111111111	
33	664.65	185	57	20.555555555555557	
34	665.346	235	38	26.11111111111111	
35	665.6510000000001	210	45	23.333333333333332	
36	672.262	185	58	20.555555555555557	
37	739.8639999999999	210	46	23.333333333333332	
38	740.612	160	65	17.77777777777778	
39	740.6239999999999	265	30	29.444444444444443	
40	742.3639999999999	685	5	76.11111111111111	
41	744.2289999999999	785	2	87.22222222222223	
42	746.831	900	1	100.0	
43	760.88	185	59	20.555555555555557	
44	818.487	400	18	44.44444444444444	
45	818.802	400	19	44.44444444444444	
46	820.0360000000001	250	31	27.77777777777778	
47	821.072	300	27	33.333333333333336	
48	821.6339999999999	570	8	63.333333333333336	
49	822.314	400	20	44.44444444444444	
50	824.2389999999999	400	21	44.44444444444444	
51	856.7739999999999	500	12	55.55555555555556	
52	859.4	570	9	63.333333333333336	
53	862.924	650	6	72.22222222222223	
54	865.5889999999999	500	13	55.55555555555556	
55	868.028	700	4	77.77777777777777	
56	868.34	650	7	72.22222222222223	
57	868.615	500	14	55.55555555555556	
58	870.325	500	15	55.55555555555556	
59	871.17	570	10	63.333333333333336	
60	871.883	500	16	55.55555555555556	
61	872.8889999999999	250	32	27.77777777777778	
62	874.7360000000001	200	47	22.22222222222222	
63	938.68	500	17	55.55555555555556	
64	939.279	570	11	63.333333333333336	
65	946.068	250	33	27.77777777777778	
66	986.3330000000001	200	48	22.22222222222222	
