	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	285.2811	16	26	0.02	
1	285.3013	15	27	0.01875	
2	289.3618	1	74	0.00125	
3	330.2369	19	22	0.02375	
4	330.2979	18	24	0.0225	
5	342.6862	6	48	0.0075	
6	342.73	9	36	0.01125	
7	348.9	130	9	0.1625	
8	350.25	160	6	0.2	
9	351.1	130	10	0.1625	
10	384.8	5	53	0.00625	
11	386.55	130	11	0.1625	
12	387.29	19	23	0.02375	
13	388.18	420	3	0.525	
14	388.57	36	18	0.045	
15	390.04	15	28	0.01875	
16	391.79	160	7	0.2	
17	392.56	85	12	0.10625	
18	393.06	15	29	0.01875	
19	394.26	32	19	0.04	
20	398.03	14	30	0.0175	
21	399.77	14	31	0.0175	
22	400.88	27	20	0.03375	
23	417.67	82	14	0.1025	
24	418.55	150	8	0.1875	
25	420.49	46	15	0.0575	
26	423.8987	2	66	0.0025	
27	424.2082	3	61	0.00375	
28	424.941	1	75	0.00125	
29	425.25199999999995	2	67	0.0025	
30	425.38	17	25	0.02125	
31	427.3642	4	58	0.005	
32	427.39	23	21	0.02875	
33	427.6787	5	52	0.00625	
34	428.67	46	16	0.0575	
35	428.7838	2	68	0.0025	
36	429.1006	3	62	0.00375	
37	432.14	6	49	0.0075	
38	432.4615	7	41	0.00875	
39	434.1489	4	59	0.005	
40	434.4736	5	54	0.00625	
41	439.0029	8	39	0.01	
42	439.334	9	35	0.01125	
43	441.9885	6	50	0.0075	
44	442.3246	7	43	0.00875	
45	443.23	310	4	0.3875	
46	449.4177	10	34	0.0125	
47	449.7658	11	33	0.01375	
48	454.1633	7	44	0.00875	
49	454.5186	8	40	0.01	
50	466.48107000000005	1	76	0.00125	
51	466.85595	2	64	0.0025	
52	474.7941	1	77	0.00125	
53	475.18217999999996	2	69	0.0025	
54	497.85414000000003	1	78	0.00125	
55	498.28134000000006	2	70	0.0025	
56	507.12	270	5	0.3375	
57	514.8838099999999	1	79	0.00125	
58	515.34024	2	71	0.0025	
59	516.25	83	13	0.10375	
60	525.64	7	45	0.00875	
61	562.1	42	17	0.0525	
62	568.26333	5	55	0.00625	
63	568.81934	1	80	0.00125	
64	568.8204599999999	9	37	0.01125	
65	574.42	12	32	0.015	
66	588.995095	80000	1	100.0	
67	589.592424	40000	2	50.0	
68	615.4225299999999	1	81	0.00125	
69	616.0747	2	72	0.0025	
70	737.323	2	73	0.0025	
71	737.3489999999999	1	82	0.00125	
72	780.9780000000001	4	60	0.005	
73	781.0239999999999	3	63	0.00375	
74	818.32556	5	56	0.00625	
75	819.47905	1	83	0.00125	
76	819.4823700000001	9	38	0.01125	
77	864.992	7	46	0.00875	
78	865.0889999999999	6	51	0.0075	
79	894.296	2	65	0.0025	
80	915.388	4	57	0.005	
81	946.5939999999999	6	47	0.0075	
82	996.128	7	42	0.00875	
