	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	228.998	1600	27	19.51219512195122	
1	230.078	630	52	7.682926829268292	
2	231.09599999999998	2000	22	24.390243902439025	
3	231.234	1700	25	20.73170731707317	
4	231.36599999999999	1400	31	17.073170731707318	
5	231.398	1400	32	17.073170731707318	
6	231.71599999999998	1400	33	17.073170731707318	
7	232.003	2600	17	31.70731707317073	
8	232.138	1900	23	23.170731707317074	
9	232.268	240	82	2.926829268292683	
10	232.579	1400	34	17.073170731707318	
11	232.99599999999998	940	46	11.463414634146341	
12	233.74900000000002	460	61	5.609756097560975	
13	233.782	160	98	1.951219512195122	
14	234.554	1200	40	14.634146341463415	
15	234.66299999999998	190	93	2.317073170731707	
16	234.752	400	63	4.878048780487805	
17	236.063	160	99	1.951219512195122	
18	236.206	200	90	2.4390243902439024	
19	238.658	240	83	2.926829268292683	
20	241.93099999999998	240	84	2.926829268292683	
21	242.123	85	128	1.0365853658536586	
22	242.333	70	134	0.8536585365853658	
23	242.36599999999999	70	135	0.8536585365853658	
24	242.403	70	136	0.8536585365853658	
25	245.399	85	129	1.0365853658536586	
26	247.206	160	100	1.951219512195122	
27	247.687	85	130	1.0365853658536586	
28	269.649	45	154	0.5487804878048781	
29	279.865	150	102	1.829268292682927	
30	282.129	250	80	3.048780487804878	
31	286.55	50	152	0.6097560975609756	
32	290.746	60	143	0.7317073170731707	
33	291.401	25	170	0.3048780487804878	
34	294.39099999999996	500	58	6.097560975609756	
35	298.165	570	55	6.951219512195122	
36	298.413	250	81	3.048780487804878	
37	299.26	500	59	6.097560975609756	
38	299.44599999999997	1000	43	12.195121951219512	
39	300.249	4000	10	48.78048780487805	
40	300.363	2200	21	26.829268292682926	
41	301.2	3700	11	45.1219512195122	
42	301.914	350	65	4.2682926829268295	
43	303.187	120	113	1.4634146341463414	
44	303.79400000000004	1700	26	20.73170731707317	
45	304.501	150	103	1.829268292682927	
46	305.082	3500	12	42.68292682926829	
47	305.432	1500	30	18.29268292682927	
48	305.764	1900	24	23.170731707317074	
49	306.462	500	60	6.097560975609756	
50	308.07599999999996	420	62	5.121951219512195	
51	309.712	260	76	3.1707317073170733	
52	309.91200000000003	210	88	2.5609756097560976	
53	310.155	2600	18	31.70731707317073	
54	310.188	1300	35	15.853658536585366	
55	310.547	220	87	2.682926829268293	
56	311.41200000000003	270	75	3.292682926829268	
57	313.411	2900	15	35.36585365853659	
58	314.572	55	145	0.6707317073170732	
59	318.17400000000004	55	146	0.6707317073170732	
60	318.437	100	122	1.2195121951219512	
61	319.557	55	147	0.6707317073170732	
62	319.711	150	104	1.829268292682927	
63	320.214	55	148	0.6707317073170732	
64	321.406	180	94	2.1951219512195124	
65	321.783	180	95	2.1951219512195124	
66	322.127	100	123	1.2195121951219512	
67	322.165	150	105	1.829268292682927	
68	322.502	210	89	2.5609756097560976	
69	323.296	1100	42	13.414634146341463	
70	323.465	290	74	3.5365853658536586	
71	324.306	600	53	7.317073170731708	
72	324.846	100	124	1.2195121951219512	
73	325.074	120	114	1.4634146341463414	
74	327.112	100	125	1.2195121951219512	
75	328.27	120	115	1.4634146341463414	
76	331.566	660	49	8.048780487804878	
77	332.026	330	66	4.024390243902439	
78	332.231	310	73	3.7804878048780486	
79	336.156	330	67	4.024390243902439	
80	336.577	330	68	4.024390243902439	
81	336.61699999999996	330	69	4.024390243902439	
82	336.681	65	137	0.7926829268292683	
83	336.789	65	138	0.7926829268292683	
84	336.957	2900	16	35.36585365853659	
85	337.199	400	64	4.878048780487805	
86	337.42199999999997	260	77	3.1707317073170733	
87	337.464	130	107	1.5853658536585367	
88	338.05699999999996	3300	13	40.24390243902439	
89	338.085	240	85	2.926829268292683	
90	339.105	1300	36	15.853658536585366	
91	339.29900000000004	3300	14	40.24390243902439	
92	340.958	130	108	1.5853658536585367	
93	341.348	330	70	4.024390243902439	
94	341.394	330	71	4.024390243902439	
95	341.476	8200	1	100.0	
96	342.371	1600	28	19.51219512195122	
97	343.356	2600	19	31.70731707317073	
98	343.728	990	44	12.073170731707316	
99	344.626	4800	9	58.53658536585366	
100	345.289	1300	37	15.853658536585366	
101	345.847	5000	6	60.97560975609756	
102	346.165	5000	7	60.97560975609756	
103	346.75	200	91	2.4390243902439024	
104	346.949	240	86	2.926829268292683	
105	347.254	1600	29	19.51219512195122	
106	348.37699999999995	550	56	6.7073170731707314	
107	348.589	130	109	1.5853658536585367	
108	349.296	5500	5	67.07317073170732	
109	350.085	660	50	8.048780487804878	
110	350.26	65	139	0.7926829268292683	
111	350.769	55	149	0.6707317073170732	
112	351.034	2600	20	31.70731707317073	
113	351.39300000000003	260	78	3.1707317073170733	
114	351.505	6600	3	80.48780487804878	
115	351.977	660	51	8.048780487804878	
116	352.454	8200	2	100.0	
117	352.798	110	117	1.3414634146341464	
118	354.81800000000004	330	72	4.024390243902439	
119	355.153	55	150	0.6707317073170732	
120	356.175	65	140	0.7926829268292683	
121	356.63699999999994	5000	8	60.97560975609756	
122	357.18699999999995	990	45	12.073170731707316	
123	358.793	130	110	1.5853658536585367	
124	359.77	1300	38	15.853658536585366	
125	361.046	1300	39	15.853658536585366	
126	361.274	530	57	6.463414634146342	
127	361.939	6600	4	80.48780487804878	
128	362.473	130	111	1.5853658536585367	
129	366.41	200	92	2.4390243902439024	
130	366.92400000000004	130	112	1.5853658536585367	
131	367.043	180	96	2.1951219512195124	
132	367.415	260	79	3.1707317073170733	
133	368.842	160	101	1.951219512195122	
134	369.39300000000003	80	132	0.975609756097561	
135	372.24800000000005	120	116	1.4634146341463414	
136	373.681	150	106	1.829268292682927	
137	373.923	60	144	0.7317073170731707	
138	377.55699999999996	600	54	7.317073170731708	
139	378.353	700	47	8.536585365853659	
140	380.714	700	48	8.536585365853659	
141	383.16900000000004	110	118	1.3414634146341464	
142	385.83	1200	41	14.634146341463415	
143	388.967	30	164	0.36585365853658536	
144	397.217	35	162	0.4268292682926829	
145	397.356	110	119	1.3414634146341464	
146	440.155	110	120	1.3414634146341464	
147	445.904	85	131	1.0365853658536586	
148	446.246	18	188	0.21951219512195122	
149	447.048	55	151	0.6707317073170732	
