	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	316.223	35	226	3.5	
1	316.882	35	227	3.5	
2	322.204	35	228	3.5	
3	323.855	35	229	3.5	
4	329.663	75	222	7.5	
5	331.338	50	224	5.0	
6	332.922	50	225	5.0	
7	333.157	75	223	7.5	
8	335.445	100	220	10.0	
9	336.603	300	158	30.0	
10	354.681	200	189	20.0	
11	366.922	300	133	30.0	
12	367.485	200	190	20.0	
13	367.985	300	134	30.0	
14	369.763	300	135	30.0	
15	372.601	500	66	50.0	
16	373.843	200	191	20.0	
17	374.068	300	159	30.0	
18	374.297	300	136	30.0	
19	376.168	200	192	20.0	
20	376.575	300	160	30.0	
21	377.542	300	161	30.0	
22	378.077	300	162	30.0	
23	378.143	200	193	20.0	
24	380.92	300	137	30.0	
25	381.093	400	109	40.0	
26	383.952	300	163	30.0	
27	387.403	300	164	30.0	
28	388.579	300	138	30.0	
29	389.097	250	179	25.0	
30	389.873	300	165	30.0	
31	395.476	300	139	30.0	
32	405.656	200	183	20.0	
33	408.531	200	184	20.0	
34	426.432	300	140	30.0	
35	428.437	300	141	30.0	
36	430.564	200	185	20.0	
37	431.88	400	110	40.0	
38	434.772	200	194	20.0	
39	436.392	350	128	35.0	
40	436.964	300	142	30.0	
41	438.849	400	84	40.0	
42	440.942	400	85	40.0	
43	441.247	500	48	50.0	
44	443.586	250	175	25.0	
45	443.655	300	143	30.0	
46	443.868	300	144	30.0	
47	446.816	250	176	25.0	
48	447.858	350	129	35.0	
49	448.16	300	145	30.0	
50	448.505	300	146	30.0	
51	449.05	300	147	30.0	
52	450.033	350	130	35.0	
53	450.684	250	180	25.0	
54	451.731	200	195	20.0	
55	452.332	200	196	20.0	
56	452.612	250	177	25.0	
57	452.676	250	178	25.0	
58	452.77	400	86	40.0	
59	454.006	300	166	30.0	
60	454.142	300	148	30.0	
61	454.175	450	82	45.0	
62	454.408	500	49	50.0	
63	454.517	200	197	20.0	
64	454.978	400	87	40.0	
65	455.403	300	149	30.0	
66	455.463	200	198	20.0	
67	455.534	500	50	50.0	
68	455.606	200	199	20.0	
69	455.703	300	167	30.0	
70	455.921	300	168	30.0	
71	456.814	300	150	30.0	
72	457.037	200	200	20.0	
