	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	495.137	380	1	100.0	
1	493.974	320	2	84.21052631578948	
2	504.552	320	3	84.21052631578948	
3	469.577	290	4	76.3157894736842	
4	513.344	270	5	71.05263157894737	
5	473.669	250	6	65.78947368421052	
6	463.955	200	7	52.63157894736842	
7	492.46	200	8	52.63157894736842	
8	501.976	200	9	52.63157894736842	
9	502.696	200	10	52.63157894736842	
10	395.944	190	11	50.0	
11	468.78	180	12	47.36842105263158	
12	473.067	180	13	47.36842105263158	
13	508.712	180	14	47.36842105263158	
14	494.03	160	15	42.10526315789474	
15	505.34	160	16	42.10526315789474	
16	463.228	140	17	36.8421052631579	
17	463.568	140	18	36.8421052631579	
18	470.952	140	19	36.8421052631579	
19	491.402	140	20	36.8421052631579	
20	493.6	140	21	36.8421052631579	
21	605.513	140	22	36.8421052631579	
22	501.859	120	23	31.57894736842105	
23	519.443	120	24	31.57894736842105	
24	490.699	110	25	28.94736842105263	
25	497.575	110	26	28.94736842105263	
26	504.383	110	27	28.94736842105263	
27	522.797	110	28	28.94736842105263	
28	474.416	100	29	26.31578947368421	
29	503.338	100	30	26.31578947368421	
30	513.981	100	31	26.31578947368421	
31	577.928	90	32	23.68421052631579	
32	566.846	65	33	17.105263157894736	
33	570.761	65	34	17.105263157894736	
34	614.823	65	35	17.105263157894736	
35	679.86	55	36	14.473684210526315	
36	635.903	55	37	14.473684210526315	
37	641.123	55	38	14.473684210526315	
38	661.667	55	39	14.473684210526315	
39	288.16	50	40	13.157894736842104	
40	556.206	45	41	11.842105263157896	
41	598.714	45	42	11.842105263157896	
42	632.236	45	43	11.842105263157896	
43	553.116	45	44	11.842105263157896	
44	648.655	45	45	11.842105263157896	
45	649.175	40	46	10.526315789473685	
46	583.513	40	47	10.526315789473685	
47	592.076	40	48	10.526315789473685	
48	598.614	40	49	10.526315789473685	
49	639.318	40	50	10.526315789473685	
50	566.157	35	51	9.210526315789474	
51	588.472	35	52	9.210526315789474	
52	674.709	35	53	9.210526315789474	
53	587.472	35	54	9.210526315789474	
54	587.81	35	55	9.210526315789474	
55	587.904	35	56	9.210526315789474	
56	604.926	35	57	9.210526315789474	
57	257.931	30	58	7.894736842105263	
58	552.415	28	59	7.368421052631579	
59	601.985	28	60	7.368421052631579	
60	553.837	28	61	7.368421052631579	
61	596.3	28	62	7.368421052631579	
62	257.827	25	63	6.578947368421052	
63	634.388	22	64	5.7894736842105265	
64	594.976	22	65	5.7894736842105265	
65	611.802	22	66	5.7894736842105265	
66	612.215	22	67	5.7894736842105265	
67	635.72	22	68	5.7894736842105265	
68	649.711	22	69	5.7894736842105265	
69	559.492	22	70	5.7894736842105265	
70	570.438	22	71	5.7894736842105265	
71	576.02	22	72	5.7894736842105265	
72	579.295	22	73	5.7894736842105265	
73	594.165	22	74	5.7894736842105265	
74	621.273	22	75	5.7894736842105265	
75	650.072	22	76	5.7894736842105265	
76	623.68	20	77	5.2631578947368425	
77	624.105	20	78	5.2631578947368425	
78	284.298	20	79	5.2631578947368425	
79	285.062	20	80	5.2631578947368425	
80	562.026	20	81	5.2631578947368425	
81	596.218	20	82	5.2631578947368425	
82	711.455	20	83	5.2631578947368425	
83	674.919	19	84	5.0	
84	628.902	18	85	4.7368421052631575	
85	635.098	18	86	4.7368421052631575	
86	639.199	18	87	4.7368421052631575	
87	609.628	18	88	4.7368421052631575	
88	610.908	18	89	4.7368421052631575	
89	616.538	18	90	4.7368421052631575	
90	621.806	18	91	4.7368421052631575	
91	582.136	16	92	4.2105263157894735	
92	564.316	16	93	4.2105263157894735	
93	552.793	16	94	4.2105263157894735	
94	645.344	16	95	4.2105263157894735	
95	550.15	16	96	4.2105263157894735	
96	568.652	16	97	4.2105263157894735	
97	630.405	16	98	4.2105263157894735	
98	637.761	16	99	4.2105263157894735	
99	637.859	16	100	4.2105263157894735	
100	654.047	16	101	4.2105263157894735	
101	772.184	16	102	4.2105263157894735	
102	660.986	15	103	3.9473684210526314	
103	664.712	14	104	3.6842105263157894	
104	787.167	14	105	3.6842105263157894	
105	806.744	14	106	3.6842105263157894	
106	663.206	13	107	3.4210526315789473	
107	597.695	13	108	3.4210526315789473	
108	599.489	13	109	3.4210526315789473	
109	553.021	13	110	3.4210526315789473	
110	556.552	13	111	3.4210526315789473	
111	560.668	13	112	3.4210526315789473	
112	595.925	13	113	3.4210526315789473	
113	597.888	13	114	3.4210526315789473	
114	599.127	13	115	3.4210526315789473	
115	600.854	13	116	3.4210526315789473	
116	608.581	13	117	3.4210526315789473	
117	618.796	13	118	3.4210526315789473	
118	621.059	13	119	3.4210526315789473	
119	673.679	13	120	3.4210526315789473	
120	704.24	13	121	3.4210526315789473	
121	723.153	13	122	3.4210526315789473	
122	563.303	11	123	2.8947368421052633	
123	749.559	11	124	2.8947368421052633	
124	585.444	11	125	2.8947368421052633	
125	629.801	11	126	2.8947368421052633	
126	687.044	11	127	2.8947368421052633	
127	709.518	11	128	2.8947368421052633	
128	557.881	11	129	2.8947368421052633	
129	572.838	11	130	2.8947368421052633	
130	574.774	11	131	2.8947368421052633	
131	591.531	11	132	2.8947368421052633	
132	591.597	11	133	2.8947368421052633	
133	599.606	11	134	2.8947368421052633	
134	605.088	11	135	2.8947368421052633	
135	630.205	11	136	2.8947368421052633	
136	638.957	11	137	2.8947368421052633	
137	649.489	11	138	2.8947368421052633	
138	659.548	11	139	2.8947368421052633	
139	685.277	11	140	2.8947368421052633	
140	814.11	11	141	2.8947368421052633	
141	641.069	10	142	2.6315789473684212	
142	711.69	10	143	2.6315789473684212	
143	715.988	10	144	2.6315789473684212	
144	641.543	10	145	2.6315789473684212	
145	702.453	10	146	2.6315789473684212	
146	707.999	10	147	2.6315789473684212	
147	646.019	9	148	2.3684210526315788	
148	645.618	9	149	2.3684210526315788	
149	649.349	9	150	2.3684210526315788	
150	650.409	9	151	2.3684210526315788	
151	681.761	9	152	2.3684210526315788	
152	684.439	9	153	2.3684210526315788	
153	698.012	8	154	2.1052631578947367	
154	651.714	8	155	2.1052631578947367	
155	653.452	8	156	2.1052631578947367	
156	689.271	8	157	2.1052631578947367	
157	655.33	7	158	1.8421052631578947	
158	663.1	7	159	1.8421052631578947	
159	718.995	7	160	1.8421052631578947	
160	728.919	7	161	1.8421052631578947	
161	732.442	7	162	1.8421052631578947	
162	724.326	7	163	1.8421052631578947	
163	725.921	7	164	1.8421052631578947	
164	728.761	7	165	1.8421052631578947	
165	657.103	7	166	1.8421052631578947	
166	688.466	7	167	1.8421052631578947	
167	705.107	7	168	1.8421052631578947	
168	732.847	7	169	1.8421052631578947	
169	749.942	6	170	1.5789473684210527	
170	842.782	6	171	1.5789473684210527	
171	784.127	6	172	1.5789473684210527	
172	657.8	6	173	1.5789473684210527	
173	757.486	6	174	1.5789473684210527	
174	788.109	6	175	1.5789473684210527	
175	803.192	6	176	1.5789473684210527	
176	805.543	6	177	1.5789473684210527	
177	828.993	6	178	1.5789473684210527	
178	837.984	6	179	1.5789473684210527	
179	821.193	5	180	1.3157894736842106	
180	669.925	4	181	1.0526315789473684	
