	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.41273	3400	88	2.125	
1	200.725	40	610	0.025	
2	200.73725	250	381	0.15625	
3	201.25939	970	212	0.60625	
4	201.3029	130	459	0.08125	
5	201.66483	89	508	0.055625	
6	201.671972	1300	169	0.8125	
7	202.054299	5000	70	3.125	
8	202.16303	150	440	0.09375	
9	202.354127	960	215	0.6	
10	202.46363	600	253	0.375	
11	202.587171	1200	175	0.75	
12	202.6499	100	485	0.0625	
13	202.83159	240	386	0.15	
14	202.85916	740	238	0.4625	
15	203.064453	11000	40	6.875	
16	203.242484	16000	31	10.0	
17	203.29392	290	373	0.18125	
18	203.526743	700	242	0.4375	
19	203.57985	3500	86	2.1875	
20	203.69743	160	431	0.1	
21	203.958642	560	265	0.35	
22	203.970377	1200	176	0.75	
23	204.03346	1800	140	1.125	
24	204.14605	1000	200	0.625	
25	204.74477	240	387	0.15	
26	204.939196	32000	20	20.0	B
27	204.983954	1900	135	1.1875	
28	205.0739	66	544	0.04125	
29	205.48678	170	426	0.10625	
30	205.83942	620	251	0.3875	
31	205.96847	1500	154	0.9375	
32	206.076174	4800	72	3.0	
33	206.279411	7500	52	4.6875	
34	206.693173	2900	101	1.8125	
35	206.751	11000	41	6.875	B+
36	206.86854	410	331	0.25625	
37	207.094439	4100	79	2.5625	
38	207.35962	1000	201	0.625	
39	207.42473	140	448	0.0875	
40	207.62219	440	318	0.275	
41	208.25207	970	213	0.60625	
42	208.334519	2300	117	1.4375	
43	208.459579	23000	25	14.375	B
44	208.82978	1900	136	1.1875	
45	208.848	50	588	0.03125	
46	208.893343	1100	184	0.6875	
47	208.8956	1100	185	0.6875	
48	209.72881	1100	186	0.6875	
49	209.874984	1300	170	0.8125	
50	210.01196	110	472	0.06875	
51	210.1684	4900	71	3.0625	
52	210.334446	36000	19	22.5	B+
53	210.34852	590	257	0.36875	
54	210.950303	2800	104	1.75	
55	210.966379	3900	80	2.4375	
56	211.42304	720	240	0.45	
57	211.988633	1200	177	0.75	
58	212.107	87	509	0.054375	
59	212.257097	1300	171	0.8125	
60	212.858684	13000	34	8.125	B
61	212.863343	42000	16	26.25	B+
62	212.9471	130	460	0.08125	
63	213.10749	150	441	0.09375	
64	213.24727	170	427	0.10625	
65	213.46307	830	227	0.51875	
66	213.516235	3200	96	2.0	
67	214.42123	63000	12	39.375	B
68	214.504	1600	148	1.0	
69	214.70706	760	235	0.475	
70	214.73909	180	417	0.1125	
71	214.8091	28	649	0.0175	
72	215.06567	1300	168	0.8125	
73	215.208992	2400	114	1.5	
74	215.33933	500	289	0.3125	
75	215.35356	2400	113	1.5	
76	215.35684	2000	131	1.25	C+
77	215.91595	160	432	0.1	
78	216.42949	400	339	0.25	
79	216.51407	2500	109	1.5625	
80	216.521133	9300	44	5.8125	B+
81	216.66376	2000	132	1.25	B+
82	216.92711	1000	202	0.625	
83	217.07267	340	356	0.2125	
84	217.468424	89000	6	55.625	B+
85	217.48392	310	369	0.19375	
86	217.6473	250	382	0.15625	
87	218.03229	1500	155	0.9375	
88	218.050314	5200	66	3.25	
89	218.27792	2200	123	1.375	
90	218.83437	260	379	0.1625	
91	219.01803	1600	149	1.0	C+
92	219.07859	300	370	0.1875	
93	219.25064	330	363	0.20625	
94	219.6912	300	371	0.1875	
95	219.970158	2400	115	1.5	
96	220.10082	2600	107	1.625	
97	220.222271	13000	35	8.125	B+
98	220.87801	270	377	0.16875	
99	221.39314	480	295	0.3	
100	221.7345	2200	124	1.375	
101	222.261384	5600	61	3.5	
102	222.45247	470	304	0.29375	
103	222.68442	290	374	0.18125	
104	222.9941	23	670	0.014375	
105	223.015	29	646	0.018125	
106	223.49262	5200	67	3.25	B
107	223.54674	180	418	0.1125	
108	224.03222	380	346	0.2375	
109	224.1215	560	264	0.35	
110	224.49773	6100	59	3.8125	
111	224.6463	170	425	0.10625	
112	224.69427	170	428	0.10625	
113	224.9308	6900	56	4.3125	B+
114	224.98994	4600	75	2.875	B+
115	225.07883	120	467	0.075	
116	225.71283	1000	197	0.625	
117	226.25437	110	473	0.06875	
118	226.72445	210	405	0.13125	
119	226.88384	7100	54	4.4375	
120	227.11694	48	590	0.03	
121	227.15067	140	449	0.0875	
122	227.40682	700	243	0.4375	
123	227.438086	22000	26	13.75	B+
124	227.48409	5100	68	3.1875	B+
125	227.64229	1600	150	1.0	
126	227.68553	1300	172	0.8125	
127	227.79574	180	419	0.1125	
128	228.04916	1300	173	0.8125	
129	228.12798	110	474	0.06875	
130	228.92765	6900	57	4.3125	B+
131	229.15144	69	535	0.043125	
132	229.239853	25000	24	15.625	B+
133	229.57435	1700	143	1.0625	
134	229.63797	58	566	0.03625	
135	229.8368	800	230	0.5	
136	229.87859	710	241	0.44375	
137	230.038	120	466	0.075	
138	230.32065	2100	128	1.3125	
139	230.534	30	643	0.01875	
140	230.80437	9500	43	5.9375	
141	231.55024	3800	82	2.375	
142	231.82964	15000	32	9.375	B+
143	232.06133	67	539	0.041875	
144	232.61053	2300	118	1.4375	
145	233.09705	850	226	0.53125	
146	233.52555	270	378	0.16875	
147	234.01805	5600	62	3.5	
148	234.07195	100	486	0.0625	
149	234.33952	2500	110	1.5625	C+
150	234.67368	210	406	0.13125	
151	234.716	950	217	0.59375	
152	235.30213	99	495	0.061875	
153	235.71047	17000	30	10.625	B+
154	235.75804	990	209	0.61875	
155	236.0448	18	690	0.01125	
156	236.82781	5400	65	3.375	C
157	237.79606	1200	178	0.75	
158	237.99758	94	502	0.05875	
159	238.2033	1700	144	1.0625	
160	238.36432	3000	98	1.875	
161	238.68089	2800	105	1.75	B+
162	238.73456	63	552	0.039375	
163	238.95354	9100	46	5.6875	B+
164	239.1759	66	545	0.04125	
165	239.61705	1500	156	0.9375	
166	240.10033	1200	179	0.75	
167	240.18773	2100	129	1.3125	
168	240.30918	4200	77	2.625	B
169	240.65926	180	420	0.1125	
170	241.3046	210	404	0.13125	
171	241.80583	3700	83	2.3125	
172	242.64352	230	392	0.14375	
173	242.80333	1600	151	1.0	
174	242.82031	2300	119	1.4375	
175	242.83122	110	475	0.06875	
176	242.90969	900	223	0.5625	
177	243.66887	8500	48	5.3125	B+
178	243.9421	36	622	0.0225	
179	244.006119	41000	17	25.625	
180	244.4499	26	657	0.01625	
181	244.6131	34	630	0.02125	
182	245.0967	2600	106	1.625	B+
183	246.0049	38	615	0.02375	
184	246.74011	19000	29	11.875	B+
185	246.74824	3500	85	2.1875	
186	246.9408	28	650	0.0175	
187	247.10073	1500	157	0.9375	
188	247.72734	42	605	0.02625	
189	248.33675	1100	187	0.6875	B+
190	248.59312	67	540	0.041875	
191	248.71692	65000	10	40.625	
192	248.87321	920	222	0.575	
193	249.01265	9200	45	5.75	
194	249.5628	37	617	0.023125	
195	249.58126	7100	55	4.4375	C
196	249.70968	64	549	0.04	
197	249.849919	20000	28	12.5	B+
198	250.081	34	631	0.02125	
199	250.40404	390	344	0.24375	
200	250.59225	1100	188	0.6875	
201	250.84973	2500	111	1.5625	B+
202	251.40705	1100	189	0.6875	
203	251.50305	1600	152	1.0	
204	251.5577	13000	36	8.125	B+
205	251.71843	100	487	0.0625	
206	252.02494	140	450	0.0875	
207	252.43065	2900	102	1.8125	B+
