	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	228.857	140	136	1.4893617021276595	
1	230.982	110	162	1.1702127659574468	
2	231.836	55	253	0.5851063829787234	
3	231.91	95	175	1.0106382978723405	
4	232.173	95	176	1.0106382978723405	
5	232.258	350	83	3.723404255319149	
6	232.647	140	137	1.4893617021276595	
7	232.864	80	188	0.851063829787234	
8	234.541	55	254	0.5851063829787234	
9	235.247	55	255	0.5851063829787234	
10	235.918	55	256	0.5851063829787234	
11	236.192	300	93	3.1914893617021276	
12	236.834	110	163	1.1702127659574468	
13	238.289	270	100	2.872340425531915	
14	238.34	230	110	2.4468085106382977	
15	238.465	40	291	0.425531914893617	
16	240.788	80	189	0.851063829787234	
17	240.819	27	338	0.2872340425531915	
18	241.025	27	339	0.2872340425531915	
19	241.975	45	272	0.4787234042553192	
20	242.768	130	143	1.3829787234042554	
21	242.952	230	111	2.4468085106382977	
22	243.266	40	292	0.425531914893617	
23	243.708	18	375	0.19148936170212766	
24	243.79	110	164	1.1702127659574468	
25	244.034	330	87	3.5106382978723403	
26	244.427	50	258	0.5319148936170213	
27	244.884	65	223	0.6914893617021277	
28	244.904	50	259	0.5319148936170213	
29	245.056	75	195	0.7978723404255319	
30	246.361	30	315	0.3191489361702128	
31	247.039	75	196	0.7978723404255319	
32	247.147	90	185	0.9574468085106383	
33	247.251	30	316	0.3191489361702128	
34	247.309	130	144	1.3829787234042554	
35	248.204	25	340	0.26595744680851063	
36	248.333	50	260	0.5319148936170213	
37	248.747	150	131	1.5957446808510638	
38	249.23	30	317	0.3191489361702128	
39	249.902	15	392	0.1595744680851064	
40	250.246	130	145	1.3829787234042554	
41	250.567	150	132	1.5957446808510638	
42	250.97	350	84	3.723404255319149	
43	251.575	200	116	2.127659574468085	
44	252.599	13	406	0.13829787234042554	
45	253.174	13	407	0.13829787234042554	
46	254.57	350	85	3.723404255319149	
47	255.536	550	62	5.851063829787234	
48	255.862	25	341	0.26595744680851063	
49	256.579	50	261	0.5319148936170213	
50	256.604	45	273	0.4787234042553192	
51	257.575	25	342	0.26595744680851063	
52	262.258	150	133	1.5957446808510638	
53	262.588	230	112	2.4468085106382977	
54	263.042	100	172	1.0638297872340425	
55	263.499	40	293	0.425531914893617	
56	264.3	75	197	0.7978723404255319	
57	264.728	110	165	1.1702127659574468	
58	265.266	400	74	4.25531914893617	
59	265.901	30	318	0.3191489361702128	
60	267.106	30	319	0.3191489361702128	
61	267.611	65	224	0.6914893617021277	
62	268.028	25	343	0.26595744680851063	
63	268.063	100	173	1.0638297872340425	
64	268.178	30	320	0.3191489361702128	
65	269.431	50	262	0.5319148936170213	
66	270.373	400	75	4.25531914893617	
67	270.723	40	294	0.425531914893617	
68	271.441	75	198	0.7978723404255319	
69	271.751	75	199	0.7978723404255319	
70	271.854	180	119	1.9148936170212767	
71	272.014	65	225	0.6914893617021277	
72	272.052	30	321	0.3191489361702128	
73	272.894	160	126	1.702127659574468	
74	273.676	40	295	0.425531914893617	
75	274.175	75	200	0.7978723404255319	
76	276.773	50	263	0.5319148936170213	
77	277.151	100	174	1.0638297872340425	
78	277.806	50	264	0.5319148936170213	
79	277.954	75	201	0.7978723404255319	
80	278.303	130	146	1.3829787234042554	
81	279.116	25	344	0.26595744680851063	
82	279.663	75	202	0.7978723404255319	
83	282.643	150	134	1.5957446808510638	
84	282.668	180	120	1.9148936170212767	
85	282.731	30	322	0.3191489361702128	
86	283.412	75	203	0.7978723404255319	
87	283.544	45	274	0.4787234042553192	
88	283.669	75	204	0.7978723404255319	
89	285.616	50	265	0.5319148936170213	
90	286.068	50	266	0.5319148936170213	
91	286.294	280	94	2.978723404255319	
92	286.44	65	226	0.6914893617021277	
93	287.135	50	267	0.5319148936170213	
94	287.362	30	323	0.3191489361702128	
95	287.866	110	166	1.1702127659574468	
96	288.076	75	205	0.7978723404255319	
97	288.237	140	138	1.4893617021276595	
98	288.597	75	206	0.7978723404255319	
99	288.911	75	207	0.7978723404255319	
100	288.984	75	208	0.7978723404255319	
101	289.996	65	227	0.6914893617021277	
102	290.481	25	345	0.26595744680851063	
103	290.721	160	127	1.702127659574468	
104	291.262	75	209	0.7978723404255319	
105	291.542	90	186	0.9574468085106383	
106	292.31	30	324	0.3191489361702128	
107	292.402	180	121	1.9148936170212767	
108	292.911	130	147	1.3829787234042554	
109	293.194	130	148	1.3829787234042554	
110	295.541	30	325	0.3191489361702128	
111	296.866	230	113	2.4468085106382977	
112	297.403	25	346	0.26595744680851063	
113	297.768	160	128	1.702127659574468	
114	298.62	450	70	4.787234042553192	
115	298.699	90	187	0.9574468085106383	
116	298.745	50	268	0.5319148936170213	
117	300.446	110	167	1.1702127659574468	
118	301.954	50	269	0.5319148936170213	
119	302.391	130	149	1.3829787234042554	
120	302.843	50	270	0.5319148936170213	
121	304.577	30	326	0.3191489361702128	
122	304.676	30	327	0.3191489361702128	
123	305.789	25	347	0.26595744680851063	
124	306.73	65	228	0.6914893617021277	
125	308.396	180	122	1.9148936170212767	C
126	308.742	29	328	0.30851063829787234	
127	311.491	70	210	0.7446808510638298	D
128	312.176	140	139	1.4893617021276595	C
129	312.37	240	102	2.5531914893617023	C+
130	313.079	35	305	0.3723404255319149	
131	313.771	95	177	1.0106382978723405	D+
132	315.136	45	275	0.4787234042553192	
133	315.26	45	276	0.4787234042553192	
134	315.578	130	150	1.3829787234042554	
