	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	202.4	50	62	2.0	
1	202.949	60	60	2.4	
2	203.977	70	58	2.8	
3	204.957	150	33	6.0	
4	206.343	50	66	2.0	
5	206.833	1000	5	40.0	
6	207.956	100	50	4.0	
7	209.84099999999998	50	63	2.0	
8	211.84799999999998	80	56	3.2	
9	212.739	100	46	4.0	
10	213.705	50	64	2.0	
11	213.96900000000002	100	47	4.0	
12	214.183	50	65	2.0	
13	214.486	100	48	4.0	
14	215.891	50	67	2.0	
15	217.581	1500	3	60.0	
16	217.919	250	23	10.0	
17	220.132	200	26	8.0	
18	220.845	300	19	12.0	
19	222.07299999999998	150	34	6.0	
20	222.19799999999998	100	51	4.0	
21	222.493	120	42	4.8	
22	226.25099999999998	300	20	12.0	
23	228.898	120	43	4.8	
24	229.34400000000002	150	35	6.0	
25	230.646	300	18	12.0	
26	231.14700000000002	2500	1	100.0	
27	231.58900000000003	150	37	6.0	
28	237.36700000000002	400	11	16.0	
29	238.364	300	17	12.0	
30	239.52200000000002	100	52	4.0	
31	242.213	150	38	6.0	
32	242.635	250	24	10.0	
33	244.551	400	12	16.0	
34	247.832	400	14	16.0	
35	248.044	150	39	6.0	
36	251.054	100	53	4.0	
37	252.852	2000	2	80.0	
38	257.406	150	40	6.0	
39	259.805	1500	4	60.0	
40	259.809	500	9	20.0	
41	261.231	300	21	12.0	
42	265.26	200	27	8.0	
43	267.064	300	22	12.0	
44	268.276	200	28	8.0	
45	269.225	120	44	4.8	
46	271.89	150	36	6.0	
47	276.995	400	13	16.0	
48	285.10900000000004	120	45	4.8	
49	287.79200000000003	1000	6	40.0	
50	302.983	500	10	20.0	
51	323.252	600	8	24.0	
52	326.751	700	7	28.0	
53	338.315	100	54	4.0	
54	363.783	250	25	10.0	
55	372.279	200	29	8.0	
56	403.35367	200	30	8.0	
57	475.781	20	76	0.8	
58	549.02252	30	70	1.2	
59	555.60111	40	68	1.6	
60	560.20656	30	73	1.2	
61	563.19365	100	49	4.0	
62	573.034	60	59	2.4	
63	661.1379599999999	20	77	0.8	
64	764.8258	30	71	1.2	
65	784.4351	80	57	3.2	
66	792.4583	200	31	8.0	
67	796.955	40	69	1.6	
68	841.1714	60	61	2.4	
69	857.2542	150	41	6.0	
70	861.9471	100	55	4.0	
71	868.2496	30	72	1.2	
72	913.2182	30	74	1.2	
73	951.8421	400	15	16.0	
74	986.6757	30	75	1.2	
75	994.8989999999999	400	16	16.0	
76	1007.84	200	32	8.0	
