	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.14198	2.0	1082	0.3125	
1	200.18224	2.0	1083	0.3125	
2	200.32939	3.0	745	0.46875	
3	200.43874	1.0	1359	0.15625	
4	200.57228	2.0	1084	0.3125	
5	200.62981	2.0	1085	0.3125	
6	201.09614	2.0	1086	0.3125	
7	203.26826	2.0	1087	0.3125	
8	203.96652	2.0	1088	0.3125	
9	204.25863	2.0	1089	0.3125	
10	204.4195	3.0	746	0.46875	
11	204.64236	9.0	49	1.40625	
12	204.7623	9.0	50	1.40625	
13	204.8259	4.0	451	0.625	
14	204.96363	4.0	452	0.625	
15	204.9654	9.0	51	1.40625	
16	205.0025	9.0	52	1.40625	
17	205.12566	4.0	453	0.625	
18	205.1328	4.0	454	0.625	
19	205.35006	3.0	747	0.46875	
20	205.70372	3.0	748	0.46875	
21	205.77115	2.0	1090	0.3125	
22	205.8147	4.0	455	0.625	
23	205.85039	2.0	1091	0.3125	
24	205.85818	2.0	1092	0.3125	
25	205.89942	3.0	749	0.46875	
26	206.1663	9.0	53	1.40625	
27	206.40713	1.0	1360	0.15625	
28	206.48667	1.0	1361	0.15625	
29	206.55915	2.0	1093	0.3125	
30	206.56655	2.0	1094	0.3125	
31	206.57425	2.0	1095	0.3125	
32	206.61581	2.0	1096	0.3125	
33	206.62814	2.0	1097	0.3125	
34	206.88463	1.0	1362	0.15625	
35	206.98715	1.0	1363	0.15625	
36	207.01597	1.0	1364	0.15625	
37	207.12723	3.0	750	0.46875	
38	207.26218	1.0	1365	0.15625	
39	207.28027	1.0	1366	0.15625	
40	207.3497	2.0	1098	0.3125	
41	207.42837	3.0	751	0.46875	
42	207.49943	3.0	752	0.46875	
43	211.28464	7.0	72	1.09375	C
44	211.66506	9.0	54	1.40625	C
45	212.03919	9.0	55	1.40625	C
46	212.42227	5.0	179	0.78125	
47	212.51725	4.0	456	0.625	
48	212.5206	9.0	56	1.40625	
49	212.8881	9.0	57	1.40625	
50	213.2805	5.0	180	0.78125	
51	213.84303	2.0	1099	0.3125	
52	214.61588	2.0	1100	0.3125	
53	216.12319	2.0	1101	0.3125	
54	216.91265	1.0	1367	0.15625	
55	217.22928	1.0	1368	0.15625	
56	217.28429	2.0	1102	0.3125	
57	217.4522	1.0	1369	0.15625	
58	217.62069	2.0	1103	0.3125	
59	217.77373	1.0	1370	0.15625	
60	217.80338	2.0	1104	0.3125	
61	218.02698	1.0	1371	0.15625	
62	218.06447	2.0	1105	0.3125	
63	218.08223	2.0	1106	0.3125	
64	218.25153	1.0	1372	0.15625	
65	218.57526	2.0	1107	0.3125	
66	218.6051	2.0	1108	0.3125	
67	226.2292	6.0	107	0.9375	C
68	226.6594	9.0	58	1.40625	C
69	227.0944	9.0	59	1.40625	C
70	228.0833	9.0	60	1.40625	C
71	228.8059	9.0	61	1.40625	
72	228.9628	2.0	1109	0.3125	C
73	230.1947	4.0	457	0.625	
74	230.5827	2.0	1110	0.3125	
75	230.6886	2.0	1111	0.3125	
76	231.1291	4.0	458	0.625	C
77	231.405	4.0	459	0.625	
78	231.4581	2.0	1112	0.3125	
79	231.5687	5.0	181	0.78125	C
80	231.8482	4.0	460	0.625	
81	231.9714	4.0	461	0.625	
82	231.99	2.0	1113	0.3125	
83	232.0226	2.0	1114	0.3125	
84	232.0321	5.0	182	0.78125	C
85	232.4753	4.0	462	0.625	C
86	232.7246	4.0	463	0.625	
87	232.775	3.0	753	0.46875	
88	232.8186	5.0	183	0.78125	C
89	233.0826	3.0	754	0.46875	
90	233.0936	3.0	755	0.46875	
91	233.213	4.0	464	0.625	
92	233.4671	5.0	184	0.78125	C
93	233.5165	5.0	185	0.78125	C
94	233.5762	4.0	465	0.625	
95	233.6635	3.0	756	0.46875	
96	233.6707	2.0	1115	0.3125	
97	233.6806	4.0	466	0.625	C
98	233.7342	2.0	1116	0.3125	
99	234.0202	3.0	757	0.46875	
100	234.3481	2.0	1117	0.3125	
101	234.4485	3.0	758	0.46875	
102	234.6034	5.0	186	0.78125	C
103	234.7094	3.0	759	0.46875	
104	235.621	3.0	760	0.46875	
105	235.8118	4.0	467	0.625	
106	236.0012	3.0	761	0.46875	
107	236.7825	2.0	1118	0.3125	
108	236.8148	2.0	1119	0.3125	
109	237.2748	4.0	468	0.625	
110	237.3637	2.0	1120	0.3125	
111	237.6409	4.0	469	0.625	
112	237.875	4.0	470	0.625	
113	239.7937	3.0	762	0.46875	
114	240.5956	4.0	471	0.625	
115	241.2208	3.0	763	0.46875	
116	241.2248	3.0	764	0.46875	
117	241.4177	3.0	765	0.46875	
118	241.4215	3.0	766	0.46875	
119	242.4453	3.0	767	0.46875	
