	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	201.097	30	117	3.0	
1	205.483	50	82	5.0	
2	206.11900000000003	40	96	4.0	
3	206.55200000000002	30	118	3.0	
4	210.321	30	116	3.0	
5	211.463	30	119	3.0	
6	212.412	100	40	10.0	
7	214.791	50	81	5.0	
8	220.798	110	37	11.0	
9	221.08900000000003	115	36	11.5	
10	221.174	110	38	11.0	
11	221.667	120	31	12.0	
12	221.80599999999998	120	32	12.0	
13	221.891	50	83	5.0	
14	229.10299999999998	35	108	3.5	
15	230.30599999999998	55	78	5.5	
16	243.515	300	11	30.0	
17	243.877	65	73	6.5	
18	244.33599999999998	65	74	6.5	
19	245.21200000000002	70	66	7.0	
20	250.69	425	4	42.5	
21	251.43200000000002	375	8	37.5	
22	251.6113	500	2	50.0	
23	251.9202	350	10	35.0	
24	252.4108	425	5	42.5	
25	252.8509	450	3	45.0	
26	253.2381	110	39	11.0	
27	256.3679	30	120	3.0	
28	256.8641	85	58	8.5	
29	257.7151	45	87	4.5	
30	263.1282	190	18	19.0	
31	288.1579	1000	1	100.0	
32	297.0355	55	79	5.5	
33	298.7645	150	27	15.0	
34	300.6739	50	84	5.0	
35	302.0004	75	64	7.5	
36	390.5523	300	12	30.0	
37	410.2936	70	67	7.0	
38	478.2991	50	85	5.0	
39	479.2212	35	109	3.5	
40	479.2324	80	61	8.0	
41	494.7607	30	121	3.0	
42	500.6061	40	97	4.0	
43	549.323	40	98	4.0	
44	551.7535	35	110	3.5	
45	562.2221	30	122	3.0	
46	564.5611	90	51	9.0	
47	566.5554	80	62	8.0	
48	568.4484	120	33	12.0	
49	569.0425	100	41	10.0	
50	570.1105	90	52	9.0	
51	570.8397	160	23	16.0	
52	574.7667	45	88	4.5	
53	575.3625	45	89	4.5	
54	575.422	45	90	4.5	
55	576.2977	45	91	4.5	
56	577.2145	70	68	7.0	
57	578.0384	70	69	7.0	
58	579.3071	90	53	9.0	
59	579.7859	100	42	10.0	
60	587.3764	40	99	4.0	
61	594.8545	200	15	20.0	
62	612.5021	90	54	9.0	
63	613.1574	85	59	8.5	
64	613.185	90	55	9.0	
65	614.2487	100	43	10.0	
66	614.5015	100	44	10.0	
67	615.5134	160	24	16.0	
68	623.732	160	25	16.0	
69	623.8287	40	100	4.0	
70	624.3813	125	29	12.5	
71	624.4468	125	30	12.5	
72	625.4188	180	19	18.0	
73	633.1954	45	92	4.5	
74	652.6609	45	93	4.5	
75	652.7199	45	94	4.5	
76	655.5462	45	95	4.5	
77	672.1853	100	45	10.0	
78	674.164	30	123	3.0	
79	684.8568	30	124	3.0	
80	697.6523	80	63	8.0	
81	700.3567	180	20	18.0	
82	700.5883	180	21	18.0	
83	701.7280000000001	30	125	3.0	
84	701.7646	90	56	9.0	
85	703.4903	250	14	25.0	
86	716.4689999999999	70	70	7.0	
87	716.5545	200	16	20.0	
88	718.4889999999999	70	71	7.0	
89	719.3580000000001	65	75	6.5	
90	719.39	30	126	3.0	
91	722.6206	100	46	10.0	
92	723.5326	100	47	10.0	
93	723.582	60	76	6.0	
94	725.0625	180	22	18.0	
95	727.5294	160	26	16.0	
96	728.2810000000001	40	101	4.0	
97	728.9173	400	7	40.0	
98	729.0260000000001	55	80	5.5	
99	737.3	35	111	3.5	
100	740.5774	375	9	37.5	
101	740.9082	200	17	20.0	
102	741.535	40	102	4.0	
103	741.5946	275	13	27.5	
104	742.3497	425	6	42.5	
105	742.46	85	60	8.5	
106	768.0267	100	48	10.0	
107	774.2710000000001	40	103	4.0	
108	780.0008	30	127	3.0	
109	784.9967	30	128	3.0	
110	791.8386	90	57	9.0	
111	793.2349	120	34	12.0	
112	794.4001	140	28	14.0	
113	797.0306	35	112	3.5	
114	803.5619	35	113	3.5	
115	809.3241	70	72	7.0	
116	823.0642	35	114	3.5	
117	844.3982	40	104	4.0	
118	850.1547	40	105	4.0	
119	850.2221	60	77	6.0	
120	853.6165	40	106	4.0	
121	855.678	120	35	12.0	
122	864.8462	50	86	5.0	
123	872.8011	40	107	4.0	
124	874.2451	75	65	7.5	
125	875.2009	100	49	10.0	
126	879.0389	35	115	3.5	
127	941.3506	100	50	10.0	
