	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	374.546	930	3	58.125	
1	375.641	800	6	50.0	
2	377.333	370	40	23.125	
3	383.448	560	16	35.0	
4	385.33	530	18	33.125	
5	385.456	480	22	30.0	
6	385.874	400	36	25.0	
7	395.189	470	24	29.375	
8	397.466	620	14	38.75	
9	418.333	210	67	13.125	
10	428.221	710	11	44.375	
11	428.283	470	25	29.375	
12	428.35	240	59	15.0	
13	429.674	1600	1	100.0	
14	431.285	240	60	15.0	
15	431.953	470	26	29.375	
16	432.446	240	61	15.0	
17	433.002	440	30	27.5	
18	433.614	880	4	55.0	
19	436.291	440	31	27.5	
20	438.042	530	19	33.125	
21	439.335	210	68	13.125	
22	439.734	290	45	18.125	
23	440.117	410	35	25.625	
24	441.158	290	46	18.125	
25	441.933	470	27	29.375	
26	442.966	470	28	29.375	
27	444.181	530	20	33.125	
28	444.228	440	32	27.5	
29	444.515	710	12	44.375	
30	445.295	250	54	15.625	
31	445.929	250	55	15.625	
32	447.089	810	5	50.625	
33	449.911	370	41	23.125	
34	450.338	240	62	15.0	
35	451.133	120	81	7.5	
36	453.38	290	47	18.125	
37	458.158	290	48	18.125	
38	458.173	440	33	27.5	
39	459.674	240	63	15.0	
40	464.54	290	49	18.125	
41	464.949	380	39	23.75	
42	466.356	290	50	18.125	
43	467.075	470	23	29.375	
44	468.155	210	69	13.125	
45	468.873	370	42	23.125	
46	471.61	730	8	45.625	
47	471.707	270	51	16.875	
48	472.842	770	7	48.125	
49	475.072	150	75	9.375	
50	476.027	730	9	45.625	
51	477.02	110	84	6.875	
52	478.31	580	15	36.25	
53	478.586	350	43	21.875	
54	478.996	160	74	10.0	
55	484.17	970	2	60.625	
56	484.832	270	52	16.875	
57	488.377	210	70	13.125	
58	488.397	730	10	45.625	
59	490.497	170	72	10.625	
60	491.04	630	13	39.375	
61	491.899	430	34	26.875	
62	492.404	110	85	6.875	
63	497.598	170	73	10.625	
64	504.428	400	37	25.0	
65	507.12	540	17	33.75	
66	511.716	510	21	31.875	
67	512.214	350	44	21.875	
68	517.274	250	56	15.625	
69	517.542	470	29	29.375	
70	520.059	250	57	15.625	
71	525.192	260	53	16.25	
72	527.14	400	38	25.0	
73	528.291	250	58	15.625	
74	532.06	190	71	11.875	
75	534.129	110	86	6.875	
76	536.836	140	76	8.75	
77	540.523	130	80	8.125	
78	545.3	220	66	13.75	
79	546.672	140	77	8.75	
80	549.372	230	64	14.375	
81	551.21	80	89	5.0	
82	551.609	230	65	14.375	
83	554.895	50	97	3.125	
84	555.04	140	78	8.75	
85	557.342	45	106	2.8125	
86	558.82	35	115	2.1875	
87	562.179	50	98	3.125	
88	562.601	70	90	4.375	
89	564.41	85	87	5.3125	
90	565.986	140	79	8.75	
91	569.673	120	82	7.5	
92	570.62	85	88	5.3125	
93	571.093	35	116	2.1875	
94	573.295	50	99	3.125	
95	577.377	70	91	4.375	
96	577.833	60	94	3.75	
97	577.924	45	107	2.8125	
98	578.838	60	95	3.75	
99	580.052	60	96	3.75	
100	580.284	65	92	4.0625	
101	581.489	45	108	2.8125	
102	586.078	35	117	2.1875	
103	586.779	65	93	4.0625	
104	586.861	45	109	2.8125	
105	587.106	35	118	2.1875	
106	587.421	50	100	3.125	
107	589.896	50	101	3.125	
108	598.429	35	119	2.1875	
109	604.5	50	102	3.125	
110	604.539	45	110	2.8125	
111	607.006	50	103	3.125	
112	608.412	45	111	2.8125	
113	609.14	35	114	2.1875	
114	615.956	45	105	2.8125	
115	625.654	45	112	2.8125	
116	667.151	50	104	3.125	
117	672.307	40	113	2.5	
118	686.093	120	83	7.5	
119	707.467	19	128	1.1875	
120	708.83	26	123	1.625	
121	709.116	16	131	1.0	
122	709.55	30	120	1.875	
123	709.633	16	132	1.0	
124	710.454	30	121	1.875	
125	710.623	19	129	1.1875	
126	711.596	26	124	1.625	
127	713.18	13	135	0.8125	
128	713.601	10	143	0.625	
129	717.267	10	144	0.625	
130	721.095	9	150	0.5625	
131	721.382	23	127	1.4375	
132	722.007	13	136	0.8125	
133	727.925	13	137	0.8125	
134	728.221	8	154	0.5	
135	729.023	13	138	0.8125	
136	733.265	13	139	0.8125	
137	733.804	8	155	0.5	
138	734.73	26	125	1.625	
139	744.456	30	122	1.875	
140	744.541	26	126	1.625	
141	747.076	13	140	0.8125	
142	754.474	9	151	0.5625	
143	754.657	10	145	0.625	
144	759.801	10	146	0.625	
145	764.582	12	141	0.75	
146	769.578	10	142	0.625	
147	779.45	10	147	0.625	
148	780.154	10	148	0.625	
149	785.953	6	156	0.375	
150	789.596	16	133	1.0	
151	793.192	9	152	0.5625	
152	806.516	16	134	1.0	
153	823.033	9	153	0.5625	
154	831.545	10	149	0.625	
155	838.371	19	130	1.1875	
