	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	200.80716	780	78	4.588235294117647	
1	201.57506	900	73	5.294117647058823	
2	202.08293999999998	850	76	5.0	
3	202.69592	1400	57	8.235294117647058	
4	204.06568000000001	2100	46	12.352941176470589	
5	204.09176000000002	1400	58	8.235294117647058	
6	205.403	1500	54	8.823529411764707	
7	205.831	1800	50	10.588235294117647	
8	206.4002	1300	59	7.647058823529412	
9	206.85755	2500	40	14.705882352941176	
10	207.28900000000002	2600	39	15.294117647058824	
11	207.30746000000002	3000	33	17.647058823529413	
12	208.06306	1200	65	7.0588235294117645	
13	209.15900000000002	1700	51	10.0	
14	209.43276	1600	53	9.411764705882353	
15	209.64283999999998	4600	24	27.058823529411764	
16	210.09122000000002	2900	36	17.058823529411764	
17	211.3937	2900	35	17.058823529411764	
18	211.838	490	84	2.8823529411764706	
19	212.12007999999997	1500	55	8.823529411764707	
20	212.80012999999997	620	81	3.6470588235294117	
21	214.07311	1200	66	7.0588235294117645	
22	214.14193999999998	900	74	5.294117647058823	
23	214.84581	1100	68	6.470588235294118	
24	214.87266	1800	49	10.588235294117647	
25	215.14267999999998	1400	56	8.235294117647058	
26	217.13015	1900	48	11.176470588235293	
27	219.44991000000002	3700	29	21.764705882352942	
28	219.93455	6200	19	36.470588235294116	
29	220.96597000000003	7700	14	45.294117647058826	
30	221.10332999999997	1300	60	7.647058823529412	
31	223.17243	2400	42	14.117647058823529	
32	224.60573	7400	16	43.529411764705884	
33	225.11486000000002	1700	52	10.0	
34	226.71874	1300	61	7.647058823529412	
35	226.89296000000002	7800	13	45.88235294117647	
36	228.2248	980	71	5.764705882352941	
37	228.66812000000002	4700	22	27.647058823529413	
38	231.72301000000002	9800	11	57.64705882352941	
39	233.23658999999998	580	82	3.411764705882353	
40	233.48123999999999	6300	18	37.05882352941177	
41	235.48498999999998	17000	1	100.0	
42	235.78813	1100	69	6.470588235294118	
43	238.074	3000	34	17.647058823529413	
44	240.81505	3100	32	18.235294117647058	
45	242.16942999999998	13000	5	76.47058823529412	
46	242.94952	16000	2	94.11764705882354	
47	243.34769	1300	62	7.647058823529412	
48	245.52516	2300	43	13.529411764705882	
49	247.64012999999997	760	80	4.470588235294118	
50	248.34096	5700	20	33.529411764705884	
51	249.16993	550	83	3.235294117647059	
52	249.57241000000002	4100	26	24.11764705882353	
53	252.39068999999998	2000	47	11.764705882352942	
54	253.10975	1300	63	7.647058823529412	
55	254.65487000000002	5600	21	32.94117647058823	
56	255.80944	870	75	5.117647058823529	
57	257.1594	7900	12	46.470588235294116	
58	259.44209	4000	27	23.529411764705884	
59	263.69923	790	77	4.647058823529412	
60	266.12436	3700	30	21.764705882352942	
61	270.65049	11000	8	64.70588235294117	
62	276.17803	2200	44	12.941176470588236	
63	277.98113	4500	25	26.470588235294116	
64	278.50257	2700	37	15.882352941176471	
65	278.79197	1200	67	7.0588235294117645	
66	281.25575	1100	70	6.470588235294118	
67	281.35822	3800	28	22.352941176470587	
68	283.99765	13000	6	76.47058823529412	
69	285.06195	7500	15	44.11764705882353	
70	286.33147	10000	9	58.8235294117647	
71	291.35593	2700	38	15.882352941176471	
72	300.91333	12000	7	70.58823529411765	
73	303.27778	3300	31	19.41176470588235	
74	303.4115	10000	10	58.8235294117647	
75	314.18232	2500	41	14.705882352941176	
76	317.50354	15000	3	88.23529411764706	
77	321.86805	780	79	4.588235294117647	
78	322.35697000000005	950	72	5.588235294117647	
79	326.2331	15000	4	88.23529411764706	
80	333.06072	4700	23	27.647058823529413	
81	365.57764	1300	64	7.647058823529412	
82	380.10107999999997	6900	17	40.588235294117645	
83	452.47344000000004	2200	45	12.941176470588236	
84	497.9646	18	117	0.10588235294117647	
85	510.45592999999997	17	119	0.1	
86	516.01536	11	126	0.06470588235294118	
87	517.45348	22	113	0.12941176470588237	
88	563.1675799999999	270	86	1.588235294117647	
89	575.3553099999999	10	131	0.058823529411764705	
90	576.17295	11	127	0.06470588235294118	
91	592.53039	25	109	0.14705882352941177	
92	593.40058	11	128	0.06470588235294118	
93	597.02915	45	101	0.2647058823529412	
94	603.7604299999999	59	98	0.34705882352941175	
95	605.4673799999999	75	95	0.4411764705882353	
96	606.9117	95	92	0.5588235294117647	
97	607.3266	45	102	0.2647058823529412	
98	614.96035	140	89	0.8235294117647058	
99	615.44455	70	96	0.4117647058823529	
100	617.1598	58	99	0.3411764705882353	
101	620.3509	13	125	0.07647058823529412	
102	631.06169	38	107	0.2235294117647059	
103	635.4157700000001	16	121	0.09411764705882353	
104	692.4356	11	129	0.06470588235294118	
105	739.857	14	124	0.08235294117647059	
106	768.52703	17	120	0.1	
107	775.4881	43	105	0.2529411764705882	
108	791.0414	11	130	0.06470588235294118	
109	802.9849	41	106	0.2411764705882353	
110	803.8491	16	122	0.09411764705882353	
111	811.403	80	94	0.47058823529411764	
112	812.0564	19	115	0.11176470588235295	
113	833.7656	16	123	0.09411764705882353	
114	834.93839	19	116	0.11176470588235295	
115	835.69779	44	103	0.25882352941176473	
116	839.1225	22	114	0.12941176470588237	
117	842.2624	120	90	0.7058823529411765	
118	855.2531	170	88	1.0	
119	859.8367	23	111	0.13529411764705881	
120	864.8029	24	110	0.1411764705882353	
121	868.1882	23	112	0.13529411764705881	
122	890.7279	18	118	0.10588235294117647	
123	901.8728800000001	32	108	0.18823529411764706	
124	941.063	44	104	0.25882352941176473	
125	941.4949	60	97	0.35294117647058826	
126	961.6014	110	91	0.6470588235294118	
127	974.0903	48	100	0.2823529411764706	
128	974.2486	87	93	0.5117647058823529	
129	980.5184	240	87	1.411764705882353	
130	985.0381	400	85	2.3529411764705883	
