	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	211.9406	15	597	0.075	
1	215.6272	30	574	0.15	
2	218.5394	30	575	0.15	
3	218.9055	30	576	0.15	
4	219.3347	40	551	0.2	
5	228.2121	10	598	0.05	
6	228.2713	10	599	0.05	
7	228.5451	50	541	0.25	
8	229.808	100	415	0.5	
9	241.6217	30	577	0.15	
10	242.3228	50	542	0.25	
11	242.4538	20	590	0.1	
12	243.5829	20	591	0.1	
13	243.6994	10	600	0.05	
14	246.3694	80	483	0.4	
15	246.5086	20	592	0.1	
16	246.6873	30	578	0.15	
17	247.5107	20	593	0.1	
18	248.0699	50	543	0.25	
19	248.3224	50	544	0.25	
20	248.6496	20	594	0.1	
21	249.2721	25	587	0.125	
22	249.2721	25	588	0.125	
23	249.3432	20	595	0.1	
24	251.0167	30	579	0.15	
25	257.8791	300	242	1.5	
26	258.9861	200	295	1.0	
27	259.0189	20	596	0.1	
28	259.2816	100	416	0.5	
29	260.8855	500	169	2.5	
30	261.4233	1500	72	7.5	
31	261.5873	1000	78	5.0	
32	261.8279	30	580	0.15	
33	263.6357	80	484	0.4	
34	264.1255	30	581	0.15	
35	264.2372	100	417	0.5	
36	264.9207	300	243	1.5	
37	265.3566	30	582	0.15	
38	265.4306	100	418	0.5	
39	266.0884	120	413	0.6	
40	266.2296	100	419	0.5	
41	268.3139	60	515	0.3	
42	268.3886	80	485	0.4	
43	269.3112	80	486	0.4	
44	269.6636	50	545	0.25	
45	270.2271	70	510	0.35	
46	270.8785	1000	79	5.0	
47	271.5205	30	583	0.15	
48	272.355	30	584	0.15	
49	272.6691	1000	80	5.0	
50	272.8471	30	585	0.15	
51	273.0529	500	170	2.5	
52	273.2872	300	244	1.5	
53	273.6231	150	386	0.75	
54	273.7973	100	420	0.5	
55	275.5761	100	421	0.5	
56	276.2134	100	422	0.5	
57	276.2337	200	296	1.0	
58	276.5947	60	516	0.3	
59	276.5947	60	517	0.3	
60	276.6886	500	171	2.5	
61	277.8908	150	387	0.75	
62	278.1222	25	589	0.125	
