	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.026	190000	7	2.5675675675675675	
1	200.2019	530000	5	7.162162162162162	
2	207.106	90000	13	1.2162162162162162	
3	208.117	340000	6	4.594594594594595	
4	214.281	7400000	1	100.0	
5	214.725	190000	8	2.5675675675675675	
6	215.986	77000	14	1.0405405405405406	
7	220.883	58000	15	0.7837837837837838	
8	225.552	130000	11	1.7567567567567568	
9	225.903	970000	3	13.108108108108109	
10	226.553	140000	10	1.8918918918918919	
11	238.328	930000	4	12.567567567567568	
12	238.579	1200000	2	16.216216216216218	
13	253.074	190000	9	2.5675675675675675	
14	267.713	98000	12	1.3243243243243243	
15	276.965	57000	16	0.7702702702702703	
16	317.515	3400	23	0.04594594594594595	
17	508.288	130	72	0.0017567567567567568	
18	514.877	130	73	0.0017567567567567568	
19	573.36	160	69	0.002162162162162162	
20	578.922	140	70	0.0018918918918918919	
21	627.35	200	65	0.002702702702702703	
22	634.952	330	48	0.00445945945945946	
23	640.619	210	64	0.002837837837837838	
24	645.67	280	58	0.0037837837837837837	
25	661.34	290	56	0.003918918918918919	
26	669.014	290	57	0.003918918918918919	
27	679.0	300	54	0.004054054054054054	
28	683.765	430	40	0.0058108108108108104	
29	685.388	300	55	0.004054054054054054	
30	719.108	400	44	0.005405405405405406	
31	726.38	400	45	0.005405405405405406	
32	728.09	190	66	0.0025675675675675674	
33	755.68	270	60	0.0036486486486486487	
34	775.91	430	41	0.0058108108108108104	
35	797.29	560	36	0.0075675675675675675	
36	797.29	140	71	0.0018918918918918919	
37	806.14	1100	29	0.014864864864864866	
38	808.25	360	47	0.004864864864864865	
39	825.16	330	49	0.00445945945945946	
40	827.66	330	50	0.00445945945945946	
41	829.01	330	51	0.00445945945945946	
42	835.6	520	37	0.007027027027027027	
43	846.98	220	63	0.002972972972972973	
44	849.22	260	61	0.0035135135135135136	
45	850.08	190	67	0.0025675675675675674	
46	850.08	190	68	0.0025675675675675674	
47	852.14	390	46	0.00527027027027027	
48	863.22	250	62	0.0033783783783783786	
49	870.109	620	35	0.008378378378378378	
50	875.8183	5100	22	0.06891891891891892	
51	883.1521	450	39	0.006081081081081081	
52	885.1153	690	33	0.009324324324324324	
53	900.4368	1400	28	0.01891891891891892	
54	904.3389	490	38	0.006621621621621622	
55	919.6798	280	59	0.0037837837837837837	
56	920.6779	330	52	0.00445945945945946	
57	920.7637	410	43	0.00554054054054054	
58	972.2742	36000	17	0.4864864864864865	
59	978.5538	1800	27	0.024324324324324326	
60	984.2304	1100	30	0.014864864864864866	
61	986.8917	5300	21	0.07162162162162163	
62	990.2609	1100	31	0.014864864864864866	
63	995.6297	5600	20	0.07567567567567568	
64	995.9934	310	53	0.004189189189189189	
65	997.7128	2600	24	0.03513513513513514	
66	997.9305	1100	32	0.014864864864864866	
67	998.5846	420	42	0.005675675675675676	
68	1005.1414	25000	18	0.33783783783783783	
69	1009.1011	17000	19	0.22972972972972974	
70	1009.9572	680	34	0.009189189189189189	
71	1010.6051	2000	26	0.02702702702702703	
72	1011.8075	2500	25	0.033783783783783786	
