	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	203.68215	4	1901	0.01904761904761905	
1	204.31073	5	1762	0.023809523809523808	
2	205.00592	5	1763	0.023809523809523808	
3	205.93997	4	1902	0.01904761904761905	
4	206.05923	5	1764	0.023809523809523808	
5	206.17054	6	1619	0.02857142857142857	
6	206.28734	4	1903	0.01904761904761905	
7	206.29143	4	1904	0.01904761904761905	
8	206.59877	7	1507	0.03333333333333333	
9	206.66438	4	1905	0.01904761904761905	
10	206.98398	1	2367	0.004761904761904762	
11	207.21857	2	2212	0.009523809523809525	
12	211.85342000000003	5	1765	0.023809523809523808	
13	212.19432	6	1620	0.02857142857142857	
14	212.35488999999998	10	1239	0.047619047619047616	
15	213.94896	8	1405	0.0380952380952381	
16	214.21292000000003	9	1319	0.04285714285714286	
17	214.36167000000003	10	1240	0.047619047619047616	
18	221.8376	5	1756	0.023809523809523808	
19	221.97356000000002	5	1766	0.023809523809523808	
20	222.14473999999998	9	1320	0.04285714285714286	
21	222.31845	8	1406	0.0380952380952381	
22	222.51111	10	1241	0.047619047619047616	
23	222.67851000000002	8	1407	0.0380952380952381	
24	222.97246	8	1408	0.0380952380952381	
25	223.02191000000002	10	1242	0.047619047619047616	
26	223.04709	10	1243	0.047619047619047616	
27	223.38016000000002	9	1321	0.04285714285714286	
28	223.8221	6	1621	0.02857142857142857	
29	223.8743	10	1244	0.047619047619047616	
30	224.4675	7	1508	0.03333333333333333	
31	226.178	1	2368	0.004761904761904762	
32	226.4016	12	1117	0.05714285714285714	
33	226.7367	6	1622	0.02857142857142857	
34	226.7545	13	1064	0.06190476190476191	
35	226.7914	10	1245	0.047619047619047616	
36	226.8751	9	1322	0.04285714285714286	
37	227.2612	13	1065	0.06190476190476191	
38	227.2773	5	1767	0.023809523809523808	
39	227.2927	1	2369	0.004761904761904762	
40	227.3279	14	1021	0.06666666666666667	
41	227.6702	14	1022	0.06666666666666667	
42	227.8747	6	1623	0.02857142857142857	
43	227.9967	15	983	0.07142857142857142	
44	229.3747	8	1409	0.0380952380952381	
45	229.4205	8	1410	0.0380952380952381	
46	229.9858	14	1023	0.06666666666666667	
47	230.2736	14	1024	0.06666666666666667	
48	230.5674	15	984	0.07142857142857142	
49	230.8898	7	1509	0.03333333333333333	
50	231.4292	6	1624	0.02857142857142857	
51	236.9282	4	1906	0.01904761904761905	
52	237.1959	7	1510	0.03333333333333333	
53	237.2256	4	1907	0.01904761904761905	
54	237.3522	4	1908	0.01904761904761905	
