	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.756	100	14	0.5	
1	212.928	1	45	0.005	D
2	215.192	1	46	0.005	D
3	216.859	4	32	0.02	D
4	220.975	2	38	0.01	
5	221.071	100	15	0.5	
6	223.784	6	29	0.03	D
7	228.76	3	35	0.015	
8	231.598	140	13	0.7	D
9	237.969	900	8	4.5	C
10	250.794	1	47	0.005	C
11	250.82	1	48	0.005	
12	253.818	2	39	0.01	C
13	258.014	700	9	3.5	D
14	260.899	60	17	0.3	C
15	260.977	4	33	0.02	C
16	266.557	80	16	0.4	C
17	270.923	420	11	2.1	C
18	271.067	50	18	0.25	C
19	276.787	4400	5	22.0	C
20	282.616	280	12	1.4	C
21	291.832	2800	6	14.0	C
22	292.152	440	10	2.2	C
23	322.975	1200	7	6.0	C
24	351.924	20000	1	100.0	C
25	352.943	5000	4	25.0	C
26	377.572	12000	3	60.0	B
27	435.99	2	40	0.01	
28	535.046	18000	2	90.0	B
29	654.984	16	24	0.08	
30	671.38	6	30	0.03	
31	749.36	3	36	0.015	
32	767.893	2	41	0.01	
33	781.58	10	25	0.05	
34	813.0	8	28	0.04	
35	837.36	20	21	0.1	
36	847.427	10	26	0.05	
37	885.04	4	34	0.02	
38	897.675	5	31	0.025	
39	903.84	3	37	0.015	
40	913.05	20	22	0.1	
41	918.31	2	42	0.01	
42	925.26	2	43	0.01	
43	950.94	40	19	0.2	
44	986.34	10	27	0.05	
45	993.04	20	23	0.1	
46	993.74	2	44	0.01	
47	1001.19	30	20	0.15	
