	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
0	201.048	2700	2741	0.003375	
1	202.50400000000002	790	2775	0.0009875	
2	202.76391	17000	2084	0.02125	
3	202.8412	17000	2085	0.02125	
4	202.9376	19000	2003	0.02375	
5	203.22801	47000	1435	0.05875	
6	203.40599999999998	67000	1200	0.08375	
7	203.4082	82000	1111	0.1025	
8	203.53201	85000	1093	0.10625	
9	203.88756	150000	795	0.1875	
10	204.1	62000	1248	0.0775	
11	207.21599999999998	1100	2772	0.001375	
12	207.7	17000	2086	0.02125	
13	208.24532	58000	1285	0.0725	
14	208.25466	81000	1116	0.10125	
15	208.59099999999998	170000	737	0.2125	
16	208.6309	43000	1492	0.05375	
17	208.99400000000003	100000	989	0.125	
18	209.06498	300000	514	0.375	
19	209.12935	180000	709	0.225	
20	209.2309	240000	608	0.3	
21	209.24587	6100000	49	7.625	
22	209.415	100000	990	0.125	
23	209.73223	45000	1463	0.05625	
24	209.85	300000	515	0.375	
25	210.04883999999998	57000	1304	0.07125	
26	210.07348	37000	1577	0.04625	
27	210.22299999999998	4000	2702	0.005	
28	210.304	2100	2755	0.002625	
29	212.415	4300	2694	0.005375	
30	212.674	1600	2763	0.002	
31	212.717	1600	2764	0.002	
32	213.291	2700	2742	0.003375	
33	214.66234	19000	2004	0.02375	
34	215.81099999999998	32000	1679	0.04	
35	217.07445	300000	516	0.375	
36	217.2753	34000	1634	0.0425	
37	217.3151	300000	517	0.375	
38	217.70037000000002	430000	402	0.5375	
39	217.7241	40000	1537	0.05	
40	218.19771	42000	1498	0.0525	
41	218.22222000000002	510000	338	0.6375	
42	218.453	3400	2716	0.00425	
43	218.7388	22000	1902	0.0275	
44	218.7941	26000	1806	0.0325	
45	218.80599999999998	690	2776	0.0008625	
46	218.968	690	2777	0.0008625	
47	218.9946	20000	1968	0.025	
48	219.10994	37000	1578	0.04625	
49	219.1209	11000	2361	0.01375	
50	219.165	5200	2662	0.0065	
51	219.3477	8700	2495	0.010875	
52	219.382	8700	2496	0.010875	
53	219.46602000000001	20000	1969	0.025	
54	219.6296	11000	2362	0.01375	
55	219.64088999999998	69000	1187	0.08625	
56	219.65599999999998	1500	2766	0.001875	
57	220.0182	32000	1680	0.04	
58	220.27271000000002	84000	1099	0.105	
59	220.36599999999999	7200	2581	0.009	
60	220.49364	24000	1852	0.03	
61	220.798	5100	2668	0.006375	
62	221.1354	6400	2620	0.008	
63	221.36900000000003	19000	2005	0.02375	
64	221.605	5700	2643	0.007125	
65	221.625	7600	2561	0.0095	
66	221.8253	78000	1126	0.0975	
67	221.965	5700	2644	0.007125	
68	222.045	5800	2640	0.00725	
69	222.28418	48000	1417	0.06	
70	222.30216000000001	100000	991	0.125	
71	222.5036	17000	2087	0.02125	
72	222.54307000000003	67000	1201	0.08375	
73	222.579	19000	2006	0.02375	
74	222.74	5900	2633	0.007375	
75	222.8847	29000	1741	0.03625	
76	222.97402000000002	110000	949	0.1375	
77	223.037	52000	1356	0.065	
78	223.1419	66000	1210	0.0825	
79	223.2258	19000	2007	0.02375	
80	223.4687	19000	2008	0.02375	
81	223.72322000000003	92000	1059	0.115	
82	224.03	4000	2703	0.005	
83	224.1215	8200	2525	0.01025	
84	224.18517999999997	120000	909	0.15	
85	224.326	12000	2323	0.015	
86	224.57598	33000	1656	0.04125	
87	224.62	2100	2756	0.002625	
88	224.7527	12000	2324	0.015	
89	225.06812999999997	36000	1596	0.045	
90	225.268	11000	2363	0.01375	
91	225.69679	70000	1178	0.0875	
92	226.317	2200	2753	0.00275	
93	226.43987	52000	1357	0.065	
94	227.205	9200	2469	0.0115	
95	227.548	6400	2621	0.008	
96	227.666	6800	2604	0.0085	
97	227.6888	14000	2230	0.0175	
98	227.915	9300	2465	0.011625	
99	228.33835	9700	2443	0.012125	
100	228.449	30000	1716	0.0375	
101	228.498	7100	2587	0.008875	
102	228.658	19000	2009	0.02375	
103	229.02599999999998	4500	2683	0.005625	
104	229.1527	15000	2179	0.01875	
105	229.324	4800	2675	0.006	
106	229.541	9700	2444	0.012125	
107	229.954	7400	2572	0.00925	
108	230.253	10000	2407	0.0125	
109	230.287	2500	2745	0.003125	
110	230.766	2500	2746	0.003125	
111	230.8274	15000	2180	0.01875	
112	231.0167	23000	1877	0.02875	
113	231.14534	34000	1635	0.0425	
114	231.23959	19000	2010	0.02375	
115	231.56204	52000	1358	0.065	
116	232.01432999999997	59000	1276	0.07375	
117	232.107	13000	2275	0.01625	
118	232.2082	15000	2181	0.01875	
119	232.419	25000	1827	0.03125	
120	232.43311	22000	1903	0.0275	
121	232.4739	100000	992	0.125	
122	232.58572	52000	1359	0.065	
123	232.7958	15000	2182	0.01875	
124	232.95164	66000	1211	0.0825	
125	233.33165	26000	1807	0.0325	
126	233.44298999999998	99000	1019	0.12375	
127	233.96607999999998	36000	1597	0.045	
128	234.04696	160000	766	0.2	
129	234.70097	34000	1636	0.0425	
130	235.544	2800	2739	0.0035	
131	237.0	3100	2728	0.003875	
132	237.243	3100	2729	0.003875	
133	237.708	6700	2609	0.008375	
134	237.826	13000	2276	0.01625	
135	238.018	16000	2132	0.02	
136	238.0267	6900	2594	0.008625	
137	238.304	9800	2436	0.01225	
138	238.42864	140000	837	0.175	
139	238.46400000000003	16000	2133	0.02	
140	238.514	6500	2613	0.008125	
141	238.6398	22000	1904	0.0275	
142	238.69584	150000	796	0.1875	
143	238.748	16000	2134	0.02	
144	238.7778	8600	2501	0.01075	
145	238.80802000000003	48000	1418	0.06	
146	238.8909	150000	797	0.1875	
147	239.0779	39000	1553	0.04875	
148	239.08700000000002	270000	563	0.3375	
149	239.1249	250000	595	0.3125	
