	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	200.04	3	4767	0.3	
1	200.097	3	4768	0.3	
2	200.115	1	6383	0.1	
3	200.247	5	3717	0.5	
4	200.693	3	4769	0.3	
5	200.863	1	6384	0.1	
6	200.891	3	4770	0.3	
7	201.472	1	6385	0.1	
8	201.64	3	4771	0.3	
9	202.011	5	3718	0.5	
10	202.181	3	4772	0.3	
11	202.204	2	5537	0.2	
12	202.387	5	3719	0.5	
13	203.019	2	5538	0.2	
14	203.036	2	5539	0.2	
15	203.477	4	4165	0.4	
16	203.546	2	5540	0.2	
17	203.692	3	4773	0.3	
18	203.938	3	4774	0.3	
19	204.416	1	6386	0.1	
20	204.574	3	4775	0.3	
21	204.748	3	4776	0.3	
22	204.748	3	4777	0.3	
23	204.903	3	4778	0.3	
24	205.104	3	4779	0.3	
25	205.194	3	4780	0.3	
26	205.3514	3	4781	0.3	
27	205.8616	10	2390	1.0	
28	206.053	3	4782	0.3	
29	206.131	2	5541	0.2	
30	206.2754	4	4166	0.4	
31	206.31	6	3300	0.6	
32	206.451	2	5542	0.2	
33	206.5056	6	3301	0.6	
34	206.586	4	4167	0.4	
35	206.6604	6	3302	0.6	
36	207.023	3	4783	0.3	
37	207.055	6	3303	0.6	
38	207.08	3	4784	0.3	
39	207.71	8	2827	0.8	
40	207.7732	1	6387	0.1	
41	208.045	4	4168	0.4	
42	208.137	12	2073	1.2	
43	208.2806	8	2828	0.8	
44	208.546	8	2829	0.8	
45	208.71	80	193	8.0	
46	208.71	80	194	8.0	
47	208.7933	3	4785	0.3	
48	208.89	2	5543	0.2	
49	208.93	30	816	3.0	
50	209.048	60	284	6.0	
51	209.2516	10	2391	1.0	
52	209.366	15	1692	1.5	
53	209.406	15	1693	1.5	
54	209.503	2	5544	0.2	
55	209.556	25	1078	2.5	
56	209.752	1	6388	0.1	
57	209.822	60	285	6.0	
58	209.8846	25	1079	2.5	
59	209.985	50	390	5.0	
60	210.1538	50	391	5.0	
61	210.265	8	2830	0.8	
62	210.2977	3	4786	0.3	
63	210.337	5	3720	0.5	
64	210.408	15	1694	1.5	
65	210.54	50	392	5.0	
66	210.575	25	1080	2.5	
67	210.657	15	1695	1.5	
68	210.694	8	2831	0.8	
69	210.786	15	1696	1.5	
70	210.931	60	286	6.0	
71	210.989	12	2074	1.2	
72	211.113	15	1697	1.5	
73	211.247	6	3304	0.6	
74	211.482	8	2832	0.8	
75	211.549	3	4787	0.3	
76	211.63	40	540	4.0	
77	211.644	30	817	3.0	
78	211.644	30	818	3.0	
79	211.663	20	1305	2.0	
80	211.759	30	819	3.0	
81	211.862	25	1081	2.5	
82	211.93	120	103	12.0	
83	211.93	120	104	12.0	
84	212.074	12	2075	1.2	
85	212.127	3	4788	0.3	
86	212.16	100	125	10.0	
87	212.237	20	1306	2.0	
88	212.315	30	820	3.0	
89	212.486	20	1307	2.0	
