	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Qualité
0	246.45	460	11	1.4375	
1	267.196	390	14	1.21875	
2	287.349	45	62	0.140625	
3	293.436	35	67	0.109375	
4	310.074	28	78	0.0875	
5	316.229	28	79	0.0875	
6	323.958	35	68	0.109375	
7	330.525	130	34	0.40625	
8	331.941	80	45	0.25	
9	338.75	140	29	0.4375	
10	341.245	50	58	0.15625	
11	341.839	140	30	0.4375	
12	342.604	360	15	1.125	
13	343.111	240	20	0.75	
14	345.24	85	40	0.265625	
15	346.027	360	16	1.125	
16	346.437	2400	2	7.5	
17	351.7	50	59	0.15625	
18	355.903	35	69	0.109375	
19	364.815	70	47	0.21875	
20	365.573	90	39	0.28125	
21	370.058	70	48	0.21875	
22	373.469	180	24	0.5625	
23	377.01	550	9	1.71875	
24	377.432	80	46	0.25	
25	379.174	60	53	0.1875	
26	383.991	170	26	0.53125	
27	387.285	340	17	1.0625	
28	390.085	340	18	1.0625	
29	391.127	140	31	0.4375	
30	398.799	32000	1	100.0	
31	399.088	930	4	2.90625	
32	400.736	50	60	0.15625	
33	405.228	70	49	0.21875	
34	408.968	440	12	1.375	
35	414.907	470	10	1.46875	
36	417.456	120	35	0.375	
37	423.197	120	36	0.375	
38	427.774	70	50	0.21875	
39	430.597	120	37	0.375	
40	439.369	60	54	0.1875	
41	443.021	60	55	0.1875	
42	443.919	440	13	1.375	
43	448.242	85	41	0.265625	
44	456.395	85	42	0.265625	
45	457.621	640	8	2.0	
46	458.236	200	23	0.625	
47	458.921	70	51	0.21875	
48	459.083	140	32	0.4375	
49	468.427	40	63	0.125	
50	478.187	170	27	0.53125	
51	481.643	35	70	0.109375	
52	483.746	40	64	0.125	
53	489.46	40	65	0.125	
54	491.236	27	80	0.084375	
55	493.55	710	6	2.21875	
56	496.69	140	33	0.4375	
57	506.78	30	74	0.09375	
58	506.914	70	52	0.21875	
59	507.434	220	21	0.6875	
60	507.674	50	61	0.15625	
61	519.608	60	56	0.1875	
62	521.16	85	43	0.265625	
63	524.411	100	38	0.3125	
64	527.704	150	28	0.46875	
65	535.129	30	75	0.09375	
66	536.366	30	76	0.09375	
67	548.192	60	57	0.1875	
68	550.549	40	66	0.125	
69	552.454	17	87	0.053125	
70	553.905	85	44	0.265625	
71	555.647	2400	3	7.5	
72	556.209	35	71	0.109375	
73	556.811	20	84	0.0625	
74	558.636	20	85	0.0625	
75	571.999	220	22	0.6875	
76	575.589	10	91	0.03125	
77	580.344	10	92	0.03125	
78	585.451	27	81	0.084375	
79	598.933	17	88	0.053125	
80	605.457	10	93	0.03125	
81	640.035	35	72	0.109375	
82	641.791	35	73	0.109375	
83	648.906	340	19	1.0625	
84	664.355	20	86	0.0625	
85	666.782	180	25	0.5625	
86	667.817	15	90	0.046875	
87	676.87	25	82	0.078125	
88	679.96	690	7	2.15625	
89	724.441	9	95	0.028125	
90	730.522	8	96	0.025	
91	731.305	10	94	0.03125	
92	735.004	16	89	0.05	
93	744.828	25	83	0.078125	
94	752.746	30	77	0.09375	
95	769.948	750	5	2.34375	
96	789.508	7	97	0.021875	
