	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	199.99988	10	565	0.03890445066915655
1	200.3325	1	1181	0.003890445066915655
2	200.39101	10	566	0.03890445066915655
3	200.49162	17	438	0.06613756613756613
4	200.7178	1	1182	0.003890445066915655
5	201.1141	1	1183	0.003890445066915655
6	201.4311	1	1184	0.003890445066915655
7	201.53171	6	739	0.02334267040149393
8	201.87552	6	740	0.02334267040149393
9	202.273	1	1185	0.003890445066915655
10	202.31164	9	602	0.0350140056022409
11	202.4733	2	1001	0.00778089013383131
12	202.51844	10	567	0.03890445066915655
13	202.6602	2	1002	0.00778089013383131
14	202.8558	1	1186	0.003890445066915655
15	203.21774	9	603	0.0350140056022409
16	203.47624	6	741	0.02334267040149393
17	203.94919	26	358	0.10115157173980703
18	204.23607	21	384	0.08169934640522876
19	204.64925	14	475	0.054466230936819175
20	204.79994	5	800	0.019452225334578275
21	205.03242	5	801	0.019452225334578275
22	205.07924	83	189	0.3229069405539994
23	205.75127	91	166	0.3540305010893246
24	205.80835	22	376	0.08558979147214442
25	205.91973	6	742	0.02334267040149393
26	206.0079	1	1187	0.003890445066915655
27	206.37647	8	636	0.03112356053532524
28	206.4211	123	129	0.4785247432306256
29	207.34254	43	282	0.16728913787737318
30	207.4003	1	1188	0.003890445066915655
31	207.6184	7	687	0.027233115468409588
32	207.9653	68	214	0.26455026455026454
33	208.03555	89	173	0.3462496109554933
34	208.21077	12	517	0.04668534080298786
35	208.6816	2	1003	0.00778089013383131
36	208.7718	1	1189	0.003890445066915655
37	209.16231	89	174	0.3462496109554933
38	209.16405	21	385	0.08169934640522876
39	209.23334	21	386	0.08169934640522876
40	209.27643	16	453	0.06224712107065048
41	209.5976	1	1190	0.003890445066915655
42	209.6808	1	1191	0.003890445066915655
43	209.81285	6	743	0.02334267040149393
44	209.91369	5	802	0.019452225334578275
45	210.14605	7	688	0.027233115468409588
46	210.33517	112	138	0.4357298474945534
47	210.48862	22	377	0.08558979147214442
48	210.59351	25	368	0.09726112667289138
49	210.6247	1	1192	0.003890445066915655
50	210.6537	1	1193	0.003890445066915655
51	210.80699	8	637	0.03112356053532524
52	210.88763	3	904	0.011671335200746966
53	210.90479	15	462	0.05835667600373483
54	211.07472	14	476	0.054466230936819175
55	211.08964	15	463	0.05835667600373483
56	211.4532	1	1194	0.003890445066915655
57	211.50789	11	538	0.04279489573607221
58	211.66863	66	224	0.2567693744164332
59	211.7934	1	1195	0.003890445066915655
60	211.8948	1	1196	0.003890445066915655
61	211.99839	44	278	0.17117958294428884
62	212.08511	4	857	0.01556178026766262
63	212.13048	5	803	0.019452225334578275
64	212.1542	1	1197	0.003890445066915655
65	212.52713	5	804	0.019452225334578275
66	212.5706	1	1198	0.003890445066915655
67	212.66643	79	195	0.30734516028633674
68	212.70503	10	568	0.03890445066915655
69	212.7646	3	905	0.011671335200746966
70	212.8665	1	1199	0.003890445066915655
71	212.94236	32	321	0.12449424214130096
72	212.98085	21	387	0.08169934640522876
73	213.04258	155	107	0.6030189853719266
74	213.4941	1	1200	0.003890445066915655
75	213.88805	59	233	0.22953625894802365
76	214.1682	7	689	0.027233115468409588
77	214.16835	4	858	0.01556178026766262
78	214.22762	17	439	0.06613756613756613
79	214.3884	3	906	0.011671335200746966
80	214.68255	14	477	0.054466230936819175
81	214.7681	2	1004	0.00778089013383131
82	215.05367	6	744	0.02334267040149393
83	215.10518	129	122	0.5018674136321195
84	215.30684	120	130	0.4668534080298786
85	215.39813	51	252	0.1984126984126984
86	215.5588	1	1201	0.003890445066915655
87	215.8755	2	1005	0.00778089013383131
88	215.88834	25	369	0.09726112667289138
89	215.90494	37	298	0.14394646747587925
90	216.18943	20	401	0.0778089013383131
91	216.22906	11	539	0.04279489573607221
92	216.43506	13	499	0.050575785869903515
93	216.5039	1	1202	0.003890445066915655
94	216.57875	17	440	0.06613756613756613
95	216.58188	178	91	0.6924992219109866
96	217.0914	1	1203	0.003890445066915655
97	217.1038	1	1204	0.003890445066915655
98	217.1314	105	146	0.4084967320261438
99	217.14192	107	142	0.4162776221599751
100	217.2341	2	1006	0.00778089013383131
101	217.26353	11	540	0.04279489573607221
102	217.3209	1	1205	0.003890445066915655
103	217.45839	166	96	0.6458138811079988
104	217.55048	58	242	0.225645813881108
105	217.56381	813	28	3.1629318394024275
106	217.59645	20	402	0.0778089013383131
107	217.6387	1	1206	0.003890445066915655
108	218.0089	2	1007	0.00778089013383131
109	218.02489	7	690	0.027233115468409588
110	218.0789	1	1207	0.003890445066915655
111	218.12106	138	117	0.5368814192343604
112	218.1383	8	638	0.03112356053532524
113	218.54865	74	207	0.2878929349517585
114	218.73153	155	108	0.6030189853719266
115	218.84935	37	299	0.14394646747587925
116	219.0235	2	1008	0.00778089013383131
117	219.05107	135	118	0.5252100840336135
118	219.11472	5	805	0.019452225334578275
119	219.1287	50	256	0.19452225334578277
120	219.15789	48	268	0.18674136321195145
121	219.2224	2	1009	0.00778089013383131
122	219.49071	8	639	0.03112356053532524
123	219.53546	7	691	0.027233115468409588
124	219.54437	59	234	0.22953625894802365
125	219.6392	5	806	0.019452225334578275
126	219.7786	1	1208	0.003890445066915655
127	220.12416	9	604	0.0350140056022409
128	220.1573	1	1209	0.003890445066915655
129	220.2135	1	1210	0.003890445066915655
130	220.46981	6	745	0.02334267040149393
131	220.57332	95	156	0.36959228135698724
132	220.81507	5	807	0.019452225334578275
133	221.03173	12	518	0.04668534080298786
134	221.4147	1	1211	0.003890445066915655
135	221.61849	87	179	0.338468720821662
136	221.8375	1	1212	0.003890445066915655
137	221.88032	132	119	0.5135387488328664
138	221.99624	117	134	0.45518207282913165
139	222.03507	13	500	0.050575785869903515
140	222.13518	14	478	0.054466230936819175
141	222.20674	19	414	0.07391845627139745
142	222.455	1	1213	0.003890445066915655
143	222.56602	309	55	1.2021475256769374
144	222.72977	62	228	0.24120759414877063
145	222.95322	11	541	0.04279489573607221
146	222.96465	603	36	2.34593837535014
147	223.03202	13	501	0.050575785869903515
148	223.10253	13	502	0.050575785869903515
149	223.14204	240	70	0.9337068160597572
150	223.34783	50	257	0.19452225334578277
151	223.46724	214	75	0.8325552443199502
152	223.57593	20	403	0.0778089013383131
153	223.59032	21	388	0.08169934640522876
154	223.65255	62	229	0.24120759414877063
155	223.73844	11	542	0.04279489573607221
156	223.77194	9	605	0.0350140056022409
157	223.8028	1	1214	0.003890445066915655
158	223.99043	6	746	0.02334267040149393
159	224.10267	204	78	0.7936507936507936
160	224.1858	2	1010	0.00778089013383131
161	224.36598	102	148	0.3968253968253968
162	224.408	1	1215	0.003890445066915655
163	224.5116	10	569	0.03890445066915655
164	224.541	2	1011	0.00778089013383131
165	224.59719	34	314	0.13227513227513227
166	224.93457	31	328	0.12060379707438532
167	224.96584	8	640	0.03112356053532524
168	225.1403	2	1012	0.00778089013383131
169	225.22464	37	300	0.14394646747587925
170	225.4283	5	808	0.019452225334578275
171	225.5178	1	1216	0.003890445066915655
172	225.54063	38	294	0.1478369125427949
173	225.65429	28	340	0.10893246187363835
174	225.79672	5	809	0.019452225334578275
175	225.8342	1	1217	0.003890445066915655
176	226.2632	2	1013	0.00778089013383131
177	226.30683	10	570	0.03890445066915655
178	226.52222	41	287	0.15950824774354186
179	226.64387	8	641	0.03112356053532524
180	226.69426	4	859	0.01556178026766262
181	226.71115	18	428	0.0700280112044818
182	226.8625	1	1218	0.003890445066915655
183	227.264	2	1014	0.00778089013383131
184	227.49262	13	503	0.050575785869903515
185	227.5054	1	1219	0.003890445066915655
186	227.53612	30	331	0.11671335200746966
187	228.1512	1	1220	0.003890445066915655
188	228.26205	219	74	0.8520074696545284
189	228.30582	12	519	0.04668534080298786
190	228.32433	214	76	0.8325552443199502
191	228.37547	8	642	0.03112356053532524
192	228.39938	427	44	1.6612200435729847
193	228.5612	1	1221	0.003890445066915655
194	228.57997	16	454	0.06224712107065048
