	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9
0	260.2	340	28	40.0		 	 	 		 
1	283.0359	300	38	35.294117647058826		 	 	 		 
2	283.1164	300	39	35.294117647058826		 	 	 		 
3	288.4406	300	40	35.294117647058826		 	 	 		 
4	295.9572	615	7	72.3529411764706		 	 	 		 
5	300.3819	300	41	35.294117647058826		 	 	 		 
6	311.6516	300	42	35.294117647058826		 	 	 		 
7	384.26	340	29	40.0		 	 	 		 
8	419.0082	715	3	84.11764705882354		 	 	 		 
9	419.74	615	8	72.3529411764706		 	 	 		 
10	424.2982	615	9	72.3529411764706		 	 	 		 
11	431.5657	500	14	58.8235294117647		 	 	 		 
12	432.3867	500	15	58.8235294117647		 	 	 		 
13	433.664	500	16	58.8235294117647		 	 	 		 
14	435.2145	500	17	58.8235294117647		 	 	 		 
15	435.2864	425	22	50.0		 	 	 		 
16	437.11699999999996	375	27	44.11764705882353		 	 	 		 
17	442.7106	615	10	72.3529411764706		 	 	 		 
18	443.1562	615	11	72.3529411764706		 	 	 		 
19	445.8469	715	4	84.11764705882354		 	 	 		 
20	446.1075	340	30	40.0		 	 	 		 
21	446.6348	715	5	84.11764705882354		 	 	 		 
22	447.44599999999997	500	18	58.8235294117647		 	 	 		 
23	449.423	800	2	94.11764705882354		 	 	 		 
24	450.7659	850	1	100.0		 	 	 		 
25	453.974	615	12	72.3529411764706		 	 	 		 
26	454.3483	715	6	84.11764705882354		 	 	 		 
27	460.2427	615	13	72.3529411764706		 	 	 		 
28	462.9787	340	31	40.0		 	 	 		 
29	470.7586	340	32	40.0		 	 	 		 
30	473.06699999999995	340	33	40.0		 	 	 		 
31	488.8557	340	34	40.0		 	 	 		 
32	510.55800000000005	340	35	40.0		 	 	 		 
33	510.755	500	19	58.8235294117647		 	 	 		 
34	523.138	425	23	50.0		 	 	 		 
35	533.123	500	20	58.8235294117647		 	 	 		 
36	549.7727	340	36	40.0		 	 	 		 
37	555.809	425	24	50.0		 	 	 		 
38	565.132	425	25	50.0		 	 	 		 
39	611.007	425	26	50.0		 	 	 		 
40	617.0269999999999	500	21	58.8235294117647		 	 	 		 
41	651.174	300	43	35.294117647058826		 	 	 		 
42	709.227	300	44	35.294117647058826		 	 	 		 
43	710.2719999999999	300	45	35.294117647058826		 	 	 		 
44	799.053	340	37	40.0		 	 	 		 
45	817.451	300	46	35.294117647058826		 	 	 		 
