	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	200.5868	200.0	28	2.7027027027027026
1	200.608	100.0	49	1.3513513513513513
2	200.6229	50.0	61	0.6756756756756757
3	201.815	120.0	46	1.6216216216216217
4	201.815	120.0	47	1.6216216216216217
5	201.815	120.0	48	1.6216216216216217
6	203.984	40.0	67	0.5405405405405406
7	204.15	20.0	89	0.2702702702702703
8	204.15	20.0	90	0.2702702702702703
9	204.15	20.0	91	0.2702702702702703
10	204.299	17.0	93	0.22972972972972974
11	208.924	40.0	68	0.5405405405405406
12	208.924	40.0	69	0.5405405405405406
13	208.924	40.0	70	0.5405405405405406
14	212.3857	320.0	19	4.324324324324325
15	212.3857	320.0	20	4.324324324324325
16	212.4546	250.0	21	3.3783783783783785
17	212.4546	250.0	22	3.3783783783783785
18	212.4961	150.0	40	2.027027027027027
19	212.4961	150.0	41	2.027027027027027
20	216.08700000000002	40.0	71	0.5405405405405406
21	216.08700000000002	40.0	72	0.5405405405405406
22	216.08700000000002	40.0	73	0.5405405405405406
23	222.0298	220.0	27	2.972972972972973
24	226.28799999999998	8.0	109	0.10810810810810811
25	226.28799999999998	8.0	110	0.10810810810810811
26	226.28799999999998	8.0	111	0.10810810810810811
27	226.468	23.0	88	0.3108108108108108
28	232.3031	245.0	26	3.310810810810811
29	232.8668	130.0	43	1.7567567567567568
30	239.3204	100.0	50	1.3513513513513513
31	239.5048	520.0	11	7.027027027027027
32	242.5271	60.0	56	0.8108108108108109
33	245.96900000000002	480.0	12	6.486486486486487
34	245.96900000000002	480.0	13	6.486486486486487
35	245.9895	480.0	14	6.486486486486487
36	251.9257	53.0	57	0.7162162162162162
37	251.9257	53.0	58	0.7162162162162162
38	251.9257	53.0	59	0.7162162162162162
39	266.9498	28.0	82	0.3783783783783784
40	269.079	14.0	96	0.1891891891891892
41	270.873	87.0	51	1.1756756756756757
42	270.873	87.0	52	1.1756756756756757
43	270.8993	87.0	53	1.1756756756756757
44	279.655	130.0	44	1.7567567567567568
45	291.8076	250.0	23	3.3783783783783785
46	291.8076	250.0	24	3.3783783783783785
47	291.8076	250.0	25	3.3783783783783785
48	303.2258	200.0	29	2.7027027027027026
49	303.2258	200.0	30	2.7027027027027026
50	303.2258	200.0	31	2.7027027027027026
51	303.2258	200.0	32	2.7027027027027026
52	303.2258	200.0	33	2.7027027027027026
53	305.27	40.0	74	0.5405405405405406
54	309.626	40.0	75	0.5405405405405406
55	317.9331	140.0	42	1.8918918918918919
56	322.20799999999997	45.0	66	0.6081081081081081
57	322.425	47.0	64	0.6351351351351351
58	322.527	47.0	65	0.6351351351351351
59	330.244	52.0	60	0.7027027027027027
60	332.3178	780.0	8	10.54054054054054
61	332.3178	780.0	9	10.54054054054054
62	332.3597	780.0	10	10.54054054054054
63	345.1303	7400.0	1	100.0
64	369.23	30.0	79	0.40540540540540543
65	369.534	130.0	45	1.7567567567567568
66	378.841	190.0	34	2.5675675675675675
67	394.62800000000004	12.0	100	0.16216216216216217
68	394.62800000000004	12.0	101	0.16216216216216217
69	394.62800000000004	12.0	102	0.16216216216216217
70	395.037	18.0	92	0.24324324324324326
71	399.024	70.0	55	0.9459459459459459
72	412.1933	1500.0	2	20.27027027027027
73	412.1933	1500.0	3	20.27027027027027
74	412.1933	1500.0	4	20.27027027027027
75	412.1933	1500.0	5	20.27027027027027
76	412.1933	1500.0	6	20.27027027027027
77	412.1933	1500.0	7	20.27027027027027
78	419.4792	180.0	39	2.4324324324324325
79	427.273	50.0	62	0.6756756756756757
80	429.57099999999997	50.0	63	0.6756756756756757
81	443.15	14.0	97	0.1891891891891892
82	443.15	14.0	98	0.1891891891891892
83	443.15	14.0	99	0.1891891891891892
84	447.2101	470.0	15	6.351351351351352
85	447.2101	470.0	16	6.351351351351352
86	447.2851	470.0	17	6.351351351351352
87	461.11300000000006	25.0	86	0.33783783783783783
88	461.11300000000006	25.0	87	0.33783783783783783
89	471.611	15.0	94	0.20270270270270271
90	478.4206	190.0	35	2.5675675675675675
91	478.4206	190.0	36	2.5675675675675675
92	478.4206	190.0	37	2.5675675675675675
93	478.4206	190.0	38	2.5675675675675675
94	494.0376	440.0	18	5.945945945945946
95	512.5790000000001	28.0	83	0.3783783783783784
96	512.5790000000001	28.0	84	0.3783783783783784
97	512.5790000000001	28.0	85	0.3783783783783784
98	526.312	9.0	106	0.12162162162162163
99	526.312	9.0	107	0.12162162162162163
100	526.312	9.0	108	0.12162162162162163
101	534.765	15.0	95	0.20270270270270271
102	539.317	30.0	80	0.40540540540540543
103	601.346	10.0	103	0.13513513513513514
104	601.346	10.0	104	0.13513513513513514
105	601.346	10.0	105	0.13513513513513514
106	608.044	85.0	54	1.1486486486486487
107	614.8919999999999	40.0	76	0.5405405405405406
108	614.8919999999999	40.0	77	0.5405405405405406
109	614.8919999999999	40.0	78	0.5405405405405406
