	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	202.40561	5	37	0.053763440860215055
1	205.27516	12	29	0.12903225806451613
2	207.99753	9	31	0.0967741935483871
3	215.39336	74	20	0.7956989247311828
4	220.08853	30	25	0.3225806451612903
5	221.47634	45	23	0.4838709677419355
6	223.27857999999998	170	17	1.8279569892473118
7	223.53795	17	28	0.1827956989247312
8	224.56883	173	16	1.8602150537634408
9	225.47779	415	10	4.462365591397849
10	228.59894	68	21	0.7311827956989247
11	230.42472999999998	3370	4	36.236559139784944
12	233.52672	4310	3	46.344086021505376
13	234.75915	510	8	5.483870967741935
14	252.84078	249	14	2.6774193548387095
15	263.47799	381	11	4.096774193548387
16	264.1371	41	24	0.44086021505376344
17	264.72607999999997	64	22	0.6881720430107527
18	277.13527999999997	77	19	0.8279569892473119
19	389.1779	500	9	5.376344086021505
20	413.06491	910	6	9.78494623655914
21	416.60014	103	18	1.10752688172043
22	426.79199000000006	8	33	0.08602150537634409
23	430.92662	4	40	0.043010752688172046
24	430.92662	4	41	0.043010752688172046
25	452.4926	188	15	2.021505376344086
26	455.4033	9300	1	100.0
27	489.9927	273	13	2.935483870967742
28	493.4077	6900	2	74.19354838709677
29	495.7092	10	30	0.10752688172043011
30	501.2954	5	38	0.053763440860215055
31	501.2954	5	39	0.053763440860215055
32	585.3675	331	12	3.5591397849462365
33	614.1713	1510	5	16.236559139784948
34	649.6898	900	7	9.67741935483871
35	676.9477	6	36	0.06451612903225806
36	687.4079	7	34	0.07526881720430108
37	687.4079	7	35	0.07526881720430108
38	871.0768	24	26	0.25806451612903225
39	873.7751	18	27	0.1935483870967742
40	889.7463	2	42	0.021505376344086023
41	960.3111	9	32	0.0967741935483871
