	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	206.8937	45	10	60.0
1	214.34	15	36	20.0
2	214.34599999999998	15	37	20.0
3	218.69299999999998	60	5	80.0
4	221.4031	40	11	53.333333333333336
5	236.812	16	35	21.333333333333332
6	236.8384	12	45	16.0
7	250.1	10	60	13.333333333333334
8	254.45	20	24	26.666666666666668
9	269.3	12	46	16.0
10	271.33	20	25	26.666666666666668
11	280.342	15	38	20.0
12	280.37	11	59	14.666666666666666
13	280.53	12	47	16.0
14	293.67	15	39	20.0
15	295.04	20	26	26.666666666666668
16	296.34	12	48	16.0
17	343.0605	10	61	13.333333333333334
18	343.12300000000005	12	49	16.0
19	365.42	12	50	16.0
20	379.2564	70	3	93.33333333333333
21	381.11	12	51	16.0
22	381.58	20	27	26.666666666666668
23	384.58	10	62	13.333333333333334
24	386.4025	30	16	40.0
25	407.9072	40	12	53.333333333333336
26	409.72	10	63	13.333333333333334
27	425.9413	75	1	100.0
28	427.2	25	19	33.333333333333336
29	430.1697	70	4	93.33333333333333
30	433.98	12	52	16.0
31	434.05	25	20	33.333333333333336
32	437.94	12	53	16.0
33	447.68	25	21	33.333333333333336
34	470.5285	60	6	80.0
35	473.0267	30	17	40.0
36	474.97	20	28	26.666666666666668
37	490.82	12	54	16.0
38	491.66	10	64	13.333333333333334
39	496.97	12	55	16.0
40	499.36	20	29	26.666666666666668
41	509.16	10	65	13.333333333333334
42	512.4356	50	8	66.66666666666667
43	514.4492	60	7	80.0
44	520.15	20	30	26.666666666666668
45	520.9325	75	2	100.0
46	527.0512	40	13	53.333333333333336
47	539.78	10	66	13.333333333333334
48	565.52	20	31	26.666666666666668
49	571.9138	40	14	53.333333333333336
50	581.83	12	56	16.0
51	586.02	20	32	26.666666666666668
52	597.3	20	33	26.666666666666668
53	605.91	15	40	20.0
54	612.8	15	41	20.0
55	649.77	15	42	20.0
56	657.72	10	67	13.333333333333334
57	660.0339	40	15	53.333333333333336
58	680.9196	50	9	66.66666666666667
59	703.3	12	57	16.0
60	738.1	10	68	13.333333333333334
61	763.7	10	69	13.333333333333334
62	775.0	10	70	13.333333333333334
63	796.5	20	34	26.666666666666668
64	805.0	12	58	16.0
65	832.8	15	43	20.0
66	838.8	15	44	20.0
67	853.2	30	18	40.0
68	865.3	25	22	33.333333333333336
69	886.3	25	23	33.333333333333336
