	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	228.517	350	42	35.0
1	228.76	350	43	35.0
2	231.73	500	3	50.0
3	233.69299999999998	400	21	40.0
4	238.645	350	44	35.0
5	238.67	500	4	50.0
6	238.86900000000003	300	64	30.0
7	238.896	450	18	45.0
8	238.96900000000002	500	5	50.0
9	239.22099999999998	350	45	35.0
10	239.24200000000002	400	22	40.0
11	248.85	300	65	30.0
12	249.52200000000002	300	66	30.0
13	252.17	450	19	45.0
14	254.148	400	23	40.0
15	255.692	400	24	40.0
16	269.017	350	46	35.0
17	271.377	400	25	40.0
18	274.652	350	47	35.0
19	280.755	300	67	30.0
20	289.34	400	26	40.0
21	291.718	400	27	40.0
22	296.721	400	28	40.0
23	297.226	500	6	50.0
24	298.186	300	68	30.0
25	298.587	300	69	30.0
26	298.653	300	70	30.0
27	301.64799999999997	300	71	30.0
28	342.38199999999995	350	48	35.0
29	360.68	300	72	30.0
30	371.43	350	49	35.0
31	383.469	350	50	35.0
32	387.121	300	73	30.0
33	389.163	400	29	40.0
34	390.124	300	74	30.0
35	391.42	300	75	30.0
36	391.43800000000005	500	7	50.0
37	391.95099999999996	350	51	35.0
38	392.409	400	30	40.0
39	392.955	300	76	30.0
40	393.969	350	52	35.0
41	395.061	350	53	35.0
42	398.038	500	8	50.0
43	402.404	300	77	30.0
44	413.566	300	78	30.0
45	414.02	300	79	30.0
46	417.963	400	31	40.0
47	419.345	300	80	30.0
48	422.389	1000	1	100.0
49	423.689	300	81	30.0
50	429.139	300	82	30.0
51	436.56	1000	2	100.0
52	452.96	300	83	30.0
53	454.292	500	9	50.0
54	460.13599999999997	300	84	30.0
55	462.27	350	54	35.0
56	464.202	300	85	30.0
57	465.19800000000004	300	86	30.0
58	467.87	500	10	50.0
59	469.31699999999995	400	32	40.0
60	470.485	500	11	50.0
61	471.976	350	55	35.0
62	472.036	400	33	40.0
63	472.82	300	87	30.0
64	473.541	300	88	30.0
65	474.264	400	34	40.0
66	476.6	350	56	35.0
67	477.94	400	35	40.0
68	478.55	500	12	50.0
69	480.233	300	89	30.0
70	481.67	500	13	50.0
71	481.846	300	90	30.0
72	484.481	350	57	35.0
73	484.875	350	58	35.0
74	492.11199999999997	400	36	40.0
75	492.879	400	37	40.0
76	493.066	450	20	45.0
77	494.551	300	91	30.0
78	503.874	300	92	30.0
79	505.464	300	93	30.0
80	516.438	400	38	40.0
81	518.001	300	94	30.0
82	518.235	500	14	50.0
83	519.39	300	95	30.0
84	523.823	500	15	50.0
85	527.268	300	96	30.0
86	530.41	350	59	35.0
87	533.057	400	39	40.0
88	533.205	500	16	50.0
89	542.278	400	40	40.0
90	542.499	350	60	35.0
91	543.507	300	97	30.0
92	547.847	350	61	35.0
93	548.879	300	98	30.0
94	549.506	300	99	30.0
95	550.669	500	17	50.0
96	558.994	350	62	35.0
97	571.871	300	100	30.0
98	583.078	300	101	30.0
99	616.174	300	102	30.0
100	635.294	400	41	40.0
101	902.442	350	63	35.0
102	943.404	300	103	30.0
